Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
KLI1002-01-00	INTENSIVE KOREAN LANGUAGE (LEVEL 2)	6	황인교	월8,9,화8,9,수8,9,목8,9,금8,9	KLI4F-2	150	89	0 (N)	0	0	0	0	O	36	1	30	8.06
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	30	N (N)	4	N	Y	0.5000	0.8750	3	O	 
2	30	N (N)	3	N	Y	0.5000	0.9375	3	O	 
3	30	N (N)	3	N	Y	0.5000	0.8750	3	O	 
4	25	N (N)	3	N	Y	0.7500	0.9375	4	O	 
5	25	N (N)	3	N	Y	0.5000	0.8750	3	O	 
6	24	N (N)	3	N	Y	0.5000	0.8750	3	O	 
7	24	N (N)	3	N	Y	0.5000	0.8750	3	O	 
8	23	N (N)	5	N	Y	0.5000	0.9375	3	O	 
9	21	N (N)	4	N	Y	0.5000	0.9375	3	O	 
10	20	N (N)	5	N	Y	0.7500	0.9375	4	O	 
11	20	N (N)	4	N	Y	0.7500	0.8750	4	O	 
12	20	N (N)	4	N	Y	0.7500	0.8750	4	O	 
13	20	N (N)	3	N	Y	0.7500	1.0000	4	O	 
14	18	N (N)	4	N	Y	0.2500	0.8750	2	O	 
15	17	N (N)	4	N	Y	0.7500	0.8750	4	O	 
16	16	N (N)	5	N	Y	0.7500	0.9375	4	O	 
17	16	N (N)	4	N	Y	0.5000	0.9375	3	O	 
18	15	N (N)	5	N	Y	0.5000	0.9375	3	O	 
19	15	N (N)	5	N	Y	0.5000	0.8750	3	O	 
20	15	N (N)	5	N	Y	0.5000	0.8750	3	O	 
21	14	N (N)	5	N	Y	0.7500	0.8750	4	O	 
22	12	N (N)	5	N	Y	0.7500	0.8750	4	O	 
23	12	N (N)	5	N	Y	0.5000	0.8750	3	O	 
24	12	N (N)	4	N	Y	0.5000	0.8750	3	O	 
25	12	N (N)	4	N	Y	0.5000	0.8750	3	O	 
26	12	N (N)	1	N	Y	0.7500	0.8750	4	O	 
27	10	N (N)	5	N	Y	0.7500	0.8750	4	O	 
28	10	N (N)	5	N	Y	0.5000	0.9375	3	O	 
29	10	N (N)	5	N	Y	0.5000	0.9375	3	O	 
30	10	N (N)	5	N	Y	0.5000	0.8750	3	O	 
31	10	N (N)	4	N	Y	0.7500	0.8750	4	O	 
32	10	N (N)	4	N	Y	0.7500	0.8750	4	O	 
33	10	N (N)	4	N	Y	0.5000	0.8750	3	O	 
34	10	N (N)	4	N	Y	0.2500	0.9722	2	O	 
35	10	N (N)	4	N	Y	0.2500	0.9375	2	O	 
36	10	N (N)	3	N	Y	0.7500	0.8750	4	O	 
37	10	N (N)	3	N	Y	0.5000	0.8750	3	O	 
38	8	N (N)	5	N	Y	0.7500	0.8750	4	O	 
39	8	N (N)	5	N	Y	0.5000	0.8750	3	O	 
40	8	N (N)	5	N	Y	0.2500	0.8750	2	O	 
41	6	N (N)	5	N	Y	0.5000	0.8750	3	O	 
42	5	N (N)	5	N	Y	0.2500	0.8750	2	O	 
43	5	N (N)	4	N	Y	0.5000	0.9375	3	O	 
44	4	N (N)	4	N	Y	0.2500	0.8750	2	O	 
45	3	N (N)	5	N	Y	0.7500	0.9375	4	O	 
46	3	N (N)	5	N	Y	0.5000	0.9375	3	O	 
47	3	N (N)	4	N	Y	0.7500	0.9722	4	O	 
48	3	N (N)	4	N	Y	0.5000	0.8750	3	O	 
49	3	N (N)	4	N	Y	0.5000	0.8750	3	O	 
50	3	N (N)	3	N	Y	0.5000	0.8750	3	O	 
51	2	N (N)	5	N	Y	0.7500	0.9375	4	O	 
52	2	N (N)	5	N	Y	0.7500	0.9375	4	O	 
53	2	N (N)	5	N	Y	0.5000	0.9375	3	O	 
54	2	N (N)	5	N	Y	0.5000	0.8750	3	O	 
55	2	N (N)	5	N	Y	0.5000	0.8750	3	O	 
56	2	N (N)	5	N	Y	0.5000	0.8750	3	O	 
57	2	N (N)	4	N	Y	0.5000	0.9722	3	O	 
58	2	N (N)	3	N	Y	0.5000	0.8750	3	O	 
59	1	N (N)	5	N	Y	0.7500	0.8750	4	O	 
60	1	N (N)	5	N	Y	0.5000	0.9722	3	O	 
61	1	N (N)	5	N	Y	0.5000	0.9375	3	O	 
62	1	N (N)	5	N	Y	0.5000	0.9375	3	O	 
63	1	N (N)	5	N	Y	0.5000	0.9375	3	O	 
64	1	N (N)	5	N	Y	0.5000	0.9375	3	O	 
65	1	N (N)	5	N	Y	0.5000	0.8750	3	O	 
66	1	N (N)	5	N	Y	0.5000	0.8750	3	O	 
67	1	N (N)	5	N	Y	0.5000	0.8750	3	O	 
68	1	N (N)	5	N	Y	0.5000	0.8750	3	O	 
69	1	N (N)	5	N	Y	0.5000	0.8750	3	O	 
70	1	N (N)	5	N	Y	0.5000	0.8750	3	O	 
71	1	N (N)	5	N	Y	0.5000	0.8750	3	O	 
72	1	N (N)	5	N	Y	0.2500	0.8750	2	O	 
73	1	N (N)	4	N	Y	0.7500	0.9375	4	O	 
74	1	N (N)	4	N	Y	0.7500	0.8750	4	O	 
75	1	N (N)	4	N	Y	0.5000	0.9375	3	O	 
76	1	N (N)	4	N	Y	0.5000	0.9375	3	O	 
77	1	N (N)	4	N	Y	0.5000	0.9375	3	O	 
78	1	N (N)	4	N	Y	0.5000	0.8750	3	O	 
79	1	N (N)	4	N	Y	0.5000	0.8750	3	O	 
80	1	N (N)	4	N	Y	0.5000	0.8750	3	O	 
81	1	N (N)	4	N	Y	0.5000	0.8750	3	O	 
82	1	N (N)	4	N	Y	0.2500	0.8750	2	O	 
83	1	N (N)	4	N	Y	0.2500	0.8750	2	O	 
84	1	N (N)	3	N	Y	0.7500	0.9722	4	O	 
85	1	N (N)	3	N	Y	0.5000	0.9722	3	O	 
