Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
IEE3579-01-00	INTERNATIONAL POLITICS OF THE KOREAN PENINSULA	3	봉영식	수1,2,3	새천107	32	49	0 (N)	0	0	0	0	O	36	1	36	16.53
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	N (N)	4	N	Y	0.2500	0.8750	2	O	 
2	36	N (N)	3	N	Y	0.5000	0.8750	3	O	 
3	31	N (N)	5	N	Y	0.5000	0.8750	3	O	 
4	30	N (N)	3	N	Y	0.5000	0.9375	3	O	 
5	30	N (N)	3	N	Y	0.5000	0.8750	3	O	 
6	28	N (N)	4	N	Y	0.5000	0.8750	3	O	 
7	25	N (N)	5	N	Y	0.5000	0.8750	3	O	 
8	25	N (N)	4	N	Y	0.5000	0.8750	3	O	 
9	24	N (N)	5	N	Y	0.5000	0.9375	3	O	 
10	23	N (N)	3	N	Y	0.5000	0.8750	3	O	 
11	21	N (N)	4	N	Y	0.5000	0.9375	3	O	 
12	21	N (N)	4	N	Y	0.5000	0.8750	3	O	 
13	20	N (N)	4	N	Y	0.5000	0.8750	3	O	 
14	20	N (N)	3	N	Y	0.7500	0.9375	4	O	 
15	20	N (N)	3	N	Y	0.5000	0.8750	3	O	 
16	19	N (N)	5	N	Y	0.7500	0.9375	4	O	 
17	19	N (N)	4	N	Y	0.5000	0.8750	3	O	 
18	18	N (N)	5	N	Y	0.5000	0.8750	3	O	 
19	18	N (N)	4	N	Y	0.5000	0.8750	3	O	 
20	17	N (N)	5	N	Y	0.2500	0.8750	2	O	 
21	16	N (N)	4	N	Y	0.5000	0.9375	3	O	 
22	16	N (N)	4	N	Y	0.5000	0.8750	3	O	 
23	16	N (N)	4	N	Y	0.5000	0.8750	3	O	 
24	15	N (N)	5	N	Y	0.7500	0.8750	4	O	 
25	15	N (N)	5	N	Y	0.5000	0.8750	3	O	 
26	15	N (N)	5	N	Y	0.5000	0.8750	3	O	 
27	15	N (N)	5	N	Y	0.5000	0.8750	3	O	 
28	15	N (N)	5	N	Y	0.5000	0.8750	3	O	 
29	15	N (N)	5	N	Y	0.5000	0.8750	3	O	 
30	15	N (N)	5	N	Y	0.2500	0.8750	2	O	 
31	15	N (N)	4	N	Y	0.5000	0.9375	3	O	 
32	14	N (N)	5	N	Y	0.7500	0.8750	4	O	 
33	14	N (N)	5	N	Y	0.7500	0.8750	4	X	 
34	14	N (N)	4	N	Y	0.2500	0.8750	2	X	 
35	12	N (N)	6	N	Y	0.7500	0.8750	4	X	 
36	12	N (N)	5	N	Y	0.7500	0.9375	4	X	 
37	12	N (N)	5	N	Y	0.2500	0.8750	2	X	 
38	11	N (N)	5	N	Y	0.5000	0.9375	3	X	 
39	11	N (N)	4	N	Y	0.5000	0.8750	3	X	 
40	10	N (N)	5	N	Y	0.7500	0.9375	4	X	 
41	10	N (N)	5	N	Y	0.5000	0.9375	3	X	 
42	10	N (N)	5	N	Y	0.5000	0.8750	3	X	 
43	10	N (N)	4	N	Y	0.5000	0.9375	3	X	 
44	8	N (N)	5	N	Y	0.7500	0.8750	4	X	 
45	7	N (N)	5	N	Y	0.5000	0.8750	3	X	 
46	3	N (N)	5	N	Y	0.5000	0.8750	3	X	 
47	1	N (N)	5	N	Y	0.5000	0.8750	3	X	 
48	1	N (N)	4	N	Y	0.7500	0.9375	4	X	 
49	1	N (N)	3	N	Y	0.5000	0.9375	3	X	 
