Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
BIZ3108-01-00	회계원리(2)	3	문두철	월1,2,수2	경영B202	57	53	0 (Y)	0	6	40	11	5	12	1	12	10.83
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	12	Y (Y)	6	N	Y	0.9265	1.0000	4	O	 
2	12	Y (Y)	6	N	Y	0.6031	0.8333	3	O	 
3	12	Y (Y)	6	N	Y	0.5952	0.6666	4	O	 
4	12	Y (Y)	6	N	Y	0.5674	0.8611	3	O	 
5	12	Y (Y)	6	N	Y	0.5634	1.0000	3	O	 
6	12	Y (Y)	6	N	Y	0.5634	1.0000	3	O	 
7	12	Y (Y)	6	N	Y	0.5595	1.0000	3	O	 
8	12	Y (Y)	6	N	Y	0.5555	1.0000	3	O	 
9	12	Y (Y)	6	N	Y	0.5436	0.8333	3	O	 
10	12	Y (Y)	6	N	Y	0.5396	0.9166	3	O	 
11	12	Y (Y)	6	N	Y	0.5317	1.0000	3	O	 
12	12	Y (Y)	6	N	Y	0.5277	0.8611	3	O	 
13	12	Y (Y)	6	N	Y	0.5238	0.8611	3	O	 
14	12	Y (Y)	6	N	Y	0.5158	1.0000	3	O	 
15	12	Y (Y)	6	N	Y	0.5079	0.6666	3	O	 
16	12	Y (Y)	6	N	Y	0.4841	1.0000	3	O	 
17	12	Y (Y)	6	N	Y	0.4841	1.0000	3	O	 
18	12	Y (Y)	6	N	Y	0.4523	0.8611	2	O	 
19	12	Y (Y)	6	N	Y	0.4523	0.8333	3	O	 
20	12	Y (Y)	6	N	N	0.8809	0.6666	4	O	 
21	12	Y (Y)	6	N	N	0.7333	0.7894	4	O	 
22	12	Y (Y)	6	N	N	0.7222	1.0000	4	O	 
23	12	Y (Y)	5	N	Y	0.7500	0.8750	4	O	교환학생 
24	12	Y (Y)	5	N	Y	0.6329	1.0000	3	O	 
25	12	Y (Y)	5	N	Y	0.3809	0.8333	2	O	 
26	12	Y (Y)	5	N	Y	0.2500	0.8750	2	O	교환학생 
27	12	Y (Y)	4	N	Y	0.5000	0.8750	3	O	교환학생 
28	12	Y (Y)	4	N	Y	0.3968	0.8333	2	O	 
29	12	Y (Y)	4	N	Y	0.2500	0.8750	2	O	교환학생 
30	12	N (N)	6	N	Y	0.6269	1.0000	3	O	 
31	12	N (N)	6	N	Y	0.6269	0.6666	3	O	 
32	12	N (N)	6	N	Y	0.6190	0.8333	3	O	 
33	12	N (N)	6	N	Y	0.5952	0.6666	4	O	 
34	12	N (N)	6	N	Y	0.5873	1.0000	3	O	 
35	12	N (N)	6	N	Y	0.4920	1.0000	3	O	 
36	12	N (N)	6	N	Y	0.4880	1.0000	3	O	 
37	12	N (N)	5	N	Y	0.6666	1.0000	3	O	 
38	12	N (N)	5	N	Y	0.5000	0.8750	3	O	교환학생 
39	12	N (N)	5	N	Y	0.5000	0.8750	3	X	교환학생 
40	12	N (N)	4	N	Y	0.3968	0.8888	2	O	 
41	12	N (N)	4	N	Y	0.1587	0.2777	2	O	 
42	11	Y (Y)	6	N	Y	0.5396	0.9444	3	O	 
43	11	N (N)	6	Y	Y	0.9107	0.8333	4	O	 
44	11	N (N)	6	N	Y	0.4841	1.0000	3	O	 
45	10	Y (Y)	6	N	Y	0.9285	1.0000	4	O	 
46	10	Y (Y)	6	N	Y	0.5634	0.8333	3	O	 
47	7	Y (Y)	6	N	Y	0.5873	0.6666	3	O	 
48	6	Y (Y)	6	N	Y	0.6746	1.0000	3	O	 
49	6	Y (Y)	6	N	Y	0.5317	0.8333	3	O	 
50	6	N (N)	6	N	Y	0.7380	0.6666	4	O	 
51	2	N (N)	6	N	Y	0.5793	0.8611	3	O	 
52	1	Y (Y)	6	N	Y	0.5952	0.9722	3	O	 
53	1	Y (Y)	6	N	N	0.5000	0.8611	3	O	 
