Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
BIZ3119-02-00	기업재무	3	김소연	수7,금7,8	경영B202	67	131	60 (Y)	0	0	34	33	O	24	1	24	14.22
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	24	Y (Y)	6	N	Y	0.8571	1.0000	4	O	 
2	24	Y (Y)	6	N	Y	0.8154	0.8333	4	O	 
3	24	Y (Y)	6	N	Y	0.5793	1.0000	3	O	 
4	24	Y (Y)	6	N	Y	0.5555	0.8611	3	O	 
5	24	Y (Y)	6	N	Y	0.5079	1.0000	3	O	 
6	24	Y (Y)	6	N	N	0.8253	1.0000	4	O	 
7	24	Y (Y)	5	N	Y	0.7777	0.7777	4	O	 
8	24	Y (Y)	5	N	Y	0.5158	1.0000	3	O	 
9	24	Y (Y)	4	Y	Y	0.9603	1.0000	4	O	 
10	24	Y (Y)	4	N	Y	0.5595	1.0000	3	O	 
11	24	Y (Y)	4	N	Y	0.4841	0.8333	3	O	 
12	24	Y (Y)	3	Y	Y	0.9047	0.5000	4	O	 
13	24	Y (Y)	3	N	Y	0.9206	0.3333	4	O	 
14	24	Y (Y)	3	N	Y	0.8333	0.8333	4	O	 
15	24	Y (Y)	3	N	Y	0.7777	1.0000	4	O	 
16	24	Y (Y)	3	N	Y	0.7698	0.6666	4	O	 
17	24	N (N)	6	Y	Y	0.8629	0.4736	4	O	 
18	24	N (N)	6	N	Y	0.8253	1.0000	4	O	 
19	24	N (N)	6	N	Y	0.7936	1.0000	4	O	 
20	24	N (N)	6	N	Y	0.6031	1.0000	3	O	 
21	24	N (N)	6	N	Y	0.5952	1.0000	3	O	 
22	24	N (N)	6	N	Y	0.5515	0.8333	3	O	 
23	23	Y (Y)	6	N	Y	0.7063	1.0000	4	O	 
24	22	Y (Y)	6	Y	Y	0.8650	0.8333	4	O	 
25	21	Y (Y)	6	N	Y	0.6031	1.0000	3	O	 
26	21	Y (Y)	6	N	Y	0.5317	0.8333	3	O	 
27	21	Y (Y)	6	N	Y	0.5277	0.8611	3	O	 
28	20	Y (Y)	6	N	Y	0.8412	1.0000	4	O	 
29	20	Y (Y)	6	N	Y	0.6587	1.0000	3	O	 
30	20	Y (Y)	6	N	Y	0.6428	0.8333	3	O	 
31	20	Y (Y)	6	N	Y	0.6269	0.6666	3	O	 
32	20	Y (Y)	6	N	Y	0.6031	1.0000	3	O	 
33	20	Y (Y)	6	N	Y	0.5952	0.8611	3	O	 
34	20	Y (Y)	6	N	Y	0.5793	0.8888	3	O	 
35	20	Y (Y)	6	N	Y	0.5317	0.8333	3	O	 
36	20	Y (Y)	6	N	Y	0.5238	0.8333	3	O	 
37	20	Y (Y)	6	N	Y	0.5158	0.8055	3	O	 
38	20	Y (Y)	5	N	Y	0.7361	0.8333	4	O	 
39	20	N (N)	6	N	Y	0.8412	1.0000	4	O	 
40	19	Y (Y)	6	N	Y	0.8015	0.9444	4	O	 
41	19	Y (Y)	6	N	Y	0.5555	1.0000	3	O	 
42	19	Y (Y)	6	N	Y	0.5396	1.0000	3	O	 
43	19	Y (Y)	6	N	Y	0.5079	0.6666	3	O	 
44	18	Y (Y)	6	N	Y	0.7629	0.7894	4	O	 
45	18	Y (Y)	6	N	Y	0.7222	0.8333	4	O	 
46	18	Y (Y)	6	N	Y	0.7142	0.8333	3	O	 
47	18	Y (Y)	6	N	Y	0.5476	0.9722	3	O	 
48	18	Y (Y)	5	N	Y	0.8710	1.0000	4	O	 
49	18	Y (Y)	5	N	Y	0.5238	0.6666	3	O	 
50	18	Y (Y)	4	N	Y	0.5952	0.8888	3	O	 
51	17	Y (Y)	6	N	Y	0.6587	1.0000	3	O	 
52	17	Y (Y)	6	N	Y	0.6507	0.6666	3	O	 
53	17	Y (Y)	6	N	Y	0.6111	1.0000	3	O	 
54	17	Y (Y)	6	N	Y	0.5853	1.0000	3	O	 
55	17	Y (Y)	6	N	Y	0.5396	1.0000	3	O	 
56	17	Y (Y)	6	N	Y	0.4841	1.0000	3	O	 
57	17	Y (Y)	6	N	Y	0.4603	1.0000	3	X	 
58	17	N (N)	6	N	Y	0.8492	1.0000	3	X	 
59	16	Y (Y)	6	N	Y	0.8174	0.8333	4	O	 
60	16	Y (Y)	6	N	Y	0.7857	0.8333	4	O	 
61	16	Y (Y)	6	N	Y	0.6428	0.8333	4	O	 
62	16	Y (Y)	6	N	Y	0.6031	0.6666	3	X	 
63	16	Y (Y)	6	N	Y	0.5317	0.8333	3	X	 
64	16	N (N)	6	N	Y	0.7460	1.0000	4	X	 
65	15	Y (Y)	6	Y	N	0.8888	1.0000	4	O	 
66	15	Y (Y)	6	N	Y	0.8650	1.0000	4	O	 
67	15	Y (Y)	6	N	Y	0.6805	1.0000	3	X	 
68	15	Y (Y)	6	N	Y	0.6349	0.6666	3	X	 
69	15	Y (Y)	6	N	Y	0.5793	0.6666	3	X	 
70	15	Y (Y)	6	N	Y	0.5476	1.0000	3	X	 
71	15	Y (Y)	6	N	Y	0.5317	0.8333	3	X	 
72	15	Y (Y)	6	N	N	0.6190	0.8333	3	X	 
73	15	Y (Y)	5	N	Y	0.6587	0.6666	3	X	 
