Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
BIZ3126-02-00	소비자행동론	3	김병규	월3,4,수4	경영102	54	114	49 (Y)	0	0	27	27	8	24	1	24	17.96
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	24	Y (Y)	6	Y	Y	0.7857	1.0000	4	O	 
2	24	Y (Y)	6	N	Y	0.9047	0.8333	4	O	 
3	24	Y (Y)	6	N	Y	0.8710	1.0000	4	O	 
4	24	Y (Y)	6	N	Y	0.8571	1.0000	4	O	 
5	24	Y (Y)	6	N	Y	0.8333	1.0000	4	O	 
6	24	Y (Y)	6	N	Y	0.8095	0.9444	4	O	 
7	24	Y (Y)	6	N	Y	0.7698	0.6666	4	O	 
8	24	Y (Y)	6	N	Y	0.6547	0.8333	3	O	 
9	24	Y (Y)	6	N	Y	0.6507	1.0000	3	O	 
10	24	Y (Y)	6	N	Y	0.6111	0.8611	3	O	 
11	24	Y (Y)	6	N	Y	0.5952	0.8611	3	O	 
12	24	Y (Y)	6	N	Y	0.5476	0.5000	3	O	 
13	24	Y (Y)	6	N	Y	0.5317	1.0000	3	O	 
14	24	Y (Y)	6	N	Y	0.5317	1.0000	3	O	 
15	24	Y (Y)	6	N	Y	0.5000	0.8750	3	O	 
16	24	Y (Y)	6	N	Y	0.4722	0.6666	3	O	 
17	24	Y (Y)	5	N	Y	0.7837	1.0000	4	O	 
18	24	Y (Y)	5	N	Y	0.7500	1.0000	4	O	교환학생 
19	24	Y (Y)	5	N	Y	0.7500	0.8750	4	O	교환학생 
20	24	Y (Y)	5	N	Y	0.7063	0.8333	4	O	 
21	24	Y (Y)	5	N	Y	0.6071	1.0000	3	O	 
22	24	Y (Y)	5	N	Y	0.5000	0.8750	3	O	교환학생 
23	24	Y (Y)	5	N	Y	0.5000	0.8750	3	O	교환학생 
24	24	Y (Y)	5	N	N	0.7777	0.8333	4	O	 
25	24	Y (Y)	4	N	Y	0.8313	1.0000	4	O	 
26	24	Y (Y)	4	N	Y	0.7500	0.8750	4	O	교환학생 
27	24	Y (Y)	4	N	Y	0.5000	0.8750	3	X	교환학생 
28	24	Y (Y)	4	N	Y	0.5000	0.8750	3	X	교환학생 
29	24	Y (Y)	4	N	Y	0.5000	0.8750	3	X	교환학생 
30	24	Y (Y)	4	N	Y	0.5000	0.8750	3	X	교환학생 
31	24	Y (Y)	3	N	Y	0.5000	0.8750	3	X	교환학생 
32	24	N (N)	6	N	Y	0.8452	0.8333	4	O	 
33	24	N (N)	6	N	Y	0.8293	0.8333	4	O	 
34	24	N (N)	6	N	Y	0.8015	0.8333	4	O	 
35	24	N (N)	6	N	Y	0.7916	0.7777	4	O	 
36	24	N (N)	5	N	Y	0.9365	0.8333	4	O	 
37	24	N (N)	4	Y	Y	0.9603	0.8333	4	X	 
38	24	N (N)	4	N	Y	0.5000	0.8750	3	X	교환학생 
39	24	N (N)	3	Y	Y	0.9285	0.8333	4	X	 
40	23	Y (Y)	6	N	Y	0.9265	1.0000	4	O	 
41	21	Y (Y)	6	N	Y	0.8134	1.0000	4	O	 
42	21	Y (Y)	6	N	Y	0.6428	1.0000	3	O	 
43	21	Y (Y)	6	N	Y	0.6031	1.0000	3	O	 
44	21	Y (Y)	6	N	Y	0.5317	0.8333	3	O	 
45	21	Y (Y)	5	N	Y	0.7500	0.8750	4	X	교환학생 
46	21	Y (Y)	5	N	Y	0.5000	0.8750	3	X	교환학생 
47	21	N (N)	6	Y	Y	0.9107	0.8333	4	X	 
48	20	Y (Y)	6	N	Y	0.6269	0.8333	3	O	 
49	20	Y (Y)	6	N	Y	0.6111	1.0000	3	O	 
50	20	Y (Y)	5	N	Y	0.7500	0.8750	4	X	교환학생 
51	20	Y (Y)	5	N	Y	0.7500	0.8750	4	X	교환학생 
52	20	Y (Y)	5	N	Y	0.5000	0.8750	3	X	교환학생 
53	20	Y (Y)	4	N	Y	0.7500	0.8750	4	X	교환학생 
