Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
BIZ3191-01-00	전략적제휴경영	3	박용석	월1,2,수2	경영B203	26	33	23 (Y)	0	0	9	17	10	24	1	24	9.03
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	24	Y (Y)	5	N	Y	0.5000	0.8750	3	O	교환학생 
2	24	Y (Y)	4	N	Y	0.7500	0.8750	4	O	교환학생 
3	24	Y (Y)	4	N	Y	0.7500	0.8750	4	O	교환학생 
4	20	Y (Y)	5	N	Y	0.7500	0.8750	4	O	교환학생 
5	16	Y (Y)	6	Y	Y	0.8571	1.0000	4	O	 
6	13	Y (Y)	6	N	Y	0.5079	1.0000	3	O	 
7	12	Y (Y)	6	N	Y	0.7936	1.0000	4	O	 
8	12	Y (Y)	6	N	Y	0.7777	1.0000	4	O	 
9	12	Y (Y)	5	N	Y	0.5000	0.8750	3	O	교환학생 
10	11	Y (Y)	6	N	Y	0.8666	0.9473	4	O	 
11	11	Y (Y)	6	N	Y	0.7698	1.0000	4	O	 
12	11	Y (Y)	6	N	Y	0.6111	1.0000	3	O	 
13	10	Y (Y)	6	N	Y	0.8650	0.8333	4	O	 
14	10	Y (Y)	6	N	Y	0.8509	1.0000	4	O	 
15	10	Y (Y)	6	N	Y	0.7222	0.8333	4	O	 
16	10	Y (Y)	6	N	Y	0.5396	1.0000	3	O	 
17	10	Y (Y)	5	N	Y	0.8809	0.8888	4	O	 
18	9	Y (Y)	6	Y	Y	0.9523	0.9444	4	O	 
19	9	N (N)	6	N	Y	0.7222	0.8333	4	O	 
20	8	Y (Y)	6	N	Y	0.7619	0.6666	4	O	 
21	6	Y (Y)	6	Y	Y	1.0000	0.6666	4	O	 
22	4	Y (Y)	6	N	Y	0.8313	1.0000	4	O	 
23	4	Y (Y)	6	N	Y	0.7936	1.0000	4	O	 
24	4	Y (Y)	6	N	Y	0.5238	0.8333	3	O	 
25	3	Y (Y)	6	Y	Y	1.0000	0.5000	4	O	 
26	3	Y (Y)	6	N	Y	0.5317	1.0000	3	O	 
27	2	Y (Y)	6	N	Y	0.7619	1.0000	4	O	 
28	1	Y (Y)	6	N	Y	1.0000	1.0000	4	X	 
29	1	Y (Y)	6	N	Y	0.8809	1.0000	4	X	 
30	1	Y (Y)	6	N	Y	0.6507	0.8333	3	O	 
31	1	Y (Y)	5	N	Y	0.9047	1.0000	4	X	 
32	1	Y (Y)	5	N	Y	0.7837	1.0000	4	X	 
33	1	N (N)	6	N	Y	0.6031	1.0000	3	O	 
