Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
BIZ4173-01-00	프랜차이즈관리	3	오세조	화8,9,목7	경영B101	36	35	32 (Y)	0	0	9	27	O	24	1	23	6.69
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	23	Y (Y)	5	Y	Y	0.8571	0.5000	4	O	 
2	21	Y (Y)	5	N	Y	0.4126	0.6666	3	O	 
3	15	Y (Y)	6	N	Y	0.7333	0.7894	4	O	 
4	15	Y (Y)	5	N	Y	0.6592	0.7894	3	O	 
5	13	Y (Y)	6	Y	Y	0.8888	1.0000	4	O	 
6	12	Y (Y)	6	N	Y	0.6904	0.5000	4	O	 
7	11	Y (Y)	5	N	Y	0.6984	0.9444	4	O	 
8	10	Y (Y)	6	N	Y	0.7936	1.0000	4	O	 
9	10	Y (Y)	6	N	Y	0.7301	1.0000	4	O	 
10	10	Y (Y)	6	N	Y	0.7142	0.8333	4	O	 
11	9	Y (Y)	6	Y	Y	0.8968	1.0000	4	O	 
12	8	Y (Y)	6	N	Y	0.7619	0.6666	4	O	 
13	8	Y (Y)	6	N	Y	0.6666	0.6666	3	O	 
14	7	Y (Y)	6	N	Y	0.5952	0.6666	3	O	 
15	6	Y (Y)	6	N	Y	0.8571	0.8333	4	O	 
16	6	Y (Y)	5	N	Y	0.8492	1.0000	4	O	 
17	5	Y (Y)	6	Y	Y	0.9761	1.0000	4	O	 
18	5	Y (Y)	6	N	Y	0.7619	1.0000	4	O	 
19	5	N (N)	6	N	Y	0.9111	0.8333	4	O	 
20	4	Y (Y)	6	Y	Y	1.0000	0.9473	4	O	 
21	4	Y (Y)	6	Y	Y	0.9047	1.0000	4	O	 
22	4	Y (Y)	6	N	Y	0.8710	1.0000	4	O	 
23	4	Y (Y)	6	N	Y	0.6428	1.0000	3	O	 
24	3	Y (Y)	6	Y	Y	0.7698	1.0000	4	O	 
25	3	Y (Y)	6	N	Y	0.7301	1.0000	4	O	 
26	3	N (N)	6	Y	Y	0.8809	1.0000	4	O	 
27	2	Y (Y)	6	N	Y	0.7857	0.8333	4	O	 
28	1	Y (Y)	6	N	Y	1.0000	0.8333	4	O	 
29	1	Y (Y)	6	N	Y	0.9126	1.0000	4	O	 
30	1	Y (Y)	6	N	Y	0.8814	0.4736	4	O	 
31	1	Y (Y)	6	N	Y	0.8650	0.9444	4	O	 
32	1	Y (Y)	6	N	Y	0.8134	1.0000	4	O	 
33	1	Y (Y)	6	N	Y	0.6269	0.8333	3	O	 
34	1	Y (Y)	5	N	Y	0.8730	1.0000	4	X	 
35	1	N (N)	6	Y	Y	1.0000	0.3888	4	X	 
