Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
YCF1302-02-00	중국어(2)	3	김아영	화3,4,목3(목4)	교410(교410)	27	24	0 (N)	0	9	9	9	O	36	1	30	7.46
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	30	N (N)	6	N	Y	0.2579	0.9166	2	O	 
2	19	N (N)	6	N	Y	0.4960	0.8333	3	O	 
3	16	N (N)	6	N	Y	0.8148	0.7894	4	O	 
4	14	N (N)	4	Y	Y	0.9214	0.9473	4	O	 
5	12	N (N)	6	N	Y	0.7703	0.9473	4	O	 
6	12	N (N)	6	N	Y	0.3095	0.9444	2	O	 
7	10	N (N)	6	N	Y	0.5185	0.7894	3	O	 
8	9	N (N)	6	N	Y	0.3095	0.9444	2	O	 
9	9	N (N)	6	N	Y	0.2341	0.7222	2	O	 
10	8	N (N)	5	N	Y	0.2857	0.8888	2	O	 
11	7	N (N)	6	N	Y	0.5131	0.8333	2	O	 
12	5	N (N)	6	N	Y	0.5000	0.7631	3	O	 
13	5	N (N)	6	N	Y	0.4928	0.7894	3	O	 
14	4	N (N)	6	Y	Y	0.8650	1.0000	4	O	 
15	4	N (N)	3	Y	Y	0.8285	1.0000	4	O	 
16	3	N (N)	6	N	Y	0.8253	1.0000	4	O	 
17	3	N (N)	6	N	Y	0.5000	1.0000	3	O	 
18	2	N (N)	6	N	Y	0.4960	0.9722	2	O	 
19	2	N (N)	6	N	Y	0.2740	0.7368	2	O	 
20	1	N (N)	6	N	Y	0.7259	0.7894	4	O	 
21	1	N (N)	6	N	Y	0.6031	0.3333	4	O	 
22	1	N (N)	6	N	Y	0.5714	0.9722	3	O	 
23	1	N (N)	5	Y	Y	0.9761	0.6666	4	O	 
24	1	N (N)	5	N	Y	0.8814	0.9473	4	X	 
