Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
MEU2640-01-00	유체역학및실험	3	주원구	수5,목6,7(수4)	공D403(공D403)	55	75	0 (N)	0	0	0	0	X	36	1	20	9.31
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	20	Y (Y)	6	N	Y	0.5214	0.8157	3	O	 
2	20	Y (N)	5	N	Y	0.8296	0.7894	4	O	 
3	17	Y (N)	6	N	Y	0.7000	0.7894	4	O	 
4	16	Y (Y)	6	N	N	0.7071	0.9473	4	O	 
5	15	Y (N)	6	N	Y	0.7777	1.0000	4	O	 
6	15	Y (Y)	6	N	Y	0.4500	0.6315	3	O	 
7	15	Y (Y)	6	N	Y	0.4285	0.4736	3	O	 
8	15	Y (Y)	6	N	N	0.7428	1.0000	4	O	 
9	14	Y (Y)	6	N	Y	0.5785	0.9210	3	O	 
10	14	Y (Y)	6	N	Y	0.4785	0.7894	3	O	 
11	13	Y (Y)	5	N	N	0.6500	0.7894	4	O	 
12	12	Y (Y)	6	N	Y	0.5428	0.9736	3	O	 
13	12	Y (Y)	6	N	Y	0.5357	1.0000	3	O	 
14	12	Y (Y)	6	N	Y	0.4571	0.7894	3	O	 
15	12	Y (Y)	6	N	Y	0.3785	0.6315	3	O	 
16	12	Y (Y)	6	N	N	0.7785	1.0000	4	O	 
17	12	Y (N)	5	N	Y	1.0000	0.9473	4	O	 
18	12	Y (Y)	5	N	Y	0.5285	0.9473	3	O	 
19	11	Y (Y)	6	N	Y	0.7000	0.9473	4	O	 
20	11	Y (Y)	6	N	Y	0.5928	1.0000	3	O	 
21	11	Y (Y)	6	N	Y	0.5214	0.9473	3	O	 
22	11	Y (Y)	6	N	Y	0.5000	0.9473	3	O	 
23	11	Y (Y)	6	N	Y	0.5000	0.7894	3	O	 
24	11	Y (Y)	6	N	Y	0.4785	0.8421	3	O	 
25	11	Y (Y)	6	N	Y	0.4714	0.9473	3	O	 
26	11	Y (Y)	6	N	Y	0.4428	0.8421	3	O	 
27	10	Y (N)	6	N	Y	0.8250	1.0000	4	O	 
28	10	Y (Y)	6	N	Y	0.6071	0.8947	3	O	 
29	10	Y (Y)	6	N	Y	0.5928	0.9736	3	O	 
30	10	Y (Y)	6	N	Y	0.5357	1.0000	3	O	 
31	10	Y (Y)	6	N	Y	0.5142	0.9473	3	O	 
32	10	Y (Y)	6	N	Y	0.5071	0.8947	3	O	 
33	10	Y (Y)	6	N	Y	0.4857	0.9473	3	O	 
34	10	Y (N)	5	N	Y	0.8650	1.0000	4	O	 
35	10	Y (Y)	5	N	Y	0.5000	0.7894	3	O	 
36	9	Y (Y)	6	N	Y	0.6500	0.9473	3	O	 
37	9	Y (Y)	6	N	Y	0.5214	0.9473	3	O	 
38	9	Y (Y)	6	N	Y	0.4928	0.8421	3	O	 
39	9	Y (Y)	6	N	N	0.7285	1.0000	4	O	 
40	9	Y (Y)	5	N	Y	0.4785	0.9473	3	O	 
41	9	Y (Y)	4	N	N	0.8714	0.7894	4	O	 
42	8	Y (Y)	6	N	Y	0.6714	0.6315	4	O	 
43	8	Y (Y)	6	N	Y	0.6142	1.0000	4	O	 
44	8	Y (Y)	6	N	Y	0.5392	0.8947	3	O	 
45	8	Y (Y)	6	N	Y	0.5392	0.8157	3	O	 
46	8	Y (Y)	6	N	Y	0.5142	0.8421	3	O	 
47	8	Y (Y)	6	N	Y	0.2642	0.6315	2	O	 
48	8	Y (N)	5	Y	Y	1.0000	0.8333	4	O	 
49	7	Y (N)	6	N	Y	0.8814	0.7894	4	O	 
50	7	Y (Y)	6	N	Y	0.5642	0.8947	3	O	 
51	7	Y (Y)	6	N	Y	0.5285	0.9473	3	O	 
52	7	Y (Y)	6	N	Y	0.5214	0.9473	3	O	 
53	7	Y (Y)	6	N	Y	0.5071	0.7894	3	O	 
54	7	Y (Y)	6	N	Y	0.4357	0.8947	3	O	 
55	7	Y (Y)	6	N	Y	0.4357	0.7894	3	O	 
56	7	Y (Y)	6	N	N	0.8214	1.0000	4	X	 
57	7	Y (Y)	6	N	N	0.6857	1.0000	4	X	 
58	6	Y (Y)	6	N	Y	0.5500	0.9736	3	X	 
59	6	Y (Y)	6	N	Y	0.5428	0.9473	3	X	 
60	6	Y (Y)	6	N	Y	0.5392	0.8157	3	X	 
61	6	Y (Y)	6	N	Y	0.5285	0.9473	3	X	 
62	6	Y (Y)	6	N	Y	0.5071	0.7894	3	X	 
63	6	Y (Y)	6	N	Y	0.5000	0.7894	3	X	 
64	6	Y (Y)	6	N	Y	0.4857	0.9473	3	X	 
65	6	Y (Y)	6	N	N	0.8928	0.9473	4	X	 
66	6	Y (Y)	6	N	N	0.7571	0.9473	4	X	 
67	5	Y (Y)	6	N	Y	0.6357	0.9473	3	X	 
68	5	Y (Y)	6	N	Y	0.5357	0.7894	3	X	 
69	5	Y (Y)	6	N	Y	0.5214	0.8947	3	X	 
70	5	Y (Y)	6	N	Y	0.5142	0.7894	3	X	 
71	5	Y (Y)	6	N	Y	0.4357	0.9473	3	X	 
72	3	Y (Y)	6	N	Y	0.5642	0.8157	3	X	 
73	3	Y (Y)	6	N	Y	0.5357	0.9473	3	X	 
74	3	Y (Y)	6	N	Y	0.4142	0.7894	3	X	 
75	1	Y (Y)	6	N	Y	0.5428	0.9473	3	X	 
