Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
MST2110-01-00	재료수학(1)	3	강달영	월2,3,수5	공B037	45	82	0 (N)	0	0	0	0	X	36	1	36	15.23
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	Y (Y)	6	N	Y	0.2785	1.0000	2	O	 
2	36	Y (Y)	6	N	Y	0.2714	0.9736	2	O	 
3	36	Y (Y)	6	N	N	0.5571	0.9473	3	O	 
4	35	Y (Y)	6	N	Y	0.2714	0.9473	2	O	 
5	35	Y (Y)	6	N	Y	0.2571	1.0000	2	O	 
6	32	Y (Y)	6	N	Y	0.2857	0.8947	2	O	 
7	32	Y (Y)	4	N	Y	0.2357	0.8421	2	O	 
8	31	N (N)	6	N	Y	0.4071	0.8421	3	O	 
9	30	Y (Y)	4	N	N	0.5714	0.7894	3	O	 
10	28	Y (Y)	6	N	Y	0.2642	0.5263	2	O	 
11	25	Y (Y)	6	N	Y	0.2142	0.6842	2	O	 
12	24	Y (Y)	6	N	Y	0.2535	0.8157	2	O	 
13	23	Y (Y)	6	N	Y	0.2785	1.0000	2	O	 
14	23	Y (Y)	6	N	Y	0.2785	1.0000	2	O	 
15	22	Y (Y)	6	N	Y	0.2857	1.0000	2	O	 
16	22	Y (Y)	6	N	Y	0.2785	1.0000	2	O	 
17	21	Y (Y)	6	N	Y	0.3035	1.0000	2	O	 
18	21	Y (Y)	6	N	Y	0.2785	1.0000	2	O	 
19	21	Y (Y)	6	N	Y	0.2750	0.9736	2	O	 
20	20	Y (Y)	6	N	Y	0.2857	1.0000	2	O	 
21	20	Y (Y)	6	N	Y	0.2857	1.0000	2	O	 
22	20	Y (Y)	6	N	Y	0.2857	1.0000	2	O	 
23	20	Y (Y)	6	N	Y	0.2857	1.0000	2	O	 
24	20	Y (Y)	6	N	Y	0.2857	1.0000	2	O	 
25	20	Y (Y)	6	N	Y	0.2821	1.0000	2	O	 
26	20	Y (Y)	6	N	Y	0.2785	1.0000	2	O	 
27	20	Y (Y)	6	N	Y	0.2785	1.0000	2	O	 
28	20	Y (Y)	6	N	Y	0.2642	1.0000	2	O	 
29	20	Y (Y)	6	N	Y	0.2642	0.8947	2	O	 
30	20	Y (Y)	6	N	Y	0.2357	0.8421	2	O	 
31	20	Y (Y)	6	N	Y	0.2321	0.8157	2	O	 
32	20	Y (Y)	6	N	N	0.4857	0.9473	3	O	 
33	19	Y (Y)	6	N	Y	0.2857	1.0000	2	O	 
34	19	Y (Y)	6	N	Y	0.2642	1.0000	2	O	 
35	18	Y (Y)	6	N	Y	0.4285	1.0000	2	O	 
36	18	Y (Y)	6	N	Y	0.2785	1.0000	2	O	 
37	18	Y (Y)	6	N	Y	0.2785	1.0000	2	O	 
38	18	Y (Y)	6	N	Y	0.2785	1.0000	2	O	 
39	18	Y (Y)	6	N	N	0.5357	0.7894	3	O	 
40	17	Y (Y)	6	N	Y	0.5142	0.9473	3	O	 
41	16	Y (Y)	6	N	Y	0.3071	1.0000	2	O	 
42	16	Y (Y)	6	N	Y	0.2785	1.0000	2	O	 
43	16	Y (Y)	6	N	Y	0.2785	1.0000	2	O	 
44	15	Y (Y)	6	N	Y	0.2642	1.0000	2	O	 
45	15	Y (Y)	6	N	Y	0.2285	0.8421	2	O	 
46	14	Y (Y)	6	N	Y	0.4714	0.7894	3	X	 
47	13	Y (Y)	6	N	Y	0.3285	1.0000	2	X	 
48	13	Y (Y)	6	N	Y	0.3071	1.0000	2	X	 
49	13	Y (Y)	6	N	Y	0.2857	1.0000	2	X	 
50	12	Y (Y)	6	N	Y	0.3500	1.0000	2	X	 
51	12	Y (Y)	6	N	Y	0.2928	0.9473	2	X	 
52	12	Y (Y)	6	N	Y	0.2785	1.0000	2	X	 
53	12	Y (Y)	6	N	Y	0.2642	0.8947	2	X	 
54	11	Y (Y)	6	N	Y	0.2857	1.0000	2	X	 
55	11	Y (Y)	6	N	Y	0.2857	0.9473	2	X	 
56	10	Y (Y)	6	N	Y	0.2500	0.7894	2	X	 
57	9	Y (Y)	6	N	Y	0.2714	1.0000	2	X	 
58	9	Y (Y)	6	N	N	0.8214	1.0000	4	X	 
59	8	Y (Y)	6	N	Y	0.2571	0.8421	2	X	 
60	7	Y (Y)	6	N	Y	0.2857	0.8947	2	X	 
61	7	Y (Y)	6	N	Y	0.2785	1.0000	2	X	 
62	7	Y (Y)	6	N	Y	0.2214	0.5789	2	X	 
63	6	Y (Y)	6	N	Y	0.2785	1.0000	2	X	 
64	6	Y (Y)	6	N	Y	0.2785	1.0000	2	X	 
65	6	Y (Y)	6	N	Y	0.2785	1.0000	2	X	 
66	5	Y (Y)	6	N	Y	0.2750	1.0000	2	X	 
67	4	Y (Y)	6	N	Y	0.2857	1.0000	2	X	 
68	3	Y (Y)	6	N	Y	0.2785	1.0000	2	X	 
69	3	Y (Y)	6	N	Y	0.2714	1.0000	2	X	 
70	3	Y (Y)	6	N	Y	0.2642	0.9473	2	X	 
71	3	Y (Y)	6	N	Y	0.2571	1.0000	2	X	 
