Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
EEE2020-01-00	데이터구조	3	김은태	월6,7,수5	공B039	100	137	100 (Y)	0	85	10	5	O	36	1	36	30.29
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	Y (Y)	6	Y	Y	1.0000	0.7894	4	O	 
2	36	Y (Y)	6	Y	N	0.9785	1.0000	4	O	 
3	36	Y (Y)	6	N	Y	1.0000	0.9473	4	O	 
4	36	Y (Y)	6	N	Y	0.8740	0.9473	4	O	 
5	36	Y (Y)	6	N	Y	0.8571	0.9473	4	O	 
6	36	Y (Y)	6	N	Y	0.8071	0.9473	4	X	 
7	36	Y (Y)	6	N	Y	0.8071	0.8421	4	X	 
8	36	Y (Y)	6	N	Y	0.7928	0.9473	4	X	 
9	36	Y (Y)	6	N	Y	0.7785	0.9473	4	X	 
10	36	Y (Y)	6	N	Y	0.7785	0.9473	4	X	 
11	36	Y (Y)	6	N	Y	0.7642	0.9473	4	X	 
12	36	Y (Y)	6	N	Y	0.6142	0.9473	4	X	 
13	36	Y (Y)	6	N	Y	0.5928	0.9473	3	O	 
14	36	Y (Y)	6	N	Y	0.5500	0.9473	3	O	 
15	36	Y (Y)	6	N	Y	0.5428	0.9473	3	O	 
16	36	Y (Y)	6	N	Y	0.5000	0.9210	3	O	 
17	36	Y (Y)	6	N	Y	0.4714	0.7894	3	O	 
18	36	Y (Y)	6	N	Y	0.3678	0.8157	2	O	 
19	36	Y (Y)	6	N	Y	0.3357	0.6315	3	O	 
20	36	Y (Y)	6	N	Y	0.2785	1.0000	2	O	 
21	36	Y (Y)	6	N	Y	0.2785	1.0000	2	O	 
22	36	Y (Y)	6	N	Y	0.2785	1.0000	2	O	 
23	36	Y (Y)	6	N	Y	0.2785	1.0000	2	O	 
24	36	Y (Y)	6	N	Y	0.2785	1.0000	2	O	 
25	36	Y (Y)	6	N	Y	0.2785	0.8947	2	O	 
26	36	Y (Y)	6	N	Y	0.2750	0.8157	2	O	 
27	36	Y (Y)	6	N	Y	0.2642	0.9473	2	O	 
28	36	Y (Y)	6	N	Y	0.2642	0.7894	2	O	 
29	36	Y (Y)	6	N	Y	0.2571	1.0000	2	O	 
30	36	Y (Y)	6	N	Y	0.2214	0.0000	2	O	 
31	36	Y (Y)	6	N	N	0.8071	1.0000	4	X	 
32	36	Y (Y)	6	N	N	0.8071	1.0000	4	X	 
33	36	Y (Y)	6	N	N	0.7857	0.7894	4	X	 
34	36	Y (Y)	6	N	N	0.7714	0.9473	4	X	 
35	36	Y (Y)	6	N	N	0.6357	0.9473	3	O	 
36	36	Y (Y)	6	N	N	0.6285	0.9473	3	O	 
37	36	Y (Y)	5	Y	Y	1.0000	0.9473	4	X	 
38	36	Y (Y)	5	Y	Y	0.8928	1.0000	4	X	 
39	36	Y (Y)	5	N	Y	0.8571	0.7894	4	X	 
40	36	Y (Y)	5	N	Y	0.8370	1.0000	4	X	 
41	36	Y (Y)	5	N	Y	0.8214	0.6315	4	X	 
42	36	Y (Y)	5	N	Y	0.8000	0.9473	4	X	 
43	36	Y (Y)	5	N	Y	0.7785	0.8421	4	X	 
44	36	Y (Y)	5	N	Y	0.7428	0.7894	4	X	 
45	36	Y (Y)	5	N	Y	0.3500	0.8157	2	O	 
46	36	Y (Y)	5	N	Y	0.2785	1.0000	2	O	 
47	36	Y (Y)	5	N	Y	0.2785	1.0000	2	O	 
48	36	Y (Y)	5	N	Y	0.2321	0.6578	2	O	 
49	36	Y (Y)	5	N	N	0.4857	0.6315	4	X	 
50	36	Y (Y)	4	N	Y	0.8000	1.0000	4	X	 
51	36	Y (Y)	4	N	Y	0.6428	1.0000	4	X	 
52	36	Y (Y)	2	Y	N	1.0000	0.8421	4	X	 
53	36	Y (Y)	2	N	N	0.9785	0.4736	4	X	 
54	36	Y (Y)	2	N	N	0.5964	0.8421	3	O	 
55	36	Y (Y)	1	Y	Y	0.9928	0.7894	4	X	 
56	35	Y (Y)	6	N	Y	0.7142	0.9473	4	X	 
57	35	Y (Y)	6	N	Y	0.2857	1.0000	2	O	 
58	35	Y (Y)	6	N	Y	0.2785	0.8421	2	O	 
59	35	Y (Y)	6	N	Y	0.2714	0.7894	2	O	 
60	34	Y (Y)	6	N	Y	0.2785	1.0000	2	O	 
61	34	Y (Y)	5	N	Y	0.2785	1.0000	2	O	 
62	34	Y (Y)	5	N	Y	0.2642	0.8947	2	O	 
