Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
EEE4340-02-00	전력공학	3	허견	화8,9,목1	공D508	40	35	40 (Y)	0	0	0	40	O	36	2	36	11.57
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	Y (Y)	3	Y	Y	0.9357	0.9473	4	O	 
2	35	Y (Y)	4	Y	Y	0.9214	0.9473	4	O	 
3	29	Y (Y)	5	N	Y	0.8000	1.0000	4	O	 
4	20	Y (Y)	6	N	Y	0.8285	1.0000	4	O	 
5	20	Y (Y)	6	N	Y	0.6714	0.9473	4	O	 
6	17	Y (Y)	6	N	Y	0.7357	0.7894	4	O	 
7	17	Y (Y)	5	Y	Y	0.8928	0.9473	4	O	 
8	15	Y (Y)	6	N	Y	0.9000	0.9473	4	O	 
9	15	Y (Y)	6	N	Y	0.6142	0.9473	4	O	 
10	13	Y (Y)	6	N	Y	0.8000	1.0000	4	O	 
11	13	Y (Y)	5	N	Y	0.7785	0.8421	4	O	 
12	12	Y (Y)	6	N	Y	0.7642	0.9473	4	O	 
13	11	Y (Y)	6	N	Y	0.8500	1.0000	4	O	 
14	10	Y (Y)	6	N	Y	0.8142	0.9473	4	O	 
15	10	Y (Y)	6	N	Y	0.4714	0.7368	4	O	 
16	10	Y (Y)	5	N	Y	0.9000	1.0000	4	O	 
17	10	Y (Y)	5	N	Y	0.7714	1.0000	4	O	 
18	10	Y (Y)	4	Y	Y	0.9214	0.9473	4	O	 
19	10	Y (Y)	4	N	Y	0.7071	0.6315	4	O	 
20	9	Y (Y)	6	N	Y	0.8178	1.0000	4	O	 
21	9	Y (Y)	6	N	Y	0.7571	1.0000	4	O	 
22	9	Y (Y)	6	N	Y	0.7142	0.9473	4	O	 
23	8	Y (Y)	5	N	Y	0.7928	0.9473	4	O	 
24	7	Y (Y)	6	N	Y	0.8357	0.9473	4	O	 
25	7	Y (Y)	6	N	Y	0.7714	1.0000	4	O	 
26	7	Y (Y)	6	N	Y	0.7571	0.9473	4	O	 
27	6	Y (Y)	5	N	Y	0.8000	0.9473	4	O	 
28	5	Y (Y)	6	Y	Y	0.8000	0.9473	4	O	 
29	5	Y (Y)	6	N	Y	0.7857	1.0000	4	O	 
30	5	Y (Y)	5	N	Y	0.8071	0.9473	4	O	 
31	4	Y (Y)	5	N	Y	0.7571	0.9473	4	O	 
32	4	Y (Y)	4	Y	Y	0.9500	0.3157	4	O	 
33	3	Y (Y)	6	N	Y	0.8071	0.9473	4	O	 
34	2	Y (Y)	6	N	Y	0.7785	0.9473	4	O	 
35	2	Y (Y)	6	N	Y	0.6071	0.6315	4	O	 
