Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
CSI2103-02-00	자료구조	3	안형찬	월6,수5,6	공D603	90	82	45 (Y)	0	0	0	0	O	36	1	36	16.13
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	Y (Y)	1	N	Y	1.0000	0.5000	4	O	 
2	33	N (N)	5	N	Y	0.6888	0.7894	4	O	 
3	25	Y (Y)	6	N	Y	0.2857	1.0000	2	O	 
4	25	Y (Y)	6	N	Y	0.2642	1.0000	2	O	 
5	25	Y (Y)	6	N	Y	0.2642	0.8947	2	O	 
6	24	Y (Y)	5	N	Y	0.5793	1.0000	3	O	 
7	23	Y (Y)	6	N	Y	0.2214	0.7368	2	O	 
8	21	Y (Y)	6	N	Y	0.2857	1.0000	2	O	 
9	21	Y (Y)	6	N	Y	0.2571	0.8421	2	O	 
10	21	Y (Y)	5	N	Y	0.2785	1.0000	2	O	 
11	21	N (N)	6	N	Y	0.5000	0.7894	3	O	 
12	20	Y (Y)	6	N	Y	0.3428	0.7368	2	O	 
13	20	Y (Y)	6	N	Y	0.3214	0.7368	2	O	 
14	20	Y (Y)	6	N	Y	0.2857	1.0000	2	O	 
15	20	Y (Y)	6	N	Y	0.2857	1.0000	2	O	 
16	20	Y (Y)	6	N	Y	0.2857	1.0000	2	O	 
17	20	Y (Y)	6	N	Y	0.2785	1.0000	2	O	 
18	20	Y (Y)	6	N	Y	0.2607	0.8947	2	O	 
19	20	Y (Y)	6	N	N	0.7714	0.7894	4	O	 
20	20	N (N)	6	N	Y	0.4629	0.7894	3	O	 
21	20	N (N)	6	N	Y	0.2500	0.8750	2	O	 
22	20	N (N)	6	N	Y	0.2444	0.7368	2	O	 
23	19	Y (Y)	6	N	Y	0.3000	1.0000	2	O	 
24	19	Y (Y)	6	N	Y	0.2857	1.0000	2	O	 
25	19	Y (Y)	6	N	Y	0.2785	1.0000	2	O	 
26	18	Y (Y)	6	N	Y	0.8412	0.9444	4	O	 
27	18	Y (Y)	6	N	Y	0.2785	1.0000	2	O	 
28	18	Y (Y)	6	N	Y	0.2428	0.7368	2	O	 
29	18	Y (Y)	6	N	N	0.5714	0.8421	3	O	 
30	18	Y (Y)	6	N	N	0.5285	0.9473	3	O	 
31	18	N (N)	6	N	Y	0.4535	0.9736	2	O	 
32	17	Y (Y)	6	N	Y	0.4000	0.7368	3	O	 
33	17	Y (Y)	6	N	N	0.7642	1.0000	4	O	 
34	17	N (N)	5	N	Y	0.4214	0.9473	2	O	 
35	16	Y (Y)	6	N	Y	0.8666	0.6315	4	O	 
36	16	Y (Y)	6	N	Y	0.2857	1.0000	2	O	 
37	16	Y (Y)	6	N	Y	0.2857	1.0000	2	O	 
38	16	Y (Y)	6	N	Y	0.2785	1.0000	2	O	 
39	16	Y (Y)	6	N	Y	0.2785	1.0000	2	O	 
40	16	Y (Y)	6	N	Y	0.2714	0.9473	2	O	 
41	16	Y (Y)	6	N	Y	0.2571	0.8421	2	O	 
42	16	Y (Y)	6	N	Y	0.2428	0.7894	2	O	 
43	16	Y (Y)	5	N	N	1.0000	1.0000	4	O	 
44	16	N (N)	6	N	Y	0.4785	0.9473	3	O	 
45	16	N (N)	5	N	Y	0.8962	0.8421	4	O	 
46	15	Y (Y)	6	N	Y	0.5396	0.8888	3	O	 
47	15	Y (Y)	6	N	Y	0.5214	0.8947	3	O	 
48	15	Y (Y)	6	N	Y	0.2857	1.0000	2	O	 
49	15	Y (Y)	6	N	Y	0.2857	1.0000	2	O	 
50	15	Y (Y)	6	N	Y	0.2857	1.0000	2	O	 
51	15	Y (Y)	6	N	Y	0.2785	0.8947	2	O	 
52	15	N (N)	6	N	Y	0.6230	1.0000	3	O	 
53	15	N (N)	6	N	Y	0.4857	0.9473	3	O	 
54	15	N (N)	6	N	Y	0.4444	0.8333	3	O	 
55	14	Y (Y)	6	N	Y	0.4642	0.4736	3	O	 
56	14	Y (Y)	6	N	Y	0.3851	0.7894	2	O	 
57	14	Y (Y)	6	N	Y	0.1928	0.6315	2	O	 
58	14	Y (Y)	5	N	Y	0.4000	0.6315	3	O	 
