Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
CSI4130-01-00	미래컴퓨터과학전공탐색	1	이경우	월1	공D603	100	56	50 (Y)	0	0	0	0	O	36	1	36	3.16
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	Y (Y)	3	Y	Y	1.0000	0.4736	4	O	 
2	25	N (N)	6	N	Y	0.8222	0.8947	4	O	 
3	10	Y (Y)	6	N	Y	0.7357	0.9473	4	O	 
4	8	Y (Y)	6	N	Y	0.7714	0.9473	4	O	 
5	8	Y (Y)	6	N	N	0.7285	0.7894	4	O	 
6	7	Y (Y)	6	N	Y	0.9777	0.8421	4	O	 
7	6	Y (Y)	6	N	Y	0.4357	0.9473	3	O	 
8	4	Y (Y)	6	N	Y	0.6142	0.9473	3	O	 
9	4	Y (Y)	6	N	Y	0.4857	0.9473	3	O	 
10	3	Y (Y)	6	N	Y	0.7142	1.0000	3	O	 
11	3	Y (Y)	6	N	Y	0.6928	0.7368	4	O	 
12	3	Y (Y)	6	N	Y	0.5785	0.9210	3	O	 
13	3	Y (Y)	6	N	Y	0.5714	0.9736	3	O	 
14	3	Y (Y)	5	N	Y	0.6642	0.2631	4	O	 
15	2	Y (Y)	6	N	Y	0.7857	0.9444	4	O	 
16	2	Y (Y)	6	N	Y	0.7428	0.6315	4	O	 
17	2	Y (Y)	6	N	Y	0.6214	0.9473	4	O	 
18	2	Y (Y)	6	N	Y	0.5357	1.0000	3	O	 
19	2	Y (Y)	6	N	Y	0.5285	0.9473	3	O	 
20	2	Y (Y)	6	N	Y	0.5214	1.0000	3	O	 
21	2	Y (Y)	6	N	Y	0.5214	0.8684	3	O	 
22	2	Y (Y)	6	N	Y	0.5071	0.8684	3	O	 
23	2	Y (Y)	6	N	Y	0.5000	0.9210	3	O	 
24	2	Y (Y)	6	N	Y	0.4642	0.7105	3	O	 
25	2	Y (Y)	6	N	Y	0.4285	0.7894	3	O	 
26	2	Y (Y)	6	N	Y	0.3851	0.7894	2	O	 
27	1	Y (Y)	6	N	Y	0.8571	1.0000	4	O	 
28	1	Y (Y)	6	N	Y	0.8412	0.9444	4	O	 
29	1	Y (Y)	6	N	Y	0.7928	1.0000	4	O	 
30	1	Y (Y)	6	N	Y	0.7714	0.8947	4	O	 
31	1	Y (Y)	6	N	Y	0.7214	0.8421	4	O	 
32	1	Y (Y)	6	N	Y	0.6785	0.6842	3	O	 
33	1	Y (Y)	6	N	Y	0.6642	0.9473	3	O	 
34	1	Y (Y)	6	N	Y	0.6357	0.8421	3	O	 
35	1	Y (Y)	6	N	Y	0.6357	0.6315	4	O	 
36	1	Y (Y)	6	N	Y	0.5857	1.0000	3	O	 
37	1	Y (Y)	6	N	Y	0.5785	1.0000	3	O	 
38	1	Y (Y)	6	N	Y	0.5571	0.9473	3	O	 
39	1	Y (Y)	6	N	Y	0.5500	1.0000	3	O	 
40	1	Y (Y)	6	N	Y	0.5500	0.8947	3	O	 
41	1	Y (Y)	6	N	Y	0.5428	0.9473	3	O	 
42	1	Y (Y)	6	N	Y	0.5428	0.9473	3	O	 
43	1	Y (Y)	6	N	Y	0.5357	0.8947	3	O	 
44	1	Y (Y)	6	N	Y	0.5214	1.0000	3	O	 
45	1	Y (Y)	6	N	Y	0.5214	0.8947	3	O	 
46	1	Y (Y)	6	N	Y	0.5142	0.8684	3	O	 
47	1	Y (Y)	6	N	Y	0.5035	1.0000	3	O	 
48	1	Y (Y)	6	N	Y	0.5035	0.8421	3	O	 
49	1	Y (Y)	6	N	Y	0.5000	0.9473	3	O	 
50	1	Y (Y)	6	N	Y	0.5000	0.9210	3	O	 
51	1	Y (Y)	6	N	Y	0.4928	0.7894	3	O	 
52	1	Y (Y)	6	N	Y	0.3214	0.7368	2	O	 
53	1	Y (Y)	6	N	Y	0.1285	0.7368	2	O	 
54	1	Y (Y)	3	N	Y	0.8428	0.9473	4	O	 
55	1	N (N)	6	N	Y	0.9206	1.0000	4	O	 
56	1	N (N)	6	N	Y	0.5142	1.0000	3	O	 
