Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
SLS3117-01-00	승마(1)	1	이원일	토9,10/토9,10	체207/외부	20	34	0 (N)	0	0	0	0	O	36	1	36	19.68
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	N (N)	6	Y	Y	1.0000	0.5555	4	O	 
2	36	N (N)	6	N	Y	0.7500	0.8750	4	O	 
3	36	N (N)	6	N	Y	0.5476	1.0000	3	O	 
4	36	N (N)	5	N	Y	1.0000	0.9473	4	O	 
5	36	N (N)	3	Y	Y	1.0000	0.6666	4	O	 
6	35	N (N)	6	Y	Y	0.9851	0.9473	4	O	 
7	35	N (N)	3	Y	Y	1.0000	0.3333	4	O	 
8	35	N (N)	2	N	Y	0.9285	1.0000	4	O	 
9	30	N (N)	6	Y	Y	0.9047	1.0000	4	O	 
10	30	N (N)	6	N	Y	0.5357	1.0000	3	O	 
11	29	N (N)	6	N	Y	0.4960	0.8611	3	O	 
12	27	N (N)	6	N	Y	0.9214	1.0000	4	O	 
13	25	N (N)	6	N	Y	0.7857	0.7777	4	O	 
14	25	N (N)	6	N	Y	0.5238	1.0000	3	O	 
15	23	N (N)	6	N	Y	0.8809	1.0000	4	O	 
16	23	N (N)	5	N	Y	0.5555	1.0000	3	O	 
17	20	N (N)	6	N	Y	0.8222	1.0000	4	O	 
18	18	N (N)	5	N	Y	0.8174	0.9444	4	O	 
19	18	N (N)	3	Y	Y	1.0000	0.7222	4	O	 
20	17	N (N)	6	N	Y	0.8809	1.0000	4	O	 
21	17	N (N)	4	N	Y	0.9444	1.0000	4	X	 
22	15	N (N)	6	N	Y	1.0000	0.9444	4	X	 
23	12	N (N)	6	N	Y	0.7698	1.0000	4	X	 
24	8	N (N)	6	N	Y	0.8809	0.8888	4	X	 
25	8	N (N)	6	N	Y	0.8492	1.0000	4	X	 
26	8	N (N)	6	N	Y	0.7380	1.0000	4	X	 
27	7	N (N)	6	Y	Y	0.8809	0.7222	4	X	 
28	7	N (N)	6	N	Y	0.2936	0.2222	3	X	 
29	4	N (N)	6	Y	Y	0.8888	0.8333	4	X	 
30	4	N (N)	6	N	Y	1.0000	0.8888	4	X	 
31	4	N (N)	6	N	Y	0.7460	0.8333	4	X	 
32	3	N (N)	6	Y	Y	0.8968	0.6666	4	X	 
33	1	N (N)	6	Y	Y	1.0000	1.0000	4	X	 
34	1	N (N)	5	Y	Y	1.0000	0.6842	4	X	 
