Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
PED4202-01-00	운동생리학(2)	3	백일영,서상훈	월5,6,목1	스포츠302	100	55	0 (N)	0	0	0	0	O	36	1	30	3.42
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	30	N (N)	6	N	Y	0.8968	1.0000	4	O	 
2	10	N (N)	6	N	Y	0.8015	0.7777	4	O	 
3	10	N (N)	6	N	Y	0.2619	0.8333	2	O	 
4	9	N (N)	6	N	Y	0.4880	1.0000	3	O	 
5	6	N (N)	6	N	Y	0.5714	1.0000	3	O	 
6	6	N (N)	6	N	Y	0.5476	1.0000	3	O	 
7	6	N (N)	6	N	Y	0.5277	0.8611	3	O	 
8	6	N (N)	6	N	Y	0.2857	1.0000	2	O	 
9	6	N (N)	6	N	Y	0.2857	1.0000	2	O	 
10	6	N (N)	6	N	Y	0.2301	0.6944	2	O	 
11	6	N (N)	6	N	Y	0.1944	0.5833	2	O	 
12	6	N (N)	6	N	Y	0.1746	0.3055	2	O	 
13	5	N (N)	6	N	Y	0.7936	1.0000	4	O	 
14	5	N (N)	6	N	Y	0.5000	0.8611	3	O	 
15	5	N (N)	6	N	Y	0.2619	0.8055	2	O	 
16	4	N (N)	6	N	Y	0.5396	1.0000	3	O	 
17	3	N (N)	6	N	Y	0.5396	1.0000	3	O	 
18	3	N (N)	6	N	Y	0.5396	0.8611	3	O	 
19	3	N (N)	6	N	Y	0.5238	0.6944	3	O	 
20	3	N (N)	6	N	Y	0.5079	0.8055	3	O	 
21	3	N (N)	6	N	Y	0.2936	1.0000	2	O	 
22	3	N (N)	6	N	Y	0.2658	1.0000	2	O	 
23	3	N (N)	6	N	Y	0.2539	0.7500	2	O	 
24	3	N (N)	5	N	Y	0.8095	0.9444	4	O	 
25	2	N (N)	6	N	Y	0.6031	0.9722	3	O	 
26	2	N (N)	6	N	Y	0.3055	0.5000	2	O	 
27	2	N (N)	6	N	Y	0.2896	0.9722	2	O	 
28	2	N (N)	6	N	Y	0.2698	1.0000	2	O	 
29	2	N (N)	6	N	Y	0.2460	0.8611	2	O	 
30	2	N (N)	6	N	Y	0.2341	0.6111	2	O	 
31	2	N (N)	6	N	Y	0.2103	0.6111	2	O	 
32	1	N (N)	6	N	Y	0.7142	0.5555	4	O	 
33	1	N (N)	6	N	Y	0.5873	1.0000	3	O	 
34	1	N (N)	6	N	Y	0.5873	0.8888	3	O	 
35	1	N (N)	6	N	Y	0.5785	1.0000	3	O	 
36	1	N (N)	6	N	Y	0.5753	1.0000	3	O	 
37	1	N (N)	6	N	Y	0.5634	1.0000	3	O	 
38	1	N (N)	6	N	Y	0.5634	0.9722	3	O	 
39	1	N (N)	6	N	Y	0.5515	0.8333	3	O	 
40	1	N (N)	6	N	Y	0.5317	0.9444	3	O	 
41	1	N (N)	6	N	Y	0.5198	0.9444	3	O	 
42	1	N (N)	6	N	Y	0.4206	0.9444	2	O	 
43	1	N (N)	6	N	Y	0.2936	1.0000	2	O	 
44	1	N (N)	6	N	Y	0.2936	1.0000	2	O	 
45	1	N (N)	6	N	Y	0.2936	1.0000	2	O	 
46	1	N (N)	6	N	Y	0.2936	1.0000	2	O	 
47	1	N (N)	6	N	Y	0.2896	0.9722	2	O	 
48	1	N (N)	6	N	Y	0.2738	1.0000	2	O	 
49	1	N (N)	6	N	Y	0.2698	1.0000	2	O	 
50	1	N (N)	6	N	Y	0.2619	0.8333	2	O	 
51	1	N (N)	6	N	Y	0.2579	0.9166	2	O	 
52	1	N (N)	6	N	Y	0.2460	0.7222	2	O	 
53	1	N (N)	6	N	Y	0.2420	0.8611	2	O	 
54	1	N (N)	6	N	Y	0.2380	0.6666	2	O	 
55	1	N (N)	6	N	N	0.5317	0.6666	3	O	 
