Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
GIC2207-01-00	글로벌경영관리	3	정기원	화5,6,목4	상본115	40	41	40 (N)	0	30	10	0	X	36	1	20	8.95
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	20	Y (Y)	6	N	Y	0.4166	0.9722	2	O	 
2	15	Y (Y)	6	N	Y	0.4761	0.8611	3	O	 
3	15	Y (Y)	6	N	Y	0.4325	1.0000	2	O	 
4	15	Y (Y)	6	N	Y	0.4246	1.0000	2	O	 
5	15	Y (Y)	5	N	Y	0.2460	0.6666	2	O	 
6	12	Y (Y)	6	N	Y	0.6071	1.0000	3	O	 
7	12	Y (Y)	6	N	Y	0.5277	0.8611	3	O	 
8	12	Y (Y)	6	N	Y	0.4325	1.0000	2	O	 
9	12	Y (Y)	6	N	Y	0.3174	1.0000	2	O	 
10	12	Y (Y)	6	N	Y	0.2857	0.8611	2	O	 
11	12	Y (Y)	5	N	Y	0.3174	0.9444	2	O	 
12	11	Y (Y)	6	N	Y	0.4325	0.9166	2	O	 
13	10	Y (Y)	6	N	Y	0.4563	0.9166	3	O	 
14	10	Y (Y)	6	N	Y	0.4166	0.9166	2	O	 
15	10	Y (Y)	6	N	Y	0.4047	1.0000	2	O	 
16	10	Y (Y)	6	N	Y	0.3690	0.8055	2	O	 
17	10	Y (Y)	6	N	Y	0.3214	0.6388	2	O	 
18	10	Y (Y)	6	N	Y	0.3095	1.0000	2	O	 
19	10	Y (Y)	5	N	Y	0.3095	1.0000	2	O	 
20	9	Y (Y)	6	N	Y	0.4722	0.8611	3	O	 
21	9	Y (Y)	6	N	Y	0.2539	0.9444	2	O	 
22	8	Y (Y)	6	N	Y	0.5476	0.8611	3	O	 
23	8	Y (Y)	6	N	Y	0.5357	1.0000	3	O	 
24	8	Y (Y)	6	N	Y	0.5317	1.0000	3	O	 
25	8	Y (Y)	6	N	Y	0.4166	0.8611	2	O	 
26	8	Y (Y)	6	N	Y	0.3690	0.9722	2	O	 
27	8	Y (Y)	6	N	Y	0.1746	0.6111	2	O	 
28	7	Y (Y)	6	N	Y	0.5000	0.8611	3	O	 
29	7	Y (Y)	6	N	Y	0.3492	0.8611	2	O	 
30	7	Y (Y)	6	N	Y	0.3015	1.0000	2	O	 
31	6	Y (Y)	6	N	Y	0.4007	0.8611	2	O	 
32	6	Y (Y)	6	N	Y	0.3531	0.9722	2	O	 
33	6	Y (Y)	6	N	Y	0.3174	1.0000	2	O	 
34	5	Y (Y)	6	N	Y	0.3095	1.0000	2	O	 
35	5	Y (Y)	6	N	Y	0.2698	0.9444	2	O	 
36	4	Y (Y)	6	N	Y	0.2936	0.8888	2	O	 
37	4	Y (Y)	6	N	Y	0.2857	1.0000	2	O	 
38	4	Y (Y)	6	N	Y	0.1984	0.5555	2	O	 
39	4	Y (Y)	5	N	Y	0.3015	0.9166	2	O	 
40	2	Y (Y)	6	N	Y	0.2698	0.9444	2	X	 
41	1	Y (Y)	6	N	Y	0.1825	1.0000	2	X	 
