Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
KOR1106-01-00	한국고전문학의이해	3	박애경	월3,4,수4	백S111	30	56	0 (N)	0	0	0	0	O	36	1	36	16.98
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	Y (Y)	6	N	N	0.9111	0.9473	4	O	 
2	35	Y (Y)	4	N	Y	0.4962	0.9473	3	O	 
3	26	N (N)	6	N	Y	0.4920	0.8333	3	O	 
4	25	Y (Y)	6	N	Y	0.7629	0.8421	4	O	 
5	23	N (N)	6	N	Y	0.5595	1.0000	3	O	 
6	22	Y (Y)	6	N	Y	0.5037	0.8947	3	O	 
7	22	Y (Y)	6	N	Y	0.2888	1.0000	2	O	 
8	21	Y (Y)	6	N	Y	0.5000	0.8881	3	O	 
9	21	Y (Y)	6	N	Y	0.2962	1.0000	2	O	 
10	21	Y (Y)	6	N	Y	0.2148	0.6315	2	O	 
11	20	Y (Y)	6	Y	Y	0.9333	1.0000	4	O	 
12	20	Y (N)	6	N	Y	0.5793	1.0000	3	O	 
13	20	Y (Y)	6	N	Y	0.2740	0.8947	2	O	 
14	20	Y (Y)	6	N	Y	0.2666	1.0000	2	O	 
15	20	N (N)	6	N	Y	0.5396	0.8333	3	O	 
16	20	N (N)	6	N	Y	0.2619	0.8888	2	O	 
17	20	N (N)	6	N	Y	0.2539	0.8333	2	O	 
18	19	Y (Y)	6	N	N	0.5333	0.8157	3	O	 
19	18	Y (Y)	6	N	Y	0.5000	0.8881	3	O	 
20	18	Y (Y)	6	N	Y	0.3037	1.0000	2	O	 
21	18	Y (Y)	6	N	Y	0.2962	1.0000	2	O	 
22	18	Y (Y)	6	N	Y	0.2814	0.9473	2	O	 
23	18	Y (Y)	6	N	Y	0.2740	1.0000	2	O	 
24	18	Y (Y)	6	N	Y	0.2666	0.8421	2	O	 
25	18	Y (Y)	6	N	Y	0.2629	1.0000	2	O	 
26	18	Y (Y)	6	N	Y	0.2592	0.8947	2	O	 
27	18	Y (Y)	5	N	Y	0.2592	0.8421	2	O	 
28	17	Y (Y)	6	N	Y	0.5592	0.9736	3	O	 
29	17	Y (Y)	6	N	Y	0.5259	0.8157	3	O	 
30	17	Y (Y)	6	N	Y	0.4851	0.6578	3	O	 
31	17	Y (Y)	6	N	Y	0.2740	0.8947	2	X	 
32	17	Y (Y)	6	N	Y	0.2518	0.8947	2	X	 
33	17	Y (Y)	5	N	Y	0.2888	1.0000	2	X	 
34	16	Y (Y)	6	N	Y	0.6074	0.9473	3	X	 
35	16	Y (Y)	6	N	Y	0.2740	0.8947	2	X	 
36	16	Y (Y)	6	N	Y	0.2333	0.8157	2	X	 
37	16	N (N)	6	N	Y	0.3037	0.8421	2	X	 
38	16	N (N)	6	N	Y	0.2619	0.9444	2	X	 
39	15	Y (Y)	6	N	Y	0.2666	1.0000	2	X	 
40	15	Y (Y)	5	N	Y	0.2518	0.9210	2	X	 
41	15	Y (Y)	5	N	Y	0.2444	0.8421	2	X	 
42	13	Y (Y)	6	N	Y	0.4888	0.7894	3	X	 
43	13	Y (Y)	6	N	Y	0.3037	1.0000	2	X	 
44	13	Y (Y)	6	N	Y	0.2740	0.8947	2	X	 
45	13	N (N)	6	N	Y	0.5238	0.5277	3	X	 
46	12	Y (Y)	6	N	Y	0.3111	1.0000	2	X	 
47	12	Y (Y)	6	N	Y	0.2814	1.0000	2	X	 
48	11	Y (N)	6	N	Y	0.8412	1.0000	4	X	 
49	10	Y (Y)	6	N	Y	0.5037	0.8684	3	X	 
50	10	Y (Y)	6	N	Y	0.3888	0.9210	2	X	 
51	10	Y (Y)	6	N	Y	0.3629	0.4736	3	X	 
52	10	Y (Y)	6	N	Y	0.2814	1.0000	2	X	 
53	10	Y (Y)	6	N	Y	0.2740	0.1578	2	X	 
54	8	Y (Y)	6	N	Y	0.3111	1.0000	2	X	 
55	5	Y (Y)	6	N	Y	0.2740	0.8947	2	X	 
56	1	Y (Y)	6	N	Y	0.5000	0.8881	3	X	 
