Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
ELL2101-01-00	영어학입문	3	이은경	월7,8,수9	교405	40	48	0 (N)	0	0	0	0	O	36	1	30	12.52
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	30	N (N)	6	N	Y	0.8074	0.9473	4	O	 
2	23	N (N)	6	N	Y	0.4960	0.8333	3	O	 
3	22	Y (Y)	6	N	Y	0.2296	0.8947	2	O	 
4	21	N (N)	6	N	Y	0.3333	1.0000	2	O	 
5	20	Y (N)	6	N	Y	0.9841	1.0000	4	O	 
6	20	N (N)	4	N	Y	0.2500	0.8750	2	O	 
7	19	Y (Y)	6	N	N	0.5111	0.9736	3	O	 
8	18	N (N)	6	N	Y	0.3629	0.9473	2	O	 
9	18	N (N)	6	N	Y	0.2619	0.8888	2	O	 
10	18	N (N)	5	N	Y	0.2857	0.8888	2	O	 
11	17	Y (N)	6	N	Y	0.6666	0.7777	3	O	 
12	16	Y (N)	6	N	Y	0.5185	0.8157	3	O	 
13	16	N (N)	6	N	Y	0.3015	1.0000	2	O	 
14	14	Y (Y)	6	N	N	0.2444	0.6842	2	O	 
15	13	Y (Y)	6	N	N	0.7185	0.8421	4	O	 
16	13	Y (Y)	4	N	Y	0.5000	0.8881	3	O	 
17	13	N (N)	6	N	Y	0.7301	1.0000	3	O	 
18	12	Y (Y)	6	N	N	0.8444	0.9473	4	O	 
19	12	Y (Y)	6	N	N	0.4148	0.9473	2	O	 
20	12	Y (Y)	6	N	N	0.3592	0.8157	2	O	 
21	12	Y (Y)	6	N	N	0.2888	1.0000	2	O	 
22	12	Y (Y)	6	N	N	0.2444	0.8421	2	O	 
23	12	Y (Y)	4	N	N	1.0000	1.0000	4	O	 
24	12	N (N)	6	N	Y	0.7936	0.8333	4	O	 
25	12	N (N)	6	N	Y	0.2936	0.8888	2	O	 
26	12	N (N)	6	N	Y	0.2698	0.6666	2	O	 
27	11	Y (Y)	6	N	N	0.4666	0.8157	3	O	 
28	11	Y (Y)	6	N	N	0.3000	0.9736	2	O	 
29	11	Y (Y)	5	N	N	0.2962	1.0000	2	O	 
30	11	Y (Y)	5	N	N	0.2666	0.9473	2	O	 
31	11	N (N)	6	N	Y	0.2698	0.8333	2	O	 
32	10	Y (N)	6	N	Y	0.5734	0.9722	3	O	 
33	10	Y (Y)	6	N	Y	0.5000	0.8881	3	O	 
34	10	Y (Y)	6	N	Y	0.3037	0.6578	2	O	 
35	10	Y (Y)	6	N	N	0.5259	0.7894	4	O	 
36	10	N (N)	6	N	Y	0.6222	0.9473	3	O	 
37	10	N (N)	6	N	Y	0.3492	1.0000	2	O	 
38	10	N (N)	6	N	Y	0.2740	1.0000	2	O	 
39	10	N (N)	6	N	Y	0.2539	0.7777	2	O	 
40	10	N (N)	6	N	N	0.4592	0.6315	3	O	 
41	9	Y (Y)	6	N	N	0.2740	0.7894	2	X	 
42	8	N (N)	6	N	Y	0.5793	1.0000	3	X	 
43	7	Y (Y)	6	N	N	0.6444	0.9473	3	X	 
44	6	N (N)	5	N	Y	0.5000	0.9375	3	X	 
45	4	Y (Y)	5	N	N	0.3185	0.9473	2	X	 
46	1	Y (Y)	6	N	Y	0.2500	0.9375	2	X	 
47	1	Y (Y)	6	N	N	0.5925	0.9473	4	X	 
48	1	N (N)	6	N	Y	0.6984	0.8333	3	X	 
