Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
SOW2104-01-00	인간행동과사회환경	3	정민아	수1,2,3	빌110	35	48	0 (N)	0	0	0	0	O	36	1	36	7.38
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	N (N)	2	Y	Y	0.9555	0.9473	4	O	 
2	24	Y (N)	5	N	Y	0.8412	0.8333	4	O	 
3	20	Y (N)	6	N	Y	0.8428	1.0000	4	O	 
4	20	Y (Y)	3	N	Y	1.0000	1.0000	4	O	 
5	20	N (N)	6	N	Y	0.5555	0.8611	3	O	 
6	19	Y (Y)	5	N	N	0.5158	1.0000	3	O	 
7	18	Y (Y)	6	N	Y	0.3015	1.0000	2	O	 
8	14	Y (N)	6	N	Y	0.6814	0.6842	4	O	 
9	14	Y (Y)	6	N	Y	0.3015	0.8888	2	O	 
10	14	Y (Y)	5	N	Y	0.2698	0.8888	2	O	 
11	14	N (N)	6	N	Y	0.2500	0.8750	2	O	 
12	12	Y (Y)	5	N	Y	0.8253	1.0000	4	O	 
13	10	Y (Y)	6	N	Y	0.4126	0.8333	3	O	 
14	10	Y (Y)	6	N	N	0.4920	0.6944	3	O	 
15	10	N (N)	6	N	Y	0.3571	1.0000	2	O	 
16	8	Y (N)	6	N	Y	0.6904	1.0000	3	O	 
17	8	Y (Y)	6	N	N	0.4047	0.8333	2	O	 
18	7	Y (Y)	6	N	Y	0.9523	0.8333	4	O	 
19	7	Y (N)	6	N	Y	0.6587	1.0000	3	O	 
20	7	Y (Y)	6	N	Y	0.2857	0.8888	2	O	 
21	6	Y (Y)	6	N	Y	0.2857	0.9444	2	O	 
22	5	Y (N)	6	N	Y	0.7619	1.0000	4	O	 
23	5	Y (Y)	6	N	Y	0.5000	0.8750	3	O	 
24	5	Y (Y)	6	N	Y	0.2857	1.0000	2	O	 
25	4	Y (Y)	6	N	Y	0.1904	0.5833	2	O	 
26	3	Y (Y)	6	N	Y	0.3174	1.0000	2	O	 
27	3	Y (Y)	6	N	Y	0.2579	0.8888	2	O	 
28	3	Y (Y)	6	N	Y	0.2301	0.8333	2	O	 
29	3	Y (Y)	6	N	N	0.4603	0.8888	3	O	 
30	2	Y (Y)	6	N	Y	0.3809	1.0000	2	O	 
31	2	Y (Y)	6	N	Y	0.2857	0.9444	2	O	 
32	2	Y (Y)	6	N	Y	0.2857	0.8888	2	O	 
33	2	Y (Y)	6	N	Y	0.2777	1.0000	2	O	 
34	2	Y (Y)	6	N	Y	0.2777	0.8888	2	O	 
35	2	Y (Y)	5	N	Y	0.2460	0.9444	2	O	 
36	1	Y (Y)	6	N	Y	0.6031	0.9722	3	X	 
37	1	Y (Y)	6	N	Y	0.5158	1.0000	3	X	 
38	1	Y (Y)	6	N	Y	0.3253	1.0000	2	X	 
39	1	Y (Y)	6	N	Y	0.3015	1.0000	2	X	 
40	1	Y (Y)	6	N	Y	0.3015	1.0000	2	X	 
41	1	Y (Y)	6	N	Y	0.3015	1.0000	2	X	 
42	1	Y (Y)	6	N	Y	0.2936	1.0000	2	X	 
43	1	Y (Y)	6	N	Y	0.2619	0.8888	2	X	 
44	1	Y (Y)	6	N	Y	0.2579	0.8611	2	X	 
45	1	Y (Y)	6	N	Y	0.2539	0.9444	2	X	 
46	1	Y (Y)	6	N	Y	0.2539	0.6944	2	X	 
47	1	Y (Y)	6	N	Y	0.2380	0.6944	2	X	 
48	1	Y (Y)	6	N	Y	0.2222	0.7222	2	X	 
