Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
SOC3302-01-00	생애과정과사회이동	3	조은주	목5,6,7	연025	60	119	40 (Y)	0	0	0	0	O	26	1	26	19.77
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	26	Y (Y)	6	Y	Y	0.9285	0.8333	4	O	 
2	26	Y (Y)	6	N	Y	0.8888	1.0000	4	O	 
3	26	Y (Y)	6	N	Y	0.8296	0.7894	4	O	 
4	26	Y (Y)	6	N	Y	0.7698	0.8333	4	O	 
5	26	Y (Y)	6	N	Y	0.7619	0.8333	4	O	 
6	26	Y (Y)	6	N	Y	0.7460	0.8333	4	O	 
7	26	Y (Y)	6	N	Y	0.7460	0.8333	4	O	 
8	26	Y (Y)	6	N	Y	0.7222	1.0000	3	O	 
9	26	Y (Y)	6	N	Y	0.6746	0.6666	4	O	 
10	26	Y (Y)	6	N	Y	0.6666	1.0000	3	O	 
11	26	Y (Y)	6	N	Y	0.6507	1.0000	3	O	 
12	26	Y (Y)	6	N	Y	0.5873	1.0000	3	O	 
13	26	Y (Y)	6	N	Y	0.5317	0.8333	3	O	 
14	26	Y (Y)	6	N	Y	0.3015	1.0000	2	O	 
15	26	Y (Y)	6	N	Y	0.2857	1.0000	2	O	 
16	26	Y (Y)	6	N	Y	0.2619	1.0000	2	O	 
17	26	Y (Y)	6	N	Y	0.2619	0.6111	2	O	 
18	26	Y (Y)	5	N	Y	0.7698	0.8333	4	O	 
19	26	Y (Y)	5	N	Y	0.7380	0.9444	4	O	 
20	26	Y (Y)	5	N	Y	0.6825	0.9444	3	O	 
21	26	Y (Y)	5	N	Y	0.5555	0.9722	3	O	 
22	26	Y (Y)	5	N	Y	0.5317	0.9166	3	O	 
23	26	Y (Y)	4	N	Y	0.9285	0.9444	4	O	 
24	26	Y (Y)	4	N	Y	0.8444	0.6315	4	O	 
25	26	Y (Y)	4	N	Y	0.6111	0.8333	3	O	 
26	26	Y (Y)	4	N	Y	0.5674	0.8333	3	O	 
27	26	Y (Y)	4	N	Y	0.2936	1.0000	2	O	 
28	26	Y (Y)	4	N	Y	0.2738	1.0000	2	O	 
29	26	Y (Y)	4	N	Y	0.2698	0.9444	2	O	 
30	26	Y (Y)	3	Y	Y	1.0000	0.3333	4	O	 
31	26	Y (Y)	3	Y	Y	1.0000	0.1666	4	O	 
32	26	Y (Y)	3	N	Y	1.0000	0.8333	4	O	 
33	26	Y (Y)	2	Y	Y	1.0000	1.0000	4	O	 
34	26	Y (Y)	2	N	Y	0.9365	0.8333	4	O	 
35	26	N (N)	6	N	Y	0.7777	0.9473	4	O	 
36	26	N (N)	6	N	Y	0.5198	0.8333	3	O	 
37	26	N (N)	5	N	Y	0.6666	0.6666	4	O	 
38	25	Y (Y)	6	N	Y	0.6904	0.8333	4	O	 
39	25	Y (Y)	6	N	Y	0.5317	1.0000	3	O	 
40	25	Y (Y)	6	N	Y	0.4007	0.9722	2	O	 
41	25	Y (Y)	6	N	Y	0.2698	0.9444	2	O	 
42	25	Y (Y)	6	N	Y	0.2380	0.7222	2	O	 
43	25	N (N)	5	N	Y	0.6309	1.0000	3	O	 
44	24	Y (Y)	6	Y	Y	0.9682	0.6666	4	O	 
45	24	Y (Y)	6	N	Y	0.5317	1.0000	3	O	 
46	24	Y (Y)	5	N	Y	0.9186	1.0000	4	O	 
47	24	Y (Y)	5	N	Y	0.2777	1.0000	2	O	 
48	24	Y (Y)	4	N	Y	0.8174	0.9444	4	O	 
49	24	Y (Y)	3	N	Y	0.8412	0.8333	4	O	 
50	23	Y (Y)	6	N	Y	0.9047	0.7777	4	O	 
51	23	Y (Y)	6	N	Y	0.8730	0.8333	4	O	 
52	23	Y (Y)	5	N	Y	0.6428	0.8333	3	O	 
53	23	Y (Y)	4	N	Y	0.9206	1.0000	4	O	 
54	23	Y (Y)	3	N	Y	0.5674	0.8333	3	O	 
55	22	Y (Y)	4	N	Y	0.5555	1.0000	3	O	* 
56	22	Y (Y)	6	N	Y	0.6825	0.8333	4	O	 
57	22	Y (Y)	6	N	Y	0.5148	0.7894	3	O	 
58	22	Y (Y)	6	N	Y	0.4761	0.7777	3	O	 
59	22	Y (Y)	6	N	Y	0.2619	0.8888	2	X	 
60	22	Y (Y)	5	N	Y	0.6428	0.8333	3	X	 
61	22	Y (Y)	4	N	Y	0.5476	0.8333	3	X	 
62	22	Y (Y)	4	N	Y	0.5317	0.8611	3	X	 
63	22	Y (Y)	4	N	Y	0.3928	0.7500	2	X	 
64	21	Y (Y)	5	N	Y	0.2777	1.0000	2	X	 
65	21	Y (Y)	5	N	Y	0.2420	0.9444	2	X	 
66	20	Y (Y)	6	N	Y	0.8730	1.0000	4	X	 
67	20	Y (Y)	6	N	Y	0.8015	1.0000	4	X	 
68	20	Y (Y)	6	N	Y	0.7063	0.7777	4	X	 
69	20	Y (Y)	6	N	Y	0.6587	1.0000	3	X	 
70	20	Y (Y)	6	N	Y	0.5185	0.9736	3	X	 
71	20	Y (Y)	6	N	Y	0.3809	1.0000	2	X	 
72	20	Y (Y)	6	N	Y	0.3095	1.0000	2	X	 
73	20	Y (Y)	5	N	Y	0.9444	0.8333	4	X	 
74	20	Y (Y)	5	N	Y	0.7301	0.6666	4	X	 
75	20	N (N)	6	N	Y	0.5000	0.8881	3	X	 
76	19	Y (Y)	6	N	Y	0.8740	0.7894	4	X	 
77	19	Y (Y)	6	N	Y	0.5158	1.0000	3	X	 
78	19	Y (Y)	6	N	Y	0.5079	0.9444	3	X	 
79	19	N (N)	6	N	Y	0.6370	1.0000	3	X	 
80	18	Y (Y)	6	N	Y	0.7936	0.8333	4	X	 
81	18	Y (Y)	6	N	Y	0.3174	1.0000	2	X	 
82	18	N (N)	6	N	Y	0.8373	0.8888	4	X	 
83	18	N (N)	6	N	Y	0.7777	0.9473	4	X	 
84	17	Y (Y)	6	N	Y	0.2936	1.0000	2	X	 
85	17	Y (Y)	5	N	Y	0.8650	1.0000	4	X	 
86	17	Y (Y)	5	N	Y	0.7380	0.7777	4	X	 
87	17	Y (Y)	4	N	Y	0.2698	1.0000	2	X	 
88	16	Y (Y)	5	N	Y	0.4285	0.8333	2	X	 
89	15	Y (Y)	6	Y	Y	0.7777	1.0000	4	X	 
90	15	Y (Y)	6	N	Y	1.0000	0.7777	4	X	 
91	15	Y (Y)	6	N	Y	0.9126	1.0000	4	X	 
92	15	Y (Y)	6	N	Y	0.8296	0.6666	4	X	 
93	15	Y (Y)	6	N	Y	0.7380	1.0000	4	X	 
94	15	Y (Y)	6	N	Y	0.6904	0.5000	4	X	 
95	15	Y (Y)	6	N	Y	0.6428	0.8333	3	X	 
96	15	Y (Y)	4	N	Y	0.4841	0.6666	3	X	 
97	15	N (N)	6	N	Y	0.7481	1.0000	4	X	 
98	14	Y (Y)	6	N	Y	0.7857	0.9444	4	X	 
99	13	Y (Y)	6	N	Y	0.7857	0.8333	4	X	 
100	13	Y (Y)	5	N	Y	0.8253	1.0000	4	X	 
101	12	Y (Y)	6	N	Y	0.5634	0.6666	3	X	 
102	12	Y (Y)	5	N	Y	0.4087	1.0000	2	X	 
103	12	Y (Y)	5	N	Y	0.2936	1.0000	2	X	 
104	11	N (N)	6	N	Y	0.4888	0.7631	3	X	 
105	10	Y (Y)	6	N	Y	0.8174	1.0000	4	X	 
106	10	Y (Y)	6	N	Y	0.5333	0.7894	4	X	 
107	10	Y (Y)	4	N	Y	0.7539	0.9444	4	X	 
108	10	N (N)	6	N	Y	0.5111	0.8157	3	X	 
109	6	N (N)	6	N	Y	0.2777	1.0000	2	X	 
110	5	Y (Y)	6	N	Y	0.5158	1.0000	3	X	 
111	3	Y (Y)	6	N	Y	0.5000	0.8750	3	X	 
112	3	Y (Y)	6	N	Y	0.4740	1.0000	3	X	 
113	2	Y (Y)	6	N	Y	0.3690	0.8611	2	X	 
114	2	N (N)	6	N	Y	0.4888	0.9473	3	X	 
115	1	Y (Y)	6	Y	Y	0.9047	1.0000	4	X	 
116	1	Y (Y)	6	N	Y	0.8650	1.0000	4	X	 
117	1	Y (Y)	6	N	Y	0.7500	0.7777	4	X	 
0	12	Y (Y)	6	N	Y	0.2857	1.0000	2	O	* 
0	12	Y (Y)	6	N	Y	0.3015	1.0000	2	O	* 
