Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
PUB3132-01-00	예술행정	3	정철현	월5,6,수6	연218	86	26	43 (Y)	0	23	40	23	O	36	1	36	6.12
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	N (N)	6	N	Y	0.9259	0.9473	4	O	 
2	22	Y (Y)	6	N	Y	0.7380	0.8333	4	O	 
3	20	Y (Y)	6	N	Y	0.4126	0.8055	3	O	 
4	10	Y (Y)	6	N	Y	0.8174	0.6666	4	O	 
5	10	Y (Y)	6	N	Y	0.7222	0.8333	4	O	 
6	10	N (N)	6	N	Y	0.7851	0.9473	4	O	 
7	8	Y (Y)	6	N	Y	0.4126	1.0000	3	O	 
8	6	Y (Y)	6	N	Y	0.6269	1.0000	3	O	 
9	5	N (N)	6	N	Y	0.5793	0.9722	3	O	 
10	4	Y (Y)	6	N	Y	0.6269	1.0000	3	O	 
11	4	Y (Y)	6	N	Y	0.5555	0.8333	3	O	 
12	3	Y (Y)	6	N	Y	0.4126	0.8333	3	O	 
13	3	Y (Y)	5	N	Y	0.2698	0.8333	2	O	 
14	2	Y (Y)	6	N	Y	0.7460	0.8333	4	O	 
15	2	Y (Y)	6	N	Y	0.5357	1.0000	3	O	 
16	2	Y (Y)	6	N	Y	0.3055	1.0000	2	O	 
17	2	Y (Y)	6	N	Y	0.2380	0.8888	2	O	 
18	2	N (N)	6	N	Y	0.5277	0.9444	3	O	 
19	1	Y (Y)	6	N	Y	0.6666	0.6666	3	O	 
20	1	Y (Y)	6	N	Y	0.6507	0.8333	3	O	 
21	1	Y (Y)	6	N	Y	0.6111	0.8333	3	O	 
22	1	Y (Y)	6	N	Y	0.5952	1.0000	3	O	 
23	1	Y (Y)	6	N	Y	0.2857	1.0000	2	O	 
24	1	Y (Y)	6	N	Y	0.2539	0.9722	2	O	 
25	1	Y (Y)	6	N	Y	0.2460	0.8333	2	O	 
26	1	Y (Y)	5	N	Y	0.2619	0.8888	2	O	 
