Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
STA2104-03-00	컴퓨터자료처리	3	한선우	수3,금3,4	상본B101	45	68	0 (Y)	0	0	0	0	O	18	1	18	15.91
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	18	Y (Y)	6	N	Y	0.7460	0.8333	4	O	 
2	18	Y (Y)	6	N	Y	0.5714	1.0000	3	O	 
3	18	Y (Y)	6	N	Y	0.5185	0.7894	3	O	 
4	18	Y (Y)	6	N	Y	0.3333	1.0000	2	O	 
5	18	Y (Y)	6	N	Y	0.3333	0.8333	2	O	 
6	18	Y (Y)	6	N	Y	0.3253	1.0000	2	O	 
7	18	Y (Y)	6	N	Y	0.3174	1.0000	2	O	 
8	18	Y (Y)	6	N	Y	0.3174	1.0000	2	O	 
9	18	Y (Y)	6	N	Y	0.3095	1.0000	2	O	 
10	18	Y (Y)	6	N	Y	0.3095	1.0000	2	O	 
11	18	Y (Y)	6	N	Y	0.3095	0.8888	2	O	 
12	18	Y (Y)	6	N	Y	0.3015	1.0000	2	O	 
13	18	Y (Y)	6	N	Y	0.3015	0.8888	2	O	 
14	18	Y (Y)	6	N	Y	0.2936	1.0000	2	O	 
15	18	Y (Y)	6	N	Y	0.2857	1.0000	2	O	 
16	18	Y (Y)	6	N	Y	0.2857	1.0000	2	O	 
17	18	Y (Y)	6	N	Y	0.2857	0.8888	2	O	 
18	18	Y (Y)	6	N	Y	0.2777	0.8888	2	O	 
19	18	Y (Y)	6	N	Y	0.2698	1.0000	2	O	 
20	18	Y (Y)	6	N	Y	0.2698	0.8888	2	O	 
21	18	Y (Y)	6	N	Y	0.2658	1.0000	2	O	 
22	18	Y (Y)	6	N	Y	0.2539	0.8611	2	O	 
23	18	Y (Y)	6	N	Y	0.2460	0.8333	2	O	 
24	18	Y (Y)	6	N	N	0.6031	0.8333	3	O	 
25	18	Y (Y)	6	N	N	0.5714	1.0000	3	O	 
26	18	Y (Y)	6	N	N	0.4444	0.8333	3	O	 
27	18	Y (Y)	5	N	Y	0.6329	1.0000	3	O	 
28	18	Y (Y)	5	N	Y	0.5714	1.0000	3	O	 
29	18	Y (Y)	3	N	Y	0.3095	1.0000	2	O	 
30	18	N (N)	6	Y	N	1.0000	1.0000	4	O	 
31	18	N (N)	6	N	Y	1.0000	0.9473	4	O	 
32	18	N (N)	6	N	Y	0.6904	0.6666	3	O	 
33	18	N (N)	6	N	Y	0.6587	1.0000	3	O	 
34	18	N (N)	6	N	Y	0.6370	0.9473	4	O	 
35	18	N (N)	6	N	Y	0.5714	1.0000	3	O	 
36	18	N (N)	6	N	Y	0.5571	1.0000	3	O	 
37	18	N (N)	6	N	Y	0.5317	0.8333	3	O	 
38	18	N (N)	6	N	Y	0.5185	0.8157	3	O	 
39	18	N (N)	6	N	Y	0.4888	0.9473	3	O	 
40	18	N (N)	6	N	Y	0.4740	0.9473	3	O	 
41	18	N (N)	6	N	Y	0.3481	0.9473	2	O	 
42	18	N (N)	5	N	Y	0.6111	1.0000	4	O	 
43	18	N (N)	5	N	Y	0.3015	1.0000	2	O	 
44	18	N (N)	4	Y	Y	1.0000	0.9473	4	O	 
45	17	N (N)	6	N	Y	0.7703	1.0000	4	X	 
46	17	N (N)	6	N	Y	0.5714	1.0000	3	X	 
47	16	N (N)	6	N	Y	0.8015	1.0000	4	X	 
48	16	N (N)	6	N	Y	0.7658	1.0000	4	X	 
49	16	N (N)	6	N	Y	0.3095	1.0000	2	X	 
50	15	Y (Y)	6	N	Y	0.5000	0.8750	3	X	 
51	15	Y (Y)	6	N	Y	0.3611	0.9166	2	X	 
52	15	N (N)	6	N	Y	0.3571	1.0000	2	X	 
53	14	N (N)	6	Y	Y	0.8968	1.0000	4	X	 
54	14	N (N)	6	N	Y	0.3253	0.8888	2	X	 
55	13	Y (Y)	6	N	Y	0.3015	1.0000	2	X	 
56	13	Y (Y)	6	N	Y	0.2857	0.8888	2	X	 
57	13	Y (Y)	5	N	Y	0.3571	1.0000	2	X	 
58	12	Y (Y)	6	N	Y	0.5555	1.0000	3	X	 
59	12	Y (Y)	6	N	Y	0.3095	1.0000	2	X	 
60	11	Y (Y)	5	N	Y	0.3095	0.8888	2	X	 
61	10	Y (Y)	6	N	Y	0.2619	0.8888	2	X	 
62	10	Y (Y)	6	N	Y	0.2579	0.8611	2	X	 
63	10	Y (Y)	6	N	Y	0.2539	0.8333	2	X	 
64	10	Y (Y)	6	N	Y	0.2341	0.7500	2	X	 
65	5	Y (Y)	6	N	Y	0.2103	0.7222	2	X	 
66	3	N (N)	6	N	Y	0.5777	0.7894	3	X	 
67	1	N (N)	6	N	Y	0.7698	1.0000	4	X	 
0	12	Y (Y)	6	N	Y	0.2857	1.0000	2	O	* 
