Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
BTE3601-02-00	미생물및생물공학기초실험	3	신종식	화9,10,11,12,13,14	공B605	18	32	0 (N)	0	0	15	3	O	36	9	36	29.63
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	Y (Y)	6	N	Y	0.6285	1.0000	3	O	 
2	36	Y (Y)	6	N	Y	0.6071	1.0000	3	O	 
3	36	Y (Y)	6	N	Y	0.6000	0.8947	3	O	 
4	36	Y (Y)	6	N	Y	0.5928	1.0000	3	O	 
5	36	Y (Y)	6	N	Y	0.5571	1.0000	3	O	 
6	36	Y (Y)	6	N	Y	0.5464	0.9736	3	O	 
7	36	Y (Y)	6	N	Y	0.5428	0.9736	3	O	 
8	36	Y (Y)	6	N	Y	0.5392	0.9210	3	O	 
9	36	Y (Y)	6	N	Y	0.5357	1.0000	3	O	 
10	36	Y (Y)	6	N	Y	0.5357	0.9210	3	O	 
11	36	Y (Y)	6	N	Y	0.5357	0.7105	3	O	 
12	36	Y (Y)	6	N	Y	0.5285	0.8684	3	O	 
13	36	Y (Y)	6	N	Y	0.5142	1.0000	3	O	 
14	36	Y (Y)	6	N	Y	0.5071	1.0000	3	O	 
15	36	Y (Y)	6	N	Y	0.4142	0.7105	3	O	 
16	36	Y (Y)	5	N	Y	0.5785	1.0000	3	X	 
17	36	Y (Y)	5	N	Y	0.5285	0.8421	3	X	 
18	36	Y (Y)	5	N	Y	0.5214	0.9473	3	X	 
19	36	Y (Y)	5	N	Y	0.4500	1.0000	3	X	 
20	36	N (N)	5	N	Y	0.9365	0.8947	4	O	 
21	30	Y (Y)	6	N	Y	0.5428	0.9736	3	X	 
22	30	Y (Y)	5	N	Y	0.4642	0.8421	3	X	 
23	26	N (N)	6	N	Y	0.8333	1.0000	4	O	 
24	26	N (N)	6	N	Y	0.5436	0.6842	3	X	 
25	25	Y (Y)	6	N	Y	0.4928	0.8421	3	X	 
26	21	Y (Y)	5	N	Y	0.7500	0.9722	4	O	 
27	14	N (N)	6	N	Y	0.7738	1.0000	3	X	 
28	13	N (N)	4	N	Y	0.7500	0.8750	4	X	 
29	12	Y (Y)	6	N	Y	0.4750	0.9473	3	X	 
30	11	Y (Y)	6	N	Y	0.5857	0.9736	3	X	 
31	11	Y (Y)	6	N	Y	0.4928	0.9473	3	X	 
32	9	Y (Y)	6	N	Y	0.8214	1.0000	4	X	 
