Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
DSN4117-01-00	통합디자인스튜디오	6	이상원,김은정,김희연,김소연	화6,7,8,9,목6,7,8,9	삼710	40	59	36 (Y)	0	0	0	0	O	36	3	36	20.17
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	Y (Y)	5	N	Y	0.6666	0.7222	3	O	 
2	36	Y (Y)	3	N	Y	0.8809	1.0000	4	O	 
3	36	Y (Y)	3	N	Y	0.7460	0.8333	4	O	 
4	36	Y (Y)	3	N	Y	0.6518	0.7894	4	O	 
5	36	Y (Y)	2	Y	Y	1.0000	0.4736	4	O	 
6	36	Y (Y)	2	N	Y	0.9126	0.1666	4	O	 
7	36	N (N)	4	N	Y	0.8222	1.0000	4	O	 
8	30	Y (Y)	5	N	Y	0.7222	1.0000	4	O	 
9	30	Y (Y)	4	N	Y	0.8650	0.9444	4	O	 
10	30	Y (Y)	4	N	Y	0.6269	1.0000	3	O	 
11	29	Y (Y)	4	N	Y	0.8412	0.8333	4	O	 
12	28	Y (Y)	6	N	Y	0.9523	0.7777	4	O	 
13	24	Y (Y)	5	N	Y	0.5714	0.9444	3	O	 
14	24	Y (Y)	5	N	Y	0.5079	0.8333	3	O	 
15	24	Y (Y)	4	N	Y	0.5158	0.8611	3	O	 
16	23	Y (Y)	6	N	Y	0.6666	0.7777	3	O	 
17	23	Y (Y)	6	N	Y	0.5873	1.0000	3	O	 
18	23	Y (Y)	5	N	Y	0.5238	1.0000	3	O	 
19	22	Y (Y)	6	N	Y	0.8968	0.8888	4	O	 
20	22	N (N)	5	N	Y	0.5476	0.7619	3	O	 
21	21	Y (Y)	5	N	Y	0.7380	0.9444	4	O	 
22	21	Y (Y)	4	N	Y	0.5714	0.7777	3	O	 
23	20	Y (Y)	5	N	Y	0.9841	1.0000	4	O	 
24	20	Y (Y)	5	N	Y	0.8518	0.7894	4	O	 
25	20	Y (Y)	5	N	Y	0.8148	1.0000	4	O	 
26	20	Y (Y)	5	N	Y	0.7460	0.8333	4	O	 
27	20	Y (Y)	5	N	Y	0.7111	0.7368	4	O	 
28	20	Y (Y)	5	N	Y	0.5873	1.0000	3	O	 
29	20	Y (Y)	3	N	Y	0.7380	0.8333	4	O	 
30	20	Y (Y)	3	N	Y	0.5793	1.0000	3	O	 
31	19	Y (Y)	4	N	Y	0.7777	0.7894	4	O	 
32	18	Y (Y)	6	N	Y	0.5158	0.9722	3	O	 
33	18	Y (Y)	5	N	Y	0.5119	0.6666	3	O	 
34	18	Y (Y)	5	N	Y	0.4960	1.0000	3	O	 
35	18	Y (Y)	4	N	Y	0.6071	0.8333	3	O	 
36	18	Y (Y)	4	N	Y	0.5793	0.8333	3	O	 
37	17	Y (Y)	5	N	Y	0.8650	1.0000	4	O	 
38	16	Y (Y)	6	N	Y	0.5634	0.8333	3	O	 
39	16	Y (Y)	5	N	Y	0.8472	1.0000	4	O	 
40	16	Y (Y)	5	N	Y	0.8015	0.7777	4	O	 
41	16	Y (Y)	5	N	Y	0.7380	0.6666	4	X	 
42	16	Y (Y)	5	N	Y	0.6726	1.0000	3	X	 
43	15	Y (Y)	5	N	Y	0.6904	0.6666	4	X	 
44	15	Y (Y)	5	N	Y	0.5714	1.0000	3	X	 
45	15	Y (Y)	5	N	Y	0.5515	0.6944	3	X	 
46	15	Y (Y)	5	N	Y	0.4880	0.8611	3	X	 
47	14	Y (Y)	4	N	Y	0.6428	0.9444	3	X	 
48	13	Y (Y)	5	N	Y	0.7777	1.0000	4	X	 
49	13	Y (Y)	4	N	Y	0.5912	1.0000	3	X	 
50	13	Y (Y)	3	N	Y	0.7460	0.8333	4	X	 
51	12	Y (Y)	5	N	Y	0.6031	1.0000	3	X	 
52	12	Y (Y)	4	N	Y	0.9047	1.0000	4	X	 
53	11	Y (Y)	5	N	Y	0.6349	0.8333	3	X	 
54	10	Y (Y)	5	N	Y	0.7698	0.8333	4	X	 
55	10	Y (Y)	5	N	Y	0.7460	0.8333	4	X	 
56	10	Y (Y)	5	N	Y	0.6269	0.8333	3	X	 
57	10	Y (Y)	5	N	Y	0.5634	1.0000	3	X	 
58	7	Y (Y)	6	N	Y	0.7777	0.8333	4	X	 
59	3	Y (Y)	5	N	Y	0.7222	0.8333	4	X	 
