Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
UCI1140-01-00	남북한관계론	3	한종기	화5,6,목4	교302	63	58	0 (N)	0	21	21	21	O	36	1	30	5.62
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	30	N (N)	5	N	Y	0.8444	1.0000	4	O	 
2	19	N (N)	6	N	Y	0.4851	0.6578	3	O	 
3	18	N (N)	5	N	Y	0.5000	0.8750	3	O	 
4	17	N (N)	6	N	Y	0.2698	0.9444	2	O	 
5	16	N (N)	6	N	Y	0.7407	1.0000	4	O	 
6	16	N (N)	6	N	Y	0.7380	0.8333	4	O	 
7	14	N (N)	6	N	Y	0.3730	0.8333	2	O	 
8	13	N (N)	6	N	Y	0.5571	1.0000	3	O	 
9	12	N (N)	6	Y	Y	0.8492	1.0000	4	O	 
10	12	N (N)	6	N	Y	0.5793	0.8684	3	O	 
11	11	N (N)	4	Y	Y	0.9214	0.9473	4	O	 
12	10	N (N)	6	N	Y	0.2888	1.0000	2	O	 
13	10	N (N)	6	N	Y	0.2857	1.0000	2	O	 
14	10	N (N)	6	N	Y	0.2592	0.7894	2	O	 
15	9	N (N)	6	N	Y	0.8095	1.0000	4	O	 
16	7	N (N)	5	N	Y	0.5793	1.0000	3	O	 
17	6	N (N)	6	N	Y	0.2619	0.8888	2	O	 
18	6	N (N)	6	N	Y	0.2518	0.9473	2	O	 
19	5	N (N)	6	N	Y	0.2857	0.8888	2	O	 
20	5	N (N)	6	N	Y	0.2619	0.8888	2	O	 
21	5	N (N)	3	N	Y	0.7777	0.7894	4	O	 
22	4	N (N)	6	Y	Y	0.9047	1.0000	4	O	 
23	4	N (N)	6	N	Y	0.8333	0.6666	4	O	 
24	4	N (N)	6	N	Y	0.6746	0.8333	4	O	 
25	4	N (N)	6	N	Y	0.3000	1.0000	2	O	 
26	4	N (N)	6	N	Y	0.2539	0.8888	2	O	 
27	4	N (N)	5	N	Y	0.5436	1.0000	3	O	 
28	3	N (N)	6	Y	Y	0.8571	1.0000	4	O	 
29	3	N (N)	6	N	Y	0.5952	0.9722	3	O	 
30	3	N (N)	6	N	Y	0.2666	1.0000	2	O	 
31	3	N (N)	6	N	Y	0.2619	0.8888	2	O	 
32	3	N (N)	6	N	Y	0.2481	0.8421	2	O	 
33	2	N (N)	6	N	Y	0.7285	0.5263	4	O	 
34	2	N (N)	6	N	Y	0.5634	1.0000	3	O	 
35	2	N (N)	6	N	Y	0.5000	0.8333	3	O	 
36	2	N (N)	6	N	Y	0.2896	1.0000	2	O	 
37	2	N (N)	6	N	Y	0.2857	1.0000	2	O	 
38	2	N (N)	6	N	Y	0.2857	0.9444	2	O	 
39	2	N (N)	6	N	Y	0.2666	0.8421	2	O	 
40	2	N (N)	6	N	Y	0.2619	0.8333	2	O	 
41	2	N (N)	6	N	Y	0.2539	0.8888	2	O	 
42	2	N (N)	6	N	Y	0.2261	0.8333	2	O	 
43	1	N (N)	6	Y	Y	1.0000	0.7368	4	O	 
44	1	N (N)	6	Y	Y	1.0000	0.1578	4	O	 
45	1	N (N)	6	Y	Y	0.9000	0.8947	4	O	 
46	1	N (N)	6	Y	Y	0.8571	1.0000	4	O	 
47	1	N (N)	6	N	Y	0.8015	1.0000	4	O	 
48	1	N (N)	6	N	Y	0.5079	1.0000	3	O	 
49	1	N (N)	6	N	Y	0.3333	1.0000	2	X	 
50	1	N (N)	6	N	Y	0.3095	1.0000	2	X	 
51	1	N (N)	6	N	Y	0.3015	1.0000	2	X	 
52	1	N (N)	6	N	Y	0.2936	1.0000	2	X	 
53	1	N (N)	6	N	Y	0.2888	1.0000	2	X	 
54	1	N (N)	6	N	Y	0.2888	1.0000	2	X	 
55	1	N (N)	6	N	Y	0.2619	0.9444	2	X	 
56	1	N (N)	6	N	Y	0.2539	0.8888	2	X	 
57	1	N (N)	6	N	Y	0.2539	0.7777	2	X	 
58	1	N (N)	4	N	Y	0.5111	0.8684	3	O	 
