Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
UCI1142-01-00	성과인간관계	3	노주희	화4,목5,6	교403	90	88	0 (N)	0	30	30	30	O	36	1	36	7.42
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	N (N)	3	Y	Y	0.9285	0.9444	4	O	 
2	24	N (N)	6	N	Y	0.3055	1.0000	2	O	 
3	22	N (N)	6	N	Y	0.5396	1.0000	3	O	 
4	22	N (N)	6	N	Y	0.4592	0.7368	3	O	 
5	20	N (N)	6	N	Y	0.7777	0.9473	4	O	 
6	20	N (N)	6	N	Y	0.7539	1.0000	4	O	 
7	16	N (N)	6	N	Y	1.0000	0.8333	4	O	 
8	16	N (N)	6	N	Y	0.5317	1.0000	3	O	 
9	15	N (N)	6	N	Y	0.8714	0.9473	4	O	 
10	15	N (N)	6	N	Y	0.7619	0.8333	4	O	 
11	15	N (N)	6	N	Y	0.7460	0.8333	4	O	 
12	14	N (N)	6	N	Y	0.5317	0.9166	3	O	 
13	14	N (N)	5	N	Y	0.5674	1.0000	3	O	 
14	13	N (N)	6	N	Y	0.8285	0.5263	4	O	 
15	13	N (N)	6	N	Y	0.7407	0.9473	4	O	 
16	13	N (N)	6	N	Y	0.3095	1.0000	2	O	 
17	13	N (N)	6	N	Y	0.2666	0.8421	2	O	 
18	13	N (N)	6	N	Y	0.2619	0.8333	2	O	 
19	12	N (N)	6	N	Y	0.8492	1.0000	4	O	 
20	11	N (N)	6	N	Y	0.7500	0.8881	4	O	 
21	11	N (N)	6	N	Y	0.7420	0.8333	4	O	 
22	10	N (N)	6	N	Y	0.6074	0.8421	3	O	 
23	10	N (N)	6	N	Y	0.4444	0.8333	3	O	 
24	10	N (N)	6	N	Y	0.2777	0.9210	2	O	 
25	9	N (N)	6	N	Y	0.9206	0.8333	4	O	 
26	9	N (N)	6	N	Y	0.7111	0.8947	4	O	 
27	9	N (N)	6	N	Y	0.6031	0.8888	3	O	 
28	9	N (N)	6	N	Y	0.2666	0.8421	2	O	 
29	9	N (N)	6	N	Y	0.2539	0.8055	2	O	 
30	9	N (N)	5	N	Y	0.2740	0.7368	2	O	 
31	8	N (N)	6	N	Y	0.6349	1.0000	4	O	 
32	8	N (N)	6	N	Y	0.2619	1.0000	2	O	 
33	7	N (N)	6	N	Y	0.7698	1.0000	4	O	 
34	7	N (N)	6	N	Y	0.2666	1.0000	2	O	 
35	6	N (N)	6	Y	Y	0.8571	1.0000	4	O	 
36	6	N (N)	6	N	Y	0.6071	0.7894	3	O	 
37	6	N (N)	6	N	Y	0.5476	1.0000	3	O	 
38	6	N (N)	6	N	Y	0.5476	0.9722	3	O	 
