Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
UCL1215-02-00	필라테스	1	한보람	화1,2	스포츠(다목적실2)	22	37	0 (N)	0	7	8	7	X	36	1	36	22.05
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	N (N)	6	Y	Y	1.0000	1.0000	4	O	 
2	36	N (N)	6	Y	Y	1.0000	0.9473	4	O	 
3	36	N (N)	6	Y	Y	1.0000	0.8888	4	O	 
4	36	N (N)	6	Y	Y	1.0000	0.5000	4	O	 
5	36	N (N)	6	Y	Y	0.9682	0.8333	4	O	 
6	36	N (N)	6	Y	Y	0.9444	1.0000	4	O	 
7	36	N (N)	6	Y	Y	0.9365	1.0000	4	O	 
8	36	N (N)	6	N	Y	1.0000	0.9473	4	X	 
9	36	N (N)	6	N	Y	0.9047	0.8333	4	X	 
10	36	N (N)	6	N	Y	0.7714	0.8421	4	X	 
11	36	N (N)	6	N	Y	0.7555	0.9473	4	X	 
12	36	N (N)	5	Y	Y	1.0000	0.3333	4	X	 
13	36	N (N)	5	Y	Y	0.9185	0.9473	4	X	 
14	36	N (N)	5	N	Y	0.8814	1.0000	4	X	 
15	36	N (N)	3	Y	Y	1.0000	0.1666	4	X	 
16	36	N (N)	2	Y	Y	1.0000	0.3157	4	X	 
17	36	N (N)	2	Y	Y	1.0000	0.0555	4	X	 
18	35	N (N)	2	Y	Y	1.0000	1.0000	4	X	 
19	35	N (N)	2	N	Y	1.0000	0.5000	4	X	 
20	32	N (N)	6	N	Y	0.2888	0.8421	2	O	 
21	21	N (N)	6	N	Y	0.6265	0.9473	4	X	 
22	20	N (N)	6	N	Y	0.6626	1.0000	4	X	 
23	16	N (N)	6	N	Y	0.5740	0.5263	3	O	 
24	13	N (N)	6	N	Y	0.7777	1.0000	4	X	 
25	7	N (N)	6	N	Y	0.7857	1.0000	4	X	 
26	6	N (N)	6	N	Y	0.7703	0.6315	4	X	 
27	4	N (N)	6	N	Y	0.2666	0.4736	2	O	 
28	3	N (N)	6	N	Y	0.8015	0.9444	4	X	 
29	2	N (N)	6	N	Y	0.5555	0.8611	3	O	 
30	2	N (N)	6	N	Y	0.2857	1.0000	2	O	 
31	2	N (N)	6	N	Y	0.2857	1.0000	2	O	 
32	1	N (N)	6	Y	Y	0.9523	0.6111	4	X	 
33	1	N (N)	6	Y	Y	0.9481	1.0000	4	X	 
34	1	N (N)	6	N	Y	1.0000	0.6666	4	X	 
35	1	N (N)	6	N	Y	0.5407	0.9736	3	O	 
36	1	N (N)	6	N	Y	0.3253	1.0000	2	O	 
37	1	N (N)	5	Y	Y	0.8968	0.8333	4	X	 
