Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
UCJ1113-02-00	공연예술비평	2	성기웅	금5,6	백S108	63	32	0 (N)	0	21	21	21	O	36	1	31	7.34
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	31	N (N)	5	N	Y	0.2785	0.7894	2	O	 
2	30	N (N)	6	N	Y	0.8222	0.8421	4	O	 
3	24	N (N)	6	N	Y	0.5777	0.5263	3	O	 
4	19	N (N)	6	N	Y	0.7714	0.8947	4	O	 
5	17	N (N)	4	Y	Y	0.9761	1.0000	4	O	 
6	10	N (N)	6	N	Y	0.6428	0.8333	3	O	 
7	8	N (N)	6	N	Y	0.7928	0.9473	4	O	 
8	8	N (N)	6	N	Y	0.7571	0.6315	4	O	 
9	8	N (N)	6	N	Y	0.7500	1.0000	4	O	 
10	8	N (N)	6	N	Y	0.2500	0.8055	2	O	 
11	8	N (N)	6	N	Y	0.2380	0.8333	2	O	 
12	7	N (N)	5	N	Y	0.8869	0.7222	4	O	 
13	6	N (N)	6	N	Y	0.2698	0.8333	2	O	 
14	5	N (N)	6	Y	Y	0.8809	0.8333	4	O	 
15	5	N (N)	6	Y	Y	0.8518	0.9473	4	O	 
16	5	N (N)	6	N	Y	0.2777	1.0000	2	O	 
17	3	N (N)	6	N	Y	0.8412	0.9444	4	O	 
18	3	N (N)	6	N	Y	0.5071	1.0000	3	O	 
19	3	N (N)	6	N	Y	0.4740	0.7105	3	O	 
20	3	N (N)	6	N	Y	0.3730	1.0000	2	O	 
21	3	N (N)	6	N	Y	0.3015	0.8888	2	O	 
22	3	N (N)	6	N	Y	0.2857	0.8888	2	O	 
23	3	N (N)	6	N	Y	0.2444	0.8421	2	O	 
24	3	N (N)	6	N	Y	0.2222	0.7777	2	O	 
25	2	N (N)	6	N	Y	0.2777	0.9444	2	O	 
26	2	N (N)	6	N	Y	0.2698	0.7777	2	O	 
27	2	N (N)	6	N	Y	0.2500	0.9444	2	O	 
28	2	N (N)	5	N	Y	0.3174	1.0000	2	O	 
29	1	N (N)	6	N	Y	0.5674	0.8333	3	O	 
30	1	N (N)	6	N	Y	0.3095	0.8333	2	O	 
31	1	N (N)	6	N	Y	0.2698	0.8888	2	O	 
32	1	N (N)	5	N	N	0.9500	0.7894	4	O	 
