Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
THE3502-01-00	사회윤리학	3	박재경	월5,6,수6	신105	50	30	0 (N)	0	0	0	0	O	36	1	32	10
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	32	N (N)	4	N	Y	0.5000	0.9375	3	O	 
2	23	N (N)	6	N	Y	0.7500	0.8750	4	O	 
3	22	N (N)	3	N	Y	0.5000	0.9375	3	O	 
4	20	N (N)	5	N	Y	0.5000	0.9722	3	O	 
5	20	N (N)	5	N	Y	0.5000	0.9722	3	O	 
6	17	N (N)	5	N	Y	0.7407	1.0000	3	O	 
7	16	N (N)	5	N	Y	0.7500	0.9375	4	O	 
8	16	N (N)	5	N	Y	0.5000	0.8750	3	O	 
9	15	N (N)	6	N	N	0.4518	0.8421	3	O	 
10	14	N (N)	6	N	Y	0.7500	0.8750	4	O	 
11	13	N (N)	6	N	Y	0.2962	1.0000	2	O	 
12	12	N (N)	6	N	Y	0.6222	0.8421	3	O	 
13	11	N (N)	6	N	Y	0.5925	0.8947	3	O	 
14	10	N (N)	6	N	Y	0.7629	0.6315	4	O	 
15	10	N (N)	6	N	Y	0.5111	0.6315	3	O	 
16	10	N (N)	5	N	Y	0.2500	0.8750	2	O	 
17	9	N (N)	6	N	Y	0.2888	0.9473	2	O	 
18	6	N (N)	6	N	Y	0.2444	0.7894	2	O	 
19	4	N (N)	6	N	Y	0.3037	1.0000	2	O	 
20	4	N (N)	6	N	Y	0.2481	0.7894	2	O	 
21	3	N (N)	6	N	Y	0.6222	0.8421	3	O	 
22	3	N (N)	5	N	Y	0.7370	0.8421	4	O	 
23	2	N (N)	6	N	Y	0.7481	1.0000	4	O	 
24	2	N (N)	6	N	Y	0.7037	1.0000	4	O	 
25	1	N (N)	6	N	Y	0.6190	0.8333	3	O	 
26	1	N (N)	6	N	Y	0.6031	0.8157	3	O	 
27	1	N (N)	6	N	Y	0.5416	0.8611	3	O	 
28	1	N (N)	6	N	Y	0.2500	0.9375	2	O	 
29	1	N (N)	5	N	Y	0.7857	0.8333	4	O	 
30	1	N (N)	5	N	Y	0.2301	0.7777	2	O	 
