Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
UIC3652-01-00	LIFE WRITING	3	이크리스틴은경	화8,9,목7	새천212	18	31	18 (N)	0	0	0	0	X	36	1	30	15.13
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	30	Y (Y)	2	N	Y	0.9761	0.5555	4	O	 
2	23	Y (Y)	6	N	Y	0.7142	0.6666	4	O	 
3	22	Y (Y)	6	N	Y	0.8015	0.8888	4	O	 
4	22	Y (Y)	5	N	Y	0.4246	1.0000	2	O	 
5	21	Y (Y)	6	N	Y	0.7460	0.7777	4	O	 
6	20	Y (Y)	6	N	Y	0.7619	1.0000	4	O	 
7	20	Y (Y)	6	N	Y	0.5714	0.6666	3	O	 
8	18	Y (Y)	6	N	Y	0.9603	1.0000	4	O	 
9	18	Y (Y)	5	N	Y	0.3015	1.0000	2	O	 
10	17	Y (Y)	6	N	Y	0.6666	1.0000	3	O	 
11	17	Y (Y)	6	N	Y	0.5396	0.8333	3	O	 
12	17	Y (Y)	5	N	Y	0.5436	0.8333	3	O	 
13	16	Y (Y)	6	Y	Y	0.8571	0.8333	4	O	 
14	16	Y (Y)	6	N	Y	0.4880	0.8611	2	O	 
15	15	Y (Y)	6	N	Y	0.7619	1.0000	4	O	 
16	15	Y (Y)	5	Y	Y	0.9345	1.0000	4	O	 
17	15	Y (Y)	5	N	Y	0.6428	0.8333	3	O	 
18	14	Y (Y)	6	Y	Y	0.8650	0.8333	4	X	 
19	14	Y (Y)	6	N	Y	0.7936	0.8333	4	X	 
20	14	Y (Y)	6	N	Y	0.4007	0.8611	2	X	 
21	13	Y (Y)	6	N	Y	0.3095	1.0000	2	X	 
22	13	Y (Y)	5	N	Y	0.4246	0.8611	2	X	 
23	13	Y (Y)	5	N	Y	0.3333	0.6666	2	X	 
24	12	Y (Y)	6	N	Y	0.5000	1.0000	3	X	 
25	12	Y (Y)	4	N	Y	0.5000	0.6944	3	X	 
26	11	Y (Y)	6	N	Y	0.6984	1.0000	4	X	 
27	8	Y (Y)	6	N	Y	0.7619	1.0000	4	X	 
28	8	Y (Y)	6	N	Y	0.2380	0.6666	2	X	 
29	2	Y (Y)	6	N	Y	0.2301	0.8055	2	X	 
30	1	Y (Y)	6	N	Y	0.8095	1.0000	4	X	 
0	12	Y (Y)	6	N	Y	0.0000	0.8750	4	O	* 
