Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
ISM2108-01-00	INFORMATION SYSTEMS AND INFORMATION SOCIETY	3	이희진	화8,9,목7	새천209	27	37	27 (Y)	0	0	0	0	X	36	1	36	12.11
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	Y (Y)	5	N	Y	0.3492	0.9444	2	O	 
2	20	Y (Y)	6	N	Y	0.2738	0.9444	2	O	 
3	19	Y (Y)	6	N	Y	0.3253	0.9444	2	O	 
4	19	Y (Y)	6	N	Y	0.3253	0.8888	2	O	 
5	18	Y (Y)	6	N	Y	0.6428	1.0000	3	O	 
6	18	Y (Y)	5	N	Y	0.1904	0.6666	2	O	 
7	17	Y (Y)	5	N	Y	0.5436	0.8333	3	O	 
8	16	Y (Y)	5	N	Y	0.3769	0.8611	2	O	 
9	15	Y (Y)	6	N	Y	0.4246	1.0000	2	O	 
10	15	Y (Y)	6	N	Y	0.2380	0.7777	2	O	 
11	15	Y (Y)	6	N	Y	0.2301	0.7222	2	O	 
12	14	Y (Y)	6	N	Y	0.3730	1.0000	2	O	 
13	14	Y (Y)	5	N	Y	0.5476	1.0000	3	O	 
14	13	Y (Y)	6	N	Y	0.2539	0.7777	2	O	 
15	13	Y (Y)	6	N	Y	0.2460	0.7777	2	O	 
16	13	Y (Y)	5	N	Y	0.4007	0.8611	2	O	 
17	12	Y (Y)	6	Y	Y	0.8571	1.0000	4	O	 
18	12	Y (Y)	6	N	Y	0.6964	1.0000	3	O	 
19	12	Y (Y)	6	N	Y	0.4722	1.0000	2	O	 
20	12	Y (Y)	6	N	Y	0.2500	0.8750	2	O	 
21	11	Y (Y)	6	N	Y	0.2619	1.0000	2	O	 
22	10	Y (Y)	6	N	Y	0.7142	1.0000	4	O	 
23	10	Y (Y)	6	N	Y	0.5000	0.8750	3	O	 
24	10	Y (Y)	6	N	Y	0.4246	1.0000	2	O	 
25	10	Y (Y)	6	N	Y	0.1190	0.0000	2	O	 
26	9	Y (Y)	6	N	Y	0.3015	1.0000	2	O	 
27	8	Y (Y)	6	N	Y	0.5238	0.8333	3	X	 
28	8	Y (Y)	6	N	Y	0.3174	0.9444	2	X	 
29	8	Y (Y)	6	N	Y	0.2539	0.7777	2	X	 
30	7	Y (Y)	6	N	Y	0.2777	0.9444	2	X	 
31	6	Y (Y)	6	N	Y	0.3095	1.0000	2	X	 
32	4	Y (Y)	6	N	Y	0.5793	0.9444	3	X	 
33	4	Y (Y)	6	N	Y	0.2539	1.0000	2	X	 
34	4	Y (Y)	5	N	N	0.5753	1.0000	3	X	 
35	3	Y (Y)	6	N	N	0.5595	1.0000	3	X	 
36	1	Y (Y)	6	N	Y	0.5674	0.8611	3	X	 
0	12	N (N)	6	N	Y	0.0000	1.0000	4	O	* 
