Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
ISM3524-01-00	INTERNATIONAL ORGANIZATIONS AND LAW	3	김만권	수3,금3,4	새천209	27	59	27 (Y)	0	0	0	0	X	36	1	36	22.19
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	Y (Y)	6	N	Y	0.5476	0.8333	3	O	 
2	36	Y (Y)	6	N	Y	0.3571	1.0000	2	O	 
3	36	Y (Y)	6	N	Y	0.3015	1.0000	2	O	 
4	36	Y (Y)	5	N	Y	0.7619	0.8333	4	O	 
5	36	Y (Y)	5	N	Y	0.2857	1.0000	2	O	 
6	36	Y (Y)	4	N	N	1.0000	0.9444	4	O	 
7	32	Y (Y)	6	N	Y	0.3015	1.0000	2	O	 
8	32	Y (Y)	5	N	Y	0.7857	0.8333	4	O	 
9	32	Y (Y)	5	N	Y	0.6587	0.9722	3	O	 
10	30	Y (Y)	6	N	Y	0.6111	0.8333	3	O	 
11	30	Y (Y)	6	N	Y	0.2857	1.0000	2	O	 
12	29	Y (Y)	4	N	Y	0.5714	0.8611	3	O	 
13	28	Y (Y)	6	N	Y	0.5714	0.8611	3	O	 
14	28	Y (Y)	6	N	Y	0.3968	1.0000	2	O	 
15	27	Y (Y)	6	N	Y	0.5793	0.9444	3	O	 
16	27	Y (Y)	5	N	Y	0.4007	0.9166	2	O	 
17	26	Y (Y)	5	N	N	0.7619	0.6666	4	O	 
18	25	Y (Y)	6	N	Y	0.6388	1.0000	3	O	 
19	25	Y (Y)	6	N	Y	0.2777	0.9444	2	O	 
20	24	Y (Y)	6	N	Y	0.5476	1.0000	3	O	 
21	24	Y (Y)	6	N	Y	0.5158	0.8333	3	O	 
22	24	Y (Y)	6	N	Y	0.3095	1.0000	2	O	 
23	24	Y (Y)	6	N	Y	0.2738	0.9444	2	O	 
24	24	Y (Y)	5	N	Y	0.4007	0.8611	2	O	 
25	23	Y (Y)	6	N	Y	0.7996	0.6666	4	O	 
26	23	Y (Y)	6	N	Y	0.3095	1.0000	2	X	 
27	23	Y (Y)	6	N	Y	0.2539	1.0000	2	X	 
28	23	Y (Y)	5	N	Y	0.7857	1.0000	4	X	 
29	23	Y (Y)	5	N	Y	0.2936	1.0000	2	X	 
30	22	Y (Y)	6	N	Y	0.7857	1.0000	4	X	 
31	22	Y (Y)	6	N	Y	0.7063	1.0000	4	X	 
32	22	Y (Y)	6	N	Y	0.6190	1.0000	3	X	 
33	22	Y (Y)	6	N	Y	0.4880	0.8611	2	X	 
34	22	Y (Y)	6	N	Y	0.2777	0.8888	2	X	 
35	22	Y (Y)	6	N	Y	0.2619	0.7777	2	X	 
36	22	Y (Y)	6	N	Y	0.2539	0.7777	2	X	 
37	22	Y (Y)	4	N	Y	0.5158	0.5000	3	X	 
38	21	Y (Y)	6	N	Y	0.3769	1.0000	2	X	 
39	21	Y (Y)	5	N	Y	0.2857	1.0000	2	X	 
40	20	Y (Y)	6	N	Y	0.5238	0.8333	3	X	 
41	20	Y (Y)	6	N	Y	0.5000	0.8750	3	X	 
42	20	Y (Y)	6	N	Y	0.3452	0.8611	2	X	 
43	20	Y (Y)	4	N	Y	0.8095	1.0000	4	X	 
44	19	Y (Y)	6	Y	Y	0.8571	0.8333	4	X	 
45	19	Y (Y)	6	N	Y	0.8015	1.0000	4	X	 
46	19	Y (Y)	6	N	Y	0.5436	0.9722	3	X	 
47	19	Y (Y)	6	N	Y	0.2539	0.9444	2	X	 
48	15	Y (Y)	6	N	Y	0.4007	0.8611	2	X	 
49	13	Y (Y)	6	N	Y	0.3253	1.0000	2	X	 
50	13	Y (Y)	6	N	Y	0.2182	0.7222	2	X	 
51	10	Y (Y)	6	N	Y	0.7460	1.0000	4	X	 
52	10	Y (Y)	6	N	Y	0.7222	0.5000	4	X	 
53	10	Y (Y)	6	N	Y	0.6269	0.8888	3	X	 
54	7	Y (Y)	6	Y	Y	0.9047	1.0000	4	X	 
55	5	Y (Y)	6	N	Y	0.4246	1.0000	2	X	 
56	5	Y (Y)	6	N	Y	0.3015	0.9444	2	X	 
57	1	Y (Y)	6	N	Y	0.5674	0.8611	3	X	 
0	12	Y (Y)	6	N	Y	0.0000	0.8750	4	O	* 
0	12	N (N)	6	N	Y	0.0000	0.8750	2	O	* 
