Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
MAT3104-02-00	해석학(1)	3	허영미	수5,금5,6(월4)	과227(과227)	34	35	28 (Y)	0	22	5	7	O	36	1	36	20.66
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	N (N)	6	N	Y	0.8650	1.0000	4	O	 
2	36	N (N)	6	N	Y	0.7777	1.0000	4	O	 
3	36	N (N)	5	Y	Y	0.8888	0.8333	4	O	 
4	36	N (N)	4	N	Y	0.9444	1.0000	4	O	 
5	35	N (N)	2	N	Y	1.0000	0.8947	4	O	 
6	30	N (N)	5	N	Y	1.0000	1.0000	4	O	 
7	29	Y (Y)	5	N	N	0.8000	0.9473	4	O	 
8	29	N (N)	6	N	Y	1.0000	0.9473	4	X	 
9	25	N (N)	6	N	Y	0.5396	1.0000	3	X	 
10	24	Y (Y)	6	N	Y	0.3407	0.9473	3	O	 
11	24	Y (Y)	5	N	N	0.7785	1.0000	4	X	 
12	24	N (N)	5	N	Y	0.9126	0.6666	4	X	 
13	24	N (N)	5	N	Y	0.8333	1.0000	4	X	 
14	23	Y (Y)	4	N	Y	0.7539	0.8333	4	X	 
15	23	N (N)	5	Y	Y	1.0000	0.8333	4	X	 
16	22	N (N)	6	N	Y	0.7619	1.0000	4	X	 
17	21	Y (Y)	6	N	Y	0.9037	1.0000	4	X	 
18	20	Y (Y)	6	N	Y	0.3703	0.8421	3	O	 
19	20	Y (Y)	6	N	Y	0.2888	1.0000	2	O	 
20	20	Y (Y)	6	N	Y	0.2888	1.0000	2	O	 
21	20	Y (Y)	6	N	N	0.6518	0.9473	4	X	 
22	20	Y (Y)	6	N	N	0.4962	0.7894	3	O	 
23	20	N (N)	5	Y	Y	0.9928	1.0000	4	X	 
24	19	Y (Y)	4	N	Y	0.5666	0.4736	3	O	 
25	16	Y (Y)	6	N	Y	0.2111	0.9736	2	O	 
26	15	Y (Y)	6	N	Y	0.5952	1.0000	3	O	 
27	15	Y (Y)	5	N	Y	0.2888	0.7894	2	O	 
28	13	Y (Y)	5	N	Y	0.2740	0.8157	2	O	 
29	10	Y (Y)	6	N	Y	0.2666	0.7368	2	O	 
30	10	Y (Y)	5	N	Y	0.3185	0.7894	2	O	 
31	9	Y (Y)	6	N	Y	0.5148	0.8684	3	X	 
32	9	Y (Y)	5	N	Y	0.2888	0.8947	2	O	 
33	8	Y (Y)	6	N	Y	0.2888	1.0000	2	O	 
34	1	Y (Y)	6	N	Y	0.2444	1.0000	2	O	* 
35	1	Y (Y)	6	N	Y	0.2888	1.0000	2	O	 
