Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
MAT2001-02-02	고등미적분학(1)	3	김종은	월9,10,수9(수10)	과B132(과B131)	80	42	0 (N)	0	0	0	0	O	36	1	32	5.21
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	32	N (N)	4	N	Y	0.7777	1.0000	3	O	 
2	15	N (N)	6	N	Y	0.1555	0.4736	2	O	 
3	15	N (N)	5	N	Y	0.2814	0.9736	2	O	 
4	15	N (N)	4	Y	Y	1.0000	0.9473	4	O	 
5	15	N (N)	4	Y	N	1.0000	0.8947	4	O	 
6	14	N (N)	6	N	Y	0.2666	0.7894	2	O	 
7	12	N (N)	6	N	Y	0.3111	1.0000	2	O	 
8	10	N (N)	6	N	Y	0.2888	0.8947	2	O	 
9	9	N (N)	6	N	Y	0.3185	0.9473	2	O	 
10	7	N (N)	6	N	Y	0.6000	0.8947	3	O	 
11	7	N (N)	6	N	Y	0.2407	0.6578	2	O	 
12	6	N (N)	6	N	N	0.4666	0.6315	3	O	 
13	6	N (N)	4	N	Y	0.5555	0.8947	3	O	 
14	5	N (N)	6	N	Y	0.2888	1.0000	2	O	 
15	5	N (N)	6	N	Y	0.2629	0.8684	2	O	 
16	5	N (N)	5	N	Y	0.4222	0.9473	2	O	 
17	4	N (N)	6	N	Y	0.2888	0.9473	2	O	 
18	3	N (N)	6	N	Y	0.2888	1.0000	2	O	 
19	3	N (N)	6	N	Y	0.2444	0.5263	2	O	 
20	3	N (N)	6	N	N	0.5481	0.9473	3	O	 
21	2	N (N)	6	N	Y	0.3111	1.0000	2	O	 
22	2	N (N)	6	N	Y	0.3111	1.0000	2	O	 
23	2	N (N)	6	N	Y	0.3111	1.0000	2	O	 
24	2	N (N)	6	N	Y	0.2888	1.0000	2	O	 
25	2	N (N)	6	N	Y	0.2666	0.8947	2	O	 
26	2	N (N)	6	N	N	0.8148	0.9473	4	O	 
27	1	N (N)	6	N	Y	0.2888	1.0000	2	O	 
28	1	N (N)	6	N	Y	0.2888	1.0000	2	O	 
29	1	N (N)	6	N	Y	0.2888	1.0000	2	O	 
30	1	N (N)	6	N	Y	0.2888	1.0000	2	O	 
31	1	N (N)	6	N	Y	0.2888	1.0000	2	O	 
32	1	N (N)	6	N	Y	0.2777	0.8684	2	O	 
33	1	N (N)	6	N	Y	0.2740	0.8947	2	O	 
34	1	N (N)	6	N	Y	0.2666	0.9736	2	O	 
35	1	N (N)	6	N	Y	0.2666	0.9473	2	O	 
36	1	N (N)	6	N	Y	0.2666	0.8947	2	O	 
37	1	N (N)	6	N	Y	0.2666	0.8947	2	O	 
38	1	N (N)	6	N	Y	0.2666	0.8421	2	O	 
39	1	N (N)	6	N	Y	0.2666	0.7894	2	O	 
40	1	N (N)	6	N	Y	0.2518	1.0000	2	O	 
41	1	N (N)	6	N	Y	0.1925	0.8684	2	O	 
42	1	N (N)	5	N	N	0.6814	0.7894	3	O	 
