Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
ESS4125-01-00	졸업논문연구(1)	1	홍태경	화9	과S222	50	37	0 (N)	0	0	0	0	O	36	1	10	2.46
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	10	N (N)	6	N	Y	0.8148	0.8421	4	O	 
2	8	N (N)	4	N	Y	0.7888	0.7894	4	O	 
3	6	N (N)	6	N	Y	0.7481	0.9473	4	O	 
4	6	N (N)	6	N	Y	0.7407	0.7368	4	O	 
5	6	N (N)	6	N	Y	0.6296	1.0000	3	O	 
6	5	N (N)	6	N	Y	0.7925	0.9473	4	O	 
7	5	N (N)	6	N	Y	0.7851	0.7894	4	O	 
8	5	N (N)	6	N	Y	0.6074	0.7894	4	O	 
9	3	N (N)	6	N	Y	0.8000	0.7894	4	O	 
10	3	N (N)	6	N	Y	0.6666	0.7894	3	O	 
11	2	N (N)	6	Y	Y	0.9333	0.5789	4	O	 
12	2	N (N)	6	N	Y	0.8000	0.8421	4	O	 
13	2	N (N)	6	N	Y	0.7629	1.0000	4	O	 
14	2	N (N)	6	N	Y	0.7407	1.0000	4	O	 
15	2	N (N)	6	N	Y	0.7259	0.7368	4	O	 
16	2	N (N)	6	N	Y	0.6444	0.9473	4	O	 
17	2	N (N)	6	N	N	0.8666	0.6315	4	O	 
18	1	N (N)	6	N	Y	1.0000	0.8421	4	O	 
19	1	N (N)	6	N	Y	0.8444	0.9473	4	O	 
20	1	N (N)	6	N	Y	0.8296	0.7894	4	O	 
21	1	N (N)	6	N	Y	0.8148	0.9473	4	O	 
22	1	N (N)	6	N	Y	0.8074	1.0000	4	O	 
23	1	N (N)	6	N	Y	0.7925	0.9473	4	O	 
24	1	N (N)	6	N	Y	0.7851	1.0000	4	O	 
25	1	N (N)	6	N	Y	0.7703	0.7894	4	O	 
26	1	N (N)	6	N	Y	0.7555	0.9473	4	O	 
27	1	N (N)	6	N	Y	0.7555	0.8421	4	O	 
28	1	N (N)	6	N	Y	0.7481	1.0000	4	O	 
29	1	N (N)	6	N	Y	0.7259	0.8421	4	O	 
30	1	N (N)	6	N	Y	0.7259	0.8421	4	O	 
31	1	N (N)	6	N	Y	0.6518	0.7894	3	O	 
32	1	N (N)	6	N	Y	0.6370	0.7894	3	O	 
33	1	N (N)	6	N	Y	0.6148	0.9473	4	O	 
34	1	N (N)	6	N	Y	0.6074	0.9473	3	O	 
35	1	N (N)	6	N	Y	0.6074	0.7894	4	O	 
36	1	N (N)	5	N	Y	0.9111	1.0000	4	O	 
37	1	N (N)	5	N	Y	0.7925	0.6315	4	O	 
