Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
UCB1103-01-00	서양문화의유산	3	이재원	화4,목5,6	교102	177	34	0 (N)	0	59	59	59	O	36	1	36	10.53
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	N (N)	1	Y	N	1.0000	0.8421	4	O	 
2	36	N (N)	1	Y	N	1.0000	0.5263	4	O	 
3	32	N (N)	6	N	Y	0.2857	1.0000	2	O	 
4	27	N (N)	6	N	Y	0.2785	1.0000	2	O	 
5	20	N (N)	6	N	Y	0.2888	1.0000	2	O	 
6	16	N (N)	6	N	Y	0.5428	0.9473	3	O	 
7	16	N (N)	6	N	Y	0.4206	0.3333	3	O	 
8	15	N (N)	6	N	Y	0.2296	0.8421	2	O	 
9	15	N (N)	6	N	N	0.3333	0.6842	2	O	 
10	13	N (N)	6	N	Y	0.4592	0.9736	3	O	 
11	13	N (N)	6	N	Y	0.2518	0.8947	2	O	 
12	13	N (N)	6	N	N	0.6071	0.7368	4	O	 
13	13	N (N)	5	Y	N	1.0000	0.8333	4	O	 
14	11	N (N)	6	N	N	0.9777	0.4736	4	O	 
15	10	N (N)	6	N	Y	0.2888	1.0000	2	O	 
16	10	N (N)	6	N	Y	0.2814	0.8421	2	O	 
17	10	N (N)	6	N	N	0.8285	0.8947	4	O	 
18	8	N (N)	6	N	Y	0.6071	0.8421	3	O	 
19	7	N (N)	6	N	Y	0.2428	1.0000	2	O	 
20	6	N (N)	6	N	Y	0.7142	0.8333	4	O	 
21	6	N (N)	6	N	Y	0.6349	1.0000	3	O	 
22	4	N (N)	6	N	Y	0.4523	1.0000	3	O	 
23	3	N (N)	6	N	Y	0.4642	0.9473	3	O	 
24	3	N (N)	5	N	Y	0.5142	0.9473	3	O	 
25	2	N (N)	6	N	Y	0.6000	0.9736	3	O	 
26	2	N (N)	6	N	Y	0.3407	0.9473	3	O	 
27	2	N (N)	6	N	Y	0.2740	0.9473	2	O	 
28	2	N (N)	6	N	Y	0.2214	0.6315	2	O	 
29	2	N (N)	5	N	Y	0.2592	0.7368	2	O	 
30	1	N (N)	6	N	Y	0.7500	0.8421	4	O	 
31	1	N (N)	6	N	Y	0.5500	0.9473	3	O	 
32	1	N (N)	6	N	Y	0.2629	1.0000	2	O	 
33	1	N (N)	6	N	N	0.5079	0.8611	3	O	 
34	1	N (N)	6	N	N	0.3730	0.6944	2	O	 
