Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
UCL1103-02-00	수영	1	이하영	월5,6	수영장(신촌)	21	35	0 (N)	0	7	7	7	X	36	1	36	15.86
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	N (N)	6	Y	Y	1.0000	0.1666	4	O	 
2	36	N (N)	6	Y	Y	0.9682	0.6666	4	O	 
3	36	N (N)	6	N	Y	1.0000	1.0000	4	O	 
4	36	N (N)	6	N	Y	1.0000	0.8888	4	O	 
5	36	N (N)	5	N	Y	0.8214	1.0000	4	O	 
6	35	N (N)	6	Y	Y	1.0000	1.0000	4	O	 
7	35	N (N)	2	N	Y	0.7936	0.8095	4	O	 
8	34	N (N)	6	N	Y	0.4392	0.8421	3	O	 
9	27	N (N)	6	N	Y	0.5642	0.9210	3	O	 
10	26	N (N)	6	N	Y	0.7500	0.9473	4	X	 
11	25	N (N)	6	N	Y	0.6888	1.0000	3	O	 
12	24	N (N)	6	N	Y	0.5357	0.8684	3	O	 
13	20	N (N)	6	N	Y	0.5428	1.0000	3	O	 
14	20	N (N)	5	N	Y	0.2738	0.8611	2	O	 
15	19	N (N)	6	N	Y	0.2857	0.8888	2	O	 
16	16	N (N)	6	N	Y	0.4928	0.8421	3	O	 
17	13	N (N)	6	N	Y	0.7857	0.9473	4	X	 
18	13	N (N)	6	N	Y	0.4888	0.8421	3	O	 
19	13	N (N)	6	N	Y	0.3095	1.0000	2	O	 
20	10	N (N)	6	N	Y	0.9365	0.9444	4	X	 
21	9	N (N)	6	N	Y	0.7857	0.9444	4	X	 
22	7	N (N)	6	N	Y	0.2857	1.0000	2	O	 
23	6	N (N)	6	N	Y	0.2619	0.8888	2	O	 
24	5	N (N)	6	N	Y	0.4928	0.8947	3	X	 
25	5	N (N)	5	N	Y	0.5111	0.6578	3	X	 
26	2	N (N)	6	Y	Y	1.0000	0.6666	4	X	 
27	2	N (N)	6	N	Y	0.5428	0.8157	3	X	 
28	2	N (N)	6	N	Y	0.3750	0.9736	2	O	 
29	1	N (N)	6	Y	Y	1.0000	0.8333	4	X	 
30	1	N (N)	6	Y	Y	1.0000	0.5000	4	X	 
31	1	N (N)	6	Y	Y	1.0000	0.1111	4	X	 
32	1	N (N)	6	Y	Y	0.9714	0.7894	4	X	 
33	1	N (N)	6	N	Y	0.8000	1.0000	4	X	 
34	1	N (N)	6	N	Y	0.7928	0.9473	4	X	 
35	1	N (N)	6	N	Y	0.5071	0.9473	3	X	 
