Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
UCL1109-01-00	체력육성	1	김진선	화5,6	스포츠(휘트니스센터)	27	54	0 (N)	0	9	9	9	X	36	1	36	20.85
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	N (N)	6	Y	Y	1.0000	0.8333	4	O	 
2	36	N (N)	6	Y	Y	1.0000	0.0526	4	O	 
3	36	N (N)	6	Y	Y	0.9629	1.0000	4	O	 
4	36	N (N)	6	N	Y	1.0000	0.1111	4	O	 
5	36	N (N)	6	N	Y	0.7460	0.7619	4	O	 
6	36	N (N)	6	N	Y	0.6031	0.3333	4	O	 
7	36	N (N)	5	Y	Y	0.9365	1.0000	4	O	 
8	36	N (N)	5	Y	Y	0.9259	0.8947	4	O	 
9	36	N (N)	5	Y	Y	0.9142	1.0000	4	O	 
10	36	N (N)	5	Y	Y	0.9071	0.9473	4	X	 
11	36	N (N)	4	N	Y	0.5793	0.8809	3	O	 
12	36	N (N)	3	Y	Y	1.0000	0.2777	4	X	 
13	36	N (N)	3	Y	Y	0.9037	0.7368	4	X	 
14	36	N (N)	2	Y	Y	1.0000	0.7894	4	X	 
15	36	N (N)	2	Y	Y	1.0000	0.6842	4	X	 
16	36	N (N)	1	N	Y	1.0000	0.7894	4	X	 
17	36	N (N)	1	N	Y	1.0000	0.0000	4	X	 
18	35	N (N)	6	N	Y	0.7285	1.0000	4	X	 
19	35	N (N)	4	N	Y	1.0000	0.6842	4	X	 
20	35	N (N)	3	N	Y	0.9603	1.0000	4	X	 
21	35	N (N)	2	N	Y	1.0000	0.9473	4	X	 
22	35	N (N)	2	N	Y	0.8148	0.9473	4	X	 
23	34	N (N)	6	Y	Y	0.9925	0.4736	4	X	 
24	32	N (N)	6	Y	Y	1.0000	0.8333	4	X	 
25	31	N (N)	6	N	Y	1.0000	0.0555	4	X	 
26	23	N (N)	6	N	Y	0.4928	0.9473	3	O	 
27	22	N (N)	6	N	Y	0.5317	1.0000	3	O	 
28	21	N (N)	6	N	Y	0.5214	0.8947	3	O	 
29	21	N (N)	6	N	Y	0.4500	0.6315	3	O	 
30	20	N (N)	6	Y	Y	0.9603	0.9444	4	X	 
31	20	N (N)	6	N	Y	0.4740	0.8421	3	O	 
32	16	N (N)	6	N	Y	0.6507	0.8888	3	O	 
33	15	N (N)	6	N	Y	0.5000	0.9210	3	O	 
34	15	N (N)	6	N	Y	0.5000	0.8421	3	O	 
35	11	N (N)	6	N	Y	0.4296	0.5263	3	X	 
36	10	N (N)	6	N	Y	0.3888	0.8333	2	O	 
37	9	N (N)	6	N	Y	0.8551	0.8333	4	X	 
38	9	N (N)	6	N	Y	0.2857	0.9444	2	O	 
39	8	N (N)	6	Y	Y	1.0000	1.0000	4	X	 
40	6	N (N)	6	N	Y	0.5000	0.9473	3	X	 
41	2	N (N)	6	N	Y	0.6031	1.0000	3	X	 
42	2	N (N)	6	N	Y	0.4592	0.7368	3	X	 
43	1	N (N)	6	Y	Y	1.0000	1.0000	4	X	 
44	1	N (N)	6	Y	Y	1.0000	0.7894	4	X	 
45	1	N (N)	6	Y	Y	1.0000	0.7777	4	X	 
46	1	N (N)	6	Y	Y	1.0000	0.6111	4	X	 
47	1	N (N)	6	Y	Y	1.0000	0.5555	4	X	 
48	1	N (N)	6	N	Y	0.8975	1.0000	5	X	 
49	1	N (N)	6	N	Y	0.8142	0.9473	4	X	 
50	1	N (N)	6	N	Y	0.7785	0.9473	4	X	 
51	1	N (N)	6	N	Y	0.7642	0.9473	4	X	 
52	1	N (N)	6	N	Y	0.7539	0.7142	4	X	 
53	1	N (N)	6	N	Y	0.6111	1.0000	3	X	 
54	1	N (N)	6	N	Y	0.5428	0.9473	3	X	 
