Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
UCL1111-02-00	배드민턴	1	손나래	월1,2	스포츠(구기장)	17	47	0 (N)	0	6	5	6	X	36	1	36	19.19
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	N (N)	6	Y	Y	1.0000	1.0000	4	O	 
2	36	N (N)	6	N	Y	0.8428	1.0000	4	O	 
3	36	N (N)	6	N	Y	0.7925	0.7894	4	O	 
4	36	N (N)	6	N	Y	0.7619	1.0000	4	O	 
5	36	N (N)	6	N	Y	0.5555	0.9736	3	O	 
6	36	N (N)	6	N	Y	0.5407	0.8157	3	O	 
7	36	N (N)	6	N	Y	0.4888	0.9473	3	O	 
8	36	N (N)	5	Y	Y	1.0000	0.6842	4	O	 
9	36	N (N)	5	N	Y	0.7619	0.8095	4	O	 
10	36	N (N)	4	Y	Y	0.9285	0.9473	4	X	 
11	36	N (N)	3	Y	Y	1.0000	0.7894	4	X	 
12	36	N (N)	2	Y	Y	1.0000	0.8888	4	X	 
13	35	N (N)	6	Y	Y	1.0000	0.7368	4	X	 
14	35	N (N)	6	N	Y	0.5214	0.9736	3	O	 
15	35	N (N)	2	Y	Y	1.0000	0.1666	4	X	 
16	31	N (N)	6	N	Y	0.8253	0.8571	4	X	 
17	31	N (N)	6	N	Y	0.7698	0.8095	4	X	 
18	29	N (N)	5	N	Y	0.4939	0.9473	3	O	 
19	28	N (N)	6	N	Y	0.8412	0.8888	4	X	 
20	27	N (N)	6	N	Y	0.4007	0.8611	2	O	 
21	24	N (N)	6	N	Y	0.4357	0.6315	3	X	 
22	23	N (N)	6	N	Y	0.5198	1.0000	2	O	 
23	22	N (N)	6	N	Y	0.5214	0.9473	3	X	 
24	20	N (N)	6	N	Y	0.5396	1.0000	3	X	 
25	20	N (N)	6	N	Y	0.4928	0.7368	3	X	 
26	16	N (N)	6	N	Y	0.2666	1.0000	2	O	 
27	15	N (N)	6	N	Y	0.8071	0.9473	4	X	 
28	15	N (N)	6	N	Y	0.3214	0.9473	2	O	 
29	12	N (N)	6	N	Y	0.5407	0.8947	3	X	 
30	9	N (N)	6	N	Y	0.6825	0.7777	3	X	 
31	9	N (N)	6	N	Y	0.3769	0.8611	2	O	 
32	8	N (N)	5	N	Y	0.0571	0.1578	2	O	 
33	6	N (N)	6	N	Y	0.6285	0.9473	3	X	 
34	6	N (N)	6	N	Y	0.5428	0.9736	3	X	 
35	2	N (N)	6	N	Y	0.2785	1.0000	2	X	 
36	1	N (N)	6	Y	Y	1.0000	0.8333	4	X	 
37	1	N (N)	6	Y	Y	0.9925	0.4736	4	X	 
38	1	N (N)	6	Y	Y	0.9523	1.0000	4	X	 
39	1	N (N)	6	Y	Y	0.8888	0.6666	4	X	 
40	1	N (N)	6	N	Y	0.9703	0.7894	4	X	 
41	1	N (N)	6	N	Y	0.9206	1.0000	4	X	 
42	1	N (N)	6	N	Y	0.8444	0.5789	4	X	 
43	1	N (N)	6	N	Y	0.7714	1.0000	4	X	 
44	1	N (N)	6	N	Y	0.7571	1.0000	4	X	 
45	1	N (N)	6	N	Y	0.5500	0.7894	3	X	 
46	1	N (N)	6	N	Y	0.5396	0.8888	3	X	 
47	1	N (N)	6	N	Y	0.4500	0.7894	3	X	 
