Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
UCK1105-02-00	프랑스문화와예술	3	이혜영	수3,금3,4	교101	153	55	0 (N)	0	51	51	51	O	36	1	36	5.96
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	N (N)	6	N	Y	0.5428	0.9736	3	O	 
2	36	N (N)	2	Y	Y	1.0000	0.3333	4	O	 
3	36	N (N)	1	N	Y	0.2500	0.8881	2	O	 
4	23	N (N)	6	Y	N	0.9333	0.9473	4	O	 
5	16	N (N)	6	N	Y	0.6031	1.0000	3	O	 
6	15	N (N)	6	N	Y	0.2785	1.0000	2	O	 
7	15	N (N)	4	N	Y	0.7571	1.0000	4	O	 
8	12	N (N)	6	N	Y	0.7500	0.9444	4	O	 
9	12	N (N)	6	N	Y	0.7500	0.8750	4	O	 
10	10	N (N)	5	N	Y	0.7555	0.8947	4	O	 
11	8	N (N)	5	N	Y	0.3492	0.8888	2	O	 
12	7	N (N)	6	N	Y	0.5238	0.8611	3	O	 
13	7	N (N)	6	N	Y	0.5000	0.8881	3	O	 
14	7	N (N)	6	N	Y	0.2592	0.9473	2	O	 
15	7	N (N)	6	N	Y	0.2222	0.5555	2	O	 
16	6	N (N)	4	N	Y	0.1428	0.0000	2	O	 
17	5	N (N)	6	N	Y	0.2407	0.8684	2	O	 
18	5	N (N)	6	N	N	0.7629	0.8947	4	O	 
19	5	N (N)	5	N	Y	0.2785	1.0000	2	O	 
20	4	N (N)	6	N	Y	0.8814	1.0000	4	O	 
21	4	N (N)	6	N	Y	0.5555	1.0000	3	O	 
22	3	N (N)	6	N	Y	0.2814	0.9473	2	O	 
23	3	N (N)	6	N	Y	0.2698	0.7777	2	O	 
24	3	N (N)	6	N	N	0.5793	1.0000	3	O	 
25	3	N (N)	5	Y	Y	0.8928	0.9473	4	O	 
26	2	N (N)	6	N	Y	0.3809	0.8333	2	O	 
27	2	N (N)	6	N	Y	0.3015	1.0000	2	O	 
28	2	N (N)	6	N	Y	0.2936	1.0000	2	O	 
29	2	N (N)	6	N	Y	0.2857	1.0000	2	O	 
30	2	N (N)	6	N	Y	0.2777	0.7777	2	O	 
31	2	N (N)	6	N	Y	0.2738	0.8611	2	O	 
32	2	N (N)	6	N	Y	0.2666	1.0000	2	O	 
33	2	N (N)	6	N	Y	0.2619	0.6666	2	O	 
34	2	N (N)	6	N	Y	0.2380	0.7777	2	O	 
35	2	N (N)	6	N	N	0.5079	0.8333	3	O	 
36	1	N (N)	6	N	Y	0.8888	1.0000	4	O	 
37	1	N (N)	6	N	Y	0.8333	0.6666	4	O	 
38	1	N (N)	6	N	Y	0.8095	1.0000	4	O	 
39	1	N (N)	6	N	Y	0.7777	0.8421	4	O	 
40	1	N (N)	6	N	Y	0.7500	0.9473	4	O	 
41	1	N (N)	6	N	Y	0.6984	0.6666	4	O	 
42	1	N (N)	6	N	Y	0.5785	0.9210	3	O	 
43	1	N (N)	6	N	Y	0.5714	0.4736	4	O	 
44	1	N (N)	6	N	Y	0.3730	0.7222	2	O	 
45	1	N (N)	6	N	Y	0.3412	1.0000	2	O	 
46	1	N (N)	6	N	Y	0.3095	1.0000	2	O	 
47	1	N (N)	6	N	Y	0.3037	1.0000	2	O	 
48	1	N (N)	6	N	Y	0.2888	0.8947	2	O	 
49	1	N (N)	6	N	Y	0.2023	0.9722	2	O	 
50	1	N (N)	6	N	N	0.8333	1.0000	4	O	 
51	1	N (N)	6	N	N	0.5714	1.0000	3	O	 
52	1	N (N)	6	N	N	0.2444	0.7368	2	O	 
53	1	N (N)	5	N	Y	0.8142	0.9473	4	O	 
54	1	N (N)	5	N	Y	0.3730	1.0000	2	O	 
55	1	N (N)	5	N	Y	0.2261	0.8611	2	O	 
