Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
UCG1107-01-00	그리스신화의이해	3	박혜정	월5,6,수6	교102	153	110	0 (N)	0	51	51	51	O	36	1	36	13.34
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	N (N)	6	N	Y	0.8666	0.8947	4	O	 
2	36	N (N)	5	N	N	0.9047	0.7894	4	O	 
3	36	N (N)	2	Y	N	1.0000	1.0000	4	O	 
4	30	N (N)	5	N	Y	0.2629	0.9736	2	O	 
5	28	N (N)	6	N	Y	0.4928	0.9473	3	O	 
6	28	N (N)	6	N	Y	0.4841	0.6944	3	O	 
7	28	N (N)	6	N	Y	0.2666	0.7894	2	O	 
8	27	N (N)	6	N	Y	0.2592	0.9473	2	O	 
9	26	N (N)	6	N	Y	0.7301	1.0000	4	O	 
10	25	N (N)	6	N	Y	0.3492	0.9444	2	O	 
11	25	N (N)	6	N	Y	0.2579	0.8888	2	O	 
12	25	N (N)	6	N	Y	0.1785	0.6315	2	O	 
13	25	N (N)	5	N	Y	0.1626	0.3611	2	O	 
14	23	N (N)	6	N	Y	0.2936	1.0000	2	O	 
15	23	N (N)	6	N	Y	0.2370	0.6315	2	O	 
16	22	N (N)	5	N	Y	0.3849	0.8611	2	O	 
17	22	N (N)	3	Y	Y	0.9428	0.5263	4	O	 
18	21	N (N)	6	N	Y	0.7539	1.0000	4	O	 
19	21	N (N)	5	N	Y	0.3095	0.9444	2	O	 
20	20	N (N)	6	N	Y	0.4007	0.8611	2	O	 
21	20	N (N)	6	N	Y	0.2619	0.8888	2	O	 
22	20	N (N)	4	N	Y	0.1428	0.0000	2	O	 
23	19	N (N)	6	N	Y	0.7285	1.0000	4	O	 
24	19	N (N)	6	N	Y	0.3015	0.5555	2	O	 
25	19	N (N)	6	N	Y	0.2777	0.9444	2	O	 
26	19	N (N)	6	N	Y	0.2777	0.8888	2	O	 
27	19	N (N)	5	N	Y	0.8814	0.9473	4	O	 
28	19	N (N)	5	N	Y	0.3809	1.0000	2	O	 
29	18	N (N)	6	N	Y	0.7301	1.0000	4	O	 
30	18	N (N)	6	N	Y	0.2936	1.0000	2	O	 
31	18	N (N)	6	N	Y	0.2571	1.0000	2	O	 
32	18	N (N)	5	N	Y	0.3333	1.0000	2	O	 
33	17	N (N)	6	N	Y	0.7460	1.0000	4	O	 
34	17	N (N)	6	N	Y	0.6111	1.0000	3	O	 
35	17	N (N)	6	N	Y	0.4484	0.5833	3	O	 
36	17	N (N)	6	N	Y	0.2857	1.0000	2	O	 
37	17	N (N)	6	N	Y	0.2539	0.8611	2	O	 
38	17	N (N)	4	N	N	0.3333	1.0000	2	O	 
39	16	N (N)	6	N	Y	0.5000	0.8881	3	O	 
40	16	N (N)	6	N	Y	0.2936	1.0000	2	O	 
41	16	N (N)	6	N	Y	0.2857	1.0000	2	O	 
42	16	N (N)	6	N	Y	0.2666	1.0000	2	O	 
43	16	N (N)	6	N	Y	0.2619	0.8888	2	O	 
44	16	N (N)	5	N	Y	0.6666	0.8333	3	O	 
45	15	N (N)	6	N	Y	0.3015	1.0000	2	O	 
46	15	N (N)	6	N	Y	0.3015	1.0000	2	O	 
47	15	N (N)	6	N	Y	0.2857	1.0000	2	O	 
48	15	N (N)	6	N	Y	0.2698	0.8888	2	O	 
49	15	N (N)	6	N	Y	0.2500	0.8881	2	O	 
50	15	N (N)	6	N	N	0.2857	0.8888	2	O	 
51	15	N (N)	5	N	Y	0.3928	0.8611	2	O	 
52	15	N (N)	5	N	Y	0.2619	1.0000	2	O	 
53	14	N (N)	6	N	Y	0.5571	1.0000	3	O	 
54	14	N (N)	6	N	Y	0.3412	1.0000	2	O	 
55	14	N (N)	6	N	Y	0.2619	0.7777	2	O	 
56	14	N (N)	6	N	N	0.2888	1.0000	2	O	 
57	13	N (N)	6	N	Y	0.7555	0.9473	4	O	 
58	13	N (N)	6	N	Y	0.2777	1.0000	2	O	 
59	13	N (N)	6	N	Y	0.2666	1.0000	2	O	 
60	13	N (N)	6	N	Y	0.2539	0.8888	2	O	 
61	13	N (N)	4	Y	N	1.0000	1.0000	4	O	 
62	12	N (N)	6	N	Y	0.5555	1.0000	3	O	 
63	12	N (N)	6	N	Y	0.5535	1.0000	3	O	 
64	12	N (N)	6	N	Y	0.5407	0.9736	3	O	 
65	12	N (N)	6	N	Y	0.5392	0.9210	3	O	 
66	11	N (N)	6	N	Y	0.2857	1.0000	2	O	 
67	11	N (N)	6	N	Y	0.2857	0.9444	2	O	 
68	11	N (N)	6	N	Y	0.2740	0.8947	2	O	 
69	10	N (N)	6	N	Y	0.7460	0.8333	4	O	 
70	10	N (N)	6	N	Y	0.7380	1.0000	4	O	 
71	10	N (N)	6	N	Y	0.5436	0.8055	3	O	 
72	10	N (N)	6	N	Y	0.3095	1.0000	2	O	 
73	10	N (N)	5	N	Y	0.6428	0.4736	4	O	 
74	9	N (N)	5	N	Y	0.6444	0.8947	3	O	 
75	8	N (N)	6	N	Y	0.5158	1.0000	3	O	 
76	8	N (N)	6	N	N	0.4603	0.8333	3	O	 
77	7	N (N)	6	N	Y	0.8492	0.8888	4	O	 
78	7	N (N)	6	N	Y	0.2777	0.9444	2	O	 
79	7	N (N)	5	N	Y	0.7785	0.8421	4	O	 
80	7	N (N)	5	N	Y	0.7785	0.7894	4	O	 
81	6	N (N)	6	N	Y	0.3015	1.0000	2	O	 
82	6	N (N)	5	N	Y	0.2777	1.0000	2	O	 
83	5	N (N)	6	N	Y	0.8740	1.0000	4	O	 
84	5	N (N)	6	N	Y	0.8285	1.0000	4	O	 
85	5	N (N)	6	N	Y	0.5481	1.0000	3	O	 
86	5	N (N)	6	N	Y	0.5357	0.7105	3	O	 
87	5	N (N)	6	N	Y	0.2738	0.8055	2	O	 
88	5	N (N)	6	N	Y	0.2666	0.8421	2	O	 
89	4	N (N)	6	N	Y	0.7685	1.0000	4	O	 
90	3	N (N)	6	N	Y	0.7777	0.8333	4	O	 
91	3	N (N)	6	N	Y	0.5428	0.9736	3	O	 
92	3	N (N)	6	N	Y	0.3015	1.0000	2	X	 
93	3	N (N)	6	N	Y	0.2539	0.6944	2	X	 
