Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
IEE3348-01-00	MARKETING CHANNELS	3	김경희	화2,3,목1	백S113	40	40	0 (N)	0	0	0	0	O	36	1	24	12.35
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	24	N (N)	4	N	Y	0.7500	0.8750	4	O	 
2	24	N (N)	4	N	Y	0.5000	0.8750	3	O	 
3	24	N (N)	3	N	Y	0.5000	0.8750	3	O	 
4	24	N (N)	3	N	Y	0.5000	0.8750	3	O	 
5	22	N (N)	4	N	Y	0.5000	0.8750	3	O	 
6	20	N (N)	4	N	Y	0.7500	0.8750	4	O	 
7	18	N (N)	5	N	Y	0.7500	0.8750	4	O	 
8	18	N (N)	5	N	Y	0.7500	0.8750	4	O	 
9	18	N (N)	4	N	Y	0.7500	0.8750	4	O	 
10	16	N (N)	6	N	Y	0.2500	0.8750	2	O	 
11	16	N (N)	5	N	Y	0.7500	0.9375	4	O	 
12	16	N (N)	4	N	Y	0.5000	0.8750	3	O	 
13	15	N (N)	6	N	Y	0.7500	0.8750	4	O	 
14	15	N (N)	5	N	Y	0.7500	0.8750	4	O	 
15	15	N (N)	5	N	Y	0.7500	0.8750	4	O	 
16	15	N (N)	5	N	Y	0.7500	0.8750	4	O	 
17	14	N (N)	4	N	Y	0.7500	0.8750	4	O	 
18	13	N (N)	6	N	Y	0.7500	0.8750	4	O	 
19	13	N (N)	5	N	Y	0.7500	0.8750	4	O	 
20	12	N (N)	6	N	Y	0.7500	0.8750	4	O	 
21	12	N (N)	6	N	Y	0.7500	0.8750	4	O	 
22	12	N (N)	6	N	Y	0.5000	0.9722	3	O	 
23	12	N (N)	6	N	Y	0.5000	0.8750	3	O	 
24	12	N (N)	5	N	Y	0.7500	1.0000	4	O	 
25	12	N (N)	5	N	Y	0.7500	0.8750	4	O	 
26	11	N (N)	6	N	Y	0.7500	0.8750	4	O	 
27	10	N (N)	6	N	Y	0.7500	0.8750	4	O	 
28	10	N (N)	6	N	Y	0.2500	0.9722	2	O	 
29	10	N (N)	5	N	Y	0.7500	0.8750	4	O	 
30	10	N (N)	5	N	Y	0.5000	0.8750	3	O	 
31	10	N (N)	5	N	Y	0.5000	0.8750	3	O	 
32	9	N (N)	6	N	Y	0.5000	0.8750	3	O	 
33	4	N (N)	6	N	Y	0.7500	0.9722	4	O	 
34	2	N (N)	6	N	Y	0.7500	0.8750	4	O	 
35	1	N (N)	6	N	Y	0.7500	0.8750	4	O	 
36	1	N (N)	6	N	Y	0.5000	0.8750	3	O	 
37	1	N (N)	6	N	Y	0.5000	0.8750	3	O	 
38	1	N (N)	6	N	Y	0.5000	0.8750	3	O	 
39	1	N (N)	5	N	Y	0.7500	0.8750	4	O	 
40	1	N (N)	5	N	Y	0.7500	0.8750	4	O	 
