Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
BIZ3127-01-00	시장조사론	3	최정혜	화6,7,8	경영B208	50	31	45 (Y)	0	0	25	25	O	24	1	24	13.19
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	24	Y (Y)	6	Y	Y	1.0000	1.0000	4	O	 
2	24	Y (Y)	4	N	Y	0.8253	0.8333	4	O	 
3	24	N (N)	6	Y	Y	0.9333	1.0000	4	O	 
4	24	N (N)	6	N	Y	0.9333	0.6315	4	O	 
5	24	N (N)	6	N	Y	0.6888	0.9473	4	O	 
6	23	Y (Y)	5	Y	Y	1.0000	0.5000	4	O	 
7	22	Y (Y)	6	N	Y	0.7380	1.0000	4	O	 
8	21	Y (Y)	6	N	Y	0.4920	0.8333	3	O	 
9	19	Y (Y)	6	Y	Y	0.9047	0.6666	4	O	 
10	19	Y (Y)	6	Y	Y	0.8571	1.0000	4	O	 
11	18	Y (Y)	6	Y	Y	1.0000	0.9473	4	O	 
12	18	Y (Y)	6	N	Y	0.6111	1.0000	3	O	 
13	18	Y (Y)	5	Y	N	0.9761	0.5000	4	O	 
14	16	N (N)	5	N	Y	0.9111	0.8333	4	O	 
15	14	Y (Y)	6	N	Y	0.9126	0.8333	4	O	 
16	14	Y (Y)	6	N	Y	0.7301	0.8333	4	O	 
17	12	Y (Y)	6	N	Y	0.9047	0.8333	4	O	 
18	12	Y (Y)	6	N	Y	0.5793	0.5555	3	O	 
19	12	Y (Y)	3	Y	Y	0.9523	1.0000	4	O	 
20	9	Y (Y)	6	Y	Y	1.0000	1.0000	4	O	 
21	8	Y (Y)	6	N	Y	0.8492	0.8888	4	O	 
22	7	Y (Y)	6	N	Y	0.7698	1.0000	4	O	 
23	7	Y (Y)	6	N	Y	0.6984	1.0000	4	O	 
24	4	Y (Y)	6	N	Y	0.6296	0.9473	3	O	 
25	3	Y (Y)	6	N	Y	0.8333	1.0000	4	O	 
26	3	Y (Y)	6	N	Y	0.7380	1.0000	3	O	 
27	3	Y (Y)	6	N	Y	0.7142	0.8333	3	O	 
28	3	Y (Y)	6	N	Y	0.6349	0.8333	3	O	 
29	2	Y (Y)	6	N	Y	0.5992	0.6944	3	O	 
30	1	Y (Y)	6	Y	Y	0.9285	1.0000	4	O	 
31	1	Y (Y)	6	N	Y	0.6269	1.0000	3	O	 
