Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
BIZ3196-01-00	최첨단기술트렌드와기술경영	3	배성주	화4,목5,6	경영B205	52	48	47 (Y)	0	0	26	26	O	24	1	24	10.65
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	24	Y (Y)	6	Y	Y	0.9642	0.8888	4	O	 
2	24	Y (Y)	6	Y	Y	0.9047	0.8333	4	O	 
3	24	Y (Y)	6	N	Y	0.8333	0.8333	4	O	 
4	24	Y (Y)	6	N	Y	0.7619	1.0000	4	O	 
5	24	Y (Y)	2	N	Y	0.9603	0.8333	4	O	 
6	24	N (N)	6	Y	Y	0.9333	1.0000	4	O	 
7	24	N (N)	6	N	Y	0.8444	0.6315	4	O	 
8	20	Y (Y)	6	Y	Y	0.9682	0.6666	4	O	 
9	20	Y (Y)	3	Y	Y	0.9523	0.8333	4	O	 
10	18	Y (Y)	6	Y	Y	0.9047	1.0000	4	O	 
11	18	Y (Y)	6	N	Y	0.9047	0.8333	4	O	 
12	17	Y (Y)	6	N	Y	0.9285	0.5000	3	O	 
13	16	Y (Y)	5	Y	Y	1.0000	0.5000	4	O	 
14	15	Y (Y)	6	N	Y	0.8740	0.9473	4	O	 
15	15	Y (Y)	6	N	Y	0.6111	0.8333	3	O	 
16	14	Y (Y)	6	Y	Y	0.9047	0.5000	4	O	 
17	14	Y (Y)	5	N	Y	0.7698	1.0000	4	O	 
18	13	Y (Y)	6	N	Y	0.6746	1.0000	4	O	 
19	12	Y (Y)	6	N	Y	0.5555	0.8333	3	O	 
20	10	Y (Y)	6	N	Y	0.7857	0.8333	4	O	 
21	10	Y (Y)	6	N	Y	0.7063	1.0000	3	O	 
22	10	Y (Y)	6	N	Y	0.6984	1.0000	4	O	 
23	10	Y (Y)	6	N	Y	0.5476	0.8333	3	O	 
24	10	Y (Y)	5	Y	Y	0.9285	1.0000	4	O	 
25	9	Y (Y)	6	Y	Y	0.9047	1.0000	4	O	 
26	9	Y (Y)	6	N	Y	0.8650	1.0000	4	O	 
27	9	Y (Y)	6	N	Y	0.5714	0.9166	3	O	 
28	8	Y (Y)	6	N	Y	0.6825	1.0000	3	O	 
29	7	Y (Y)	6	N	Y	0.6984	1.0000	4	O	 
30	7	Y (Y)	6	N	Y	0.6428	1.0000	3	O	 
31	5	Y (Y)	6	Y	Y	1.0000	0.0000	4	O	 
32	5	Y (Y)	6	Y	Y	0.8650	1.0000	4	O	 
33	5	Y (Y)	6	N	Y	1.0000	0.6666	4	O	 
34	5	Y (Y)	6	N	Y	0.6825	0.8333	4	O	 
35	4	Y (Y)	6	N	Y	0.5238	0.8611	3	O	 
36	4	Y (Y)	6	N	Y	0.4603	0.8333	3	O	 
37	3	Y (Y)	6	Y	Y	1.0000	0.4444	4	X	 
38	3	Y (Y)	6	Y	Y	0.8253	0.8333	4	X	 
39	3	Y (Y)	6	N	Y	0.8492	0.8333	4	X	 
40	3	Y (Y)	6	N	Y	0.6746	1.0000	4	X	 
41	3	Y (Y)	5	N	Y	0.4523	0.8888	3	O	 
42	2	Y (Y)	6	N	Y	0.8809	0.8333	4	X	 
43	2	Y (Y)	6	N	Y	0.8174	0.7222	4	X	 
44	1	Y (Y)	6	Y	Y	1.0000	1.0000	4	X	 
45	1	Y (Y)	6	Y	Y	0.9206	1.0000	4	X	 
46	1	Y (Y)	6	Y	Y	0.9126	1.0000	4	X	 
47	1	Y (Y)	6	Y	Y	0.8333	1.0000	4	X	 
48	1	Y (Y)	6	N	Y	1.0000	0.8333	4	X	 
