Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
BIZ4102-01-00	네트워크이론	3	경규학	금8,9,토4	경영B204	54	130	49 (Y)	0	0	22	32	O	24	1	24	17.44
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	24	Y (Y)	6	Y	Y	1.0000	1.0000	4	O	 
2	24	Y (Y)	6	Y	Y	1.0000	0.8888	4	O	 
3	24	Y (Y)	6	Y	Y	1.0000	0.7777	4	O	 
4	24	Y (Y)	6	Y	Y	1.0000	0.7368	4	O	 
5	24	Y (Y)	6	Y	Y	1.0000	0.6666	4	O	 
6	24	Y (Y)	6	Y	Y	1.0000	0.5000	4	O	 
7	24	Y (Y)	6	Y	Y	1.0000	0.5000	4	O	 
8	24	Y (Y)	6	Y	Y	0.9920	1.0000	4	O	 
9	24	Y (Y)	6	Y	Y	0.9761	1.0000	4	O	 
10	24	Y (Y)	6	Y	Y	0.9761	1.0000	4	O	 
11	24	Y (Y)	6	Y	Y	0.9682	0.6666	4	O	 
12	24	Y (Y)	6	Y	Y	0.9365	0.6666	4	O	 
13	24	Y (Y)	6	Y	Y	0.9126	1.0000	4	O	 
14	24	Y (Y)	6	Y	Y	0.9126	1.0000	4	O	 
15	24	Y (Y)	6	Y	Y	0.9126	0.8333	4	O	 
16	24	Y (Y)	6	Y	Y	0.9047	1.0000	4	O	 
17	24	Y (Y)	6	Y	Y	0.9047	0.8333	4	O	 
18	24	Y (Y)	6	Y	Y	0.8968	1.0000	4	O	 
19	24	Y (Y)	6	Y	Y	0.8809	0.6666	4	O	 
20	24	Y (Y)	6	Y	Y	0.8730	1.0000	4	O	 
21	24	Y (Y)	6	Y	Y	0.8730	0.4444	4	O	 
22	24	Y (Y)	6	Y	Y	0.8571	0.8888	4	O	 
23	24	Y (Y)	6	Y	Y	0.8412	0.3333	4	O	 
24	24	Y (Y)	6	Y	Y	0.8253	0.8333	4	O	 
25	24	Y (Y)	6	N	Y	1.0000	0.8333	4	O	 
26	24	Y (Y)	6	N	Y	0.9841	0.8333	4	O	 
27	24	Y (Y)	6	N	Y	0.9206	1.0000	4	O	 
28	24	Y (Y)	6	N	Y	0.8571	1.0000	4	O	 
29	24	Y (Y)	6	N	Y	0.8571	0.8333	4	O	 
30	24	Y (Y)	6	N	Y	0.8412	1.0000	4	O	 
31	24	Y (Y)	6	N	Y	0.8412	0.6666	4	O	 
32	24	Y (Y)	6	N	Y	0.8253	1.0000	4	O	 
33	24	Y (Y)	6	N	Y	0.8174	0.8333	4	X	 
34	24	Y (Y)	6	N	Y	0.8015	0.8333	4	X	 
35	24	Y (Y)	6	N	Y	0.7851	0.9473	4	X	 
36	24	Y (Y)	6	N	Y	0.7777	1.0000	4	X	 
37	24	Y (Y)	6	N	Y	0.7698	1.0000	4	X	 
38	24	Y (Y)	6	N	Y	0.7698	0.6666	4	X	 
39	24	Y (Y)	6	N	Y	0.7539	0.6666	4	X	 
40	24	Y (Y)	6	N	Y	0.7440	1.0000	4	X	 
41	24	Y (Y)	6	N	Y	0.7380	1.0000	3	O	 
42	24	Y (Y)	6	N	Y	0.7063	0.8333	4	X	 
43	24	Y (Y)	6	N	Y	0.6984	0.8333	3	O	 
44	24	Y (Y)	6	N	Y	0.6825	0.8333	4	X	 
45	24	Y (Y)	6	N	Y	0.6746	0.6666	3	O	 
46	24	Y (Y)	6	N	Y	0.6507	1.0000	3	O	 
47	24	Y (Y)	6	N	Y	0.6269	1.0000	4	X	 
48	24	Y (Y)	6	N	Y	0.6111	0.8333	3	O	 
49	24	Y (Y)	6	N	Y	0.5873	0.6666	3	O	 
50	24	Y (Y)	6	N	Y	0.5476	1.0000	3	O	 
51	24	Y (Y)	6	N	N	0.7619	1.0000	4	X	 
52	24	Y (Y)	5	Y	Y	0.8888	1.0000	4	X	 
53	24	Y (Y)	4	Y	Y	0.9365	0.9444	4	X	 
54	24	Y (Y)	4	Y	Y	0.9365	0.8333	4	X	 
55	24	Y (Y)	4	Y	Y	0.9126	0.8333	4	X	 
56	24	Y (Y)	3	Y	Y	1.0000	0.5000	4	X	 
57	24	Y (Y)	3	Y	Y	1.0000	0.3333	4	X	 
58	24	Y (Y)	3	Y	Y	0.9523	1.0000	4	X	 
59	24	Y (Y)	3	Y	Y	0.9444	1.0000	4	X	 
60	24	Y (Y)	3	Y	Y	0.9444	0.8888	4	X	 
61	24	Y (Y)	3	Y	Y	0.9345	1.0000	4	X	 
62	24	Y (Y)	2	Y	Y	1.0000	1.0000	4	X	 
63	24	Y (Y)	2	N	Y	0.7380	0.1111	4	X	 
64	24	N (N)	6	Y	Y	1.0000	0.9444	4	X	 
65	24	N (N)	6	Y	Y	0.9126	1.0000	4	X	 
66	24	N (N)	6	N	Y	0.6666	0.8333	4	X	 
67	24	N (N)	5	Y	Y	0.9523	0.1666	4	X	 
68	24	N (N)	5	Y	Y	0.9428	0.8947	4	X	 
69	23	Y (Y)	6	Y	Y	0.8730	0.5000	4	X	 
70	23	Y (Y)	6	N	Y	0.6507	0.6666	3	O	 
71	23	Y (Y)	6	N	Y	0.4444	0.8333	3	O	 
72	23	Y (Y)	5	Y	Y	0.9523	0.8333	4	X	 
73	21	Y (Y)	6	Y	Y	0.9365	0.6666	4	X	 
74	21	Y (Y)	6	N	Y	0.8730	0.8888	4	X	 
75	20	Y (Y)	6	Y	Y	0.8571	0.8333	4	X	 
76	20	Y (Y)	6	N	Y	0.6825	0.8333	4	X	 
77	20	Y (Y)	6	N	Y	0.6805	1.0000	3	O	 
78	20	Y (Y)	6	N	Y	0.6666	0.7777	3	O	 
79	19	Y (Y)	6	N	Y	0.6746	1.0000	3	O	 
80	18	N (N)	6	Y	Y	0.9111	1.0000	4	X	 
81	17	Y (Y)	6	N	Y	0.8730	1.0000	4	X	 
82	17	Y (Y)	6	N	Y	0.6666	1.0000	3	O	 
83	16	Y (Y)	6	N	Y	0.8333	0.9444	4	X	 
84	16	Y (Y)	6	N	Y	0.8000	0.7894	4	X	 
85	16	Y (Y)	6	N	Y	0.5317	0.8333	3	O	 
86	15	Y (Y)	6	Y	Y	0.8174	0.8888	4	X	 
87	15	Y (Y)	6	N	Y	0.7460	0.8888	3	O	 
88	15	Y (Y)	5	N	Y	0.8650	1.0000	4	X	 
89	14	Y (Y)	6	N	Y	0.6507	0.8611	3	O	 
90	12	Y (Y)	6	N	Y	0.8174	1.0000	3	O	 
91	12	Y (Y)	6	N	Y	0.7460	1.0000	3	O	 
92	12	Y (Y)	6	N	Y	0.7123	1.0000	3	O	 
93	12	Y (Y)	6	N	Y	0.6825	1.0000	3	O	 
94	12	Y (Y)	6	N	Y	0.6587	1.0000	4	X	 
95	12	Y (Y)	6	N	Y	0.5873	0.9444	3	O	 
96	12	Y (Y)	6	N	Y	0.5000	0.6666	3	O	 
97	12	Y (Y)	4	Y	Y	1.0000	0.1666	4	X	 
98	11	Y (Y)	6	N	Y	0.8869	0.8333	4	X	 
99	11	Y (Y)	6	N	Y	0.8730	0.9444	4	X	 
100	11	Y (Y)	6	N	Y	0.6666	0.8333	3	X	 
101	11	N (N)	6	N	Y	0.7785	0.9473	4	X	 
102	10	Y (Y)	6	N	Y	0.8412	0.8333	4	X	 
103	10	Y (Y)	6	N	Y	0.6746	0.6666	3	X	 
104	10	Y (Y)	6	N	Y	0.6507	1.0000	3	X	 
105	9	Y (Y)	6	Y	Y	0.8095	1.0000	4	X	 
106	8	Y (Y)	6	N	Y	0.6547	0.7777	3	X	 
107	7	Y (Y)	6	Y	Y	1.0000	0.8333	4	X	 
108	6	Y (Y)	6	N	Y	0.5079	1.0000	3	X	 
109	6	Y (Y)	5	Y	Y	0.9126	0.8888	4	X	 
110	5	Y (Y)	6	N	Y	0.7857	1.0000	4	X	 
111	4	Y (Y)	6	N	Y	0.8730	0.1111	4	X	 
112	3	Y (Y)	6	N	Y	0.7222	1.0000	3	X	 
113	3	Y (Y)	6	N	Y	0.6904	0.8333	3	X	 
114	3	Y (Y)	6	N	Y	0.6507	1.0000	3	X	 
115	2	Y (Y)	6	Y	Y	1.0000	0.8333	4	X	 
116	2	Y (Y)	6	N	Y	0.7539	1.0000	3	X	 
117	2	Y (Y)	6	N	Y	0.5952	1.0000	3	X	 
118	1	Y (Y)	6	Y	Y	1.0000	1.0000	4	X	 
119	1	Y (Y)	6	Y	Y	1.0000	0.8333	4	X	 
120	1	Y (Y)	6	Y	Y	1.0000	0.8333	4	X	 
121	1	Y (Y)	6	Y	Y	1.0000	0.6666	4	X	 
122	1	Y (Y)	6	Y	Y	1.0000	0.5000	4	X	 
123	1	Y (Y)	6	Y	Y	1.0000	0.1666	4	X	 
124	1	Y (Y)	6	Y	Y	0.9603	1.0000	4	X	 
125	1	Y (Y)	6	Y	Y	0.9444	1.0000	4	X	 
126	1	Y (Y)	6	Y	Y	0.9365	0.8333	4	X	 
127	1	Y (Y)	6	Y	Y	0.9047	0.8333	4	X	 
128	1	Y (Y)	6	N	Y	0.9206	1.0000	4	X	 
129	1	Y (Y)	6	N	Y	0.8333	0.8333	4	X	 
130	1	Y (Y)	6	N	Y	0.6269	0.8333	3	X	 
