Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
CEE4201-01-00	사회기반시스템종합설계	3	강호정	목7,8,9	공A685	45	41	0 (N)	0	0	0	0	O	36	1	36	5.37
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	Y (Y)	2	Y	Y	0.9571	1.0000	4	O	 
2	30	Y (Y)	2	Y	Y	1.0000	1.0000	4	O	 
3	15	Y (Y)	5	N	N	0.8357	0.0000	4	O	 
4	15	Y (Y)	4	N	Y	0.7500	1.0000	4	O	 
5	14	Y (Y)	4	N	Y	0.8571	0.9473	4	O	 
6	13	Y (Y)	5	N	Y	0.8535	1.0000	4	O	 
7	10	Y (Y)	6	Y	Y	0.9428	0.9473	4	O	 
8	9	Y (Y)	6	N	Y	0.7500	0.9473	4	O	 
9	8	Y (Y)	5	Y	Y	0.8928	0.9473	4	O	 
10	7	Y (Y)	6	N	Y	0.5928	0.6315	4	O	 
11	6	Y (Y)	6	Y	Y	0.8785	0.9473	4	O	 
12	5	Y (Y)	6	Y	Y	0.8785	0.9473	4	O	 
13	5	Y (Y)	6	N	Y	0.8357	0.9473	4	O	 
14	5	Y (Y)	2	Y	Y	0.9642	0.8421	4	O	 
15	4	Y (Y)	6	Y	Y	0.9357	0.8947	4	O	 
16	4	Y (Y)	6	N	Y	0.7714	0.9473	4	O	 
17	3	Y (Y)	6	Y	Y	0.9142	0.9473	4	O	 
18	2	Y (Y)	6	Y	Y	0.9500	0.9473	4	O	 
19	2	Y (Y)	6	Y	Y	0.9500	0.7894	4	O	 
20	2	Y (Y)	6	Y	Y	0.8857	1.0000	4	O	 
21	2	Y (Y)	6	Y	Y	0.8857	1.0000	4	O	 
22	2	Y (Y)	6	N	Y	0.8785	0.9473	4	O	 
23	2	Y (Y)	6	N	Y	0.8500	0.9473	4	O	 
24	2	Y (Y)	4	Y	Y	0.9357	0.9473	4	O	 
25	1	Y (Y)	6	Y	Y	0.9571	0.8947	4	O	 
26	1	Y (Y)	6	Y	Y	0.9142	0.7894	4	O	 
27	1	Y (Y)	6	Y	Y	0.8928	0.9473	4	O	 
28	1	Y (Y)	6	Y	Y	0.8928	0.7894	4	O	 
29	1	Y (Y)	6	Y	Y	0.8857	0.9473	4	O	 
30	1	Y (Y)	6	Y	Y	0.8642	1.0000	4	O	 
31	1	Y (Y)	6	N	Y	0.9857	0.9473	4	O	 
32	1	Y (Y)	6	N	Y	0.9642	0.9473	4	O	 
33	1	Y (Y)	6	N	Y	0.9285	1.0000	4	O	 
34	1	Y (Y)	6	N	Y	0.8785	0.9473	4	O	 
35	1	Y (Y)	6	N	Y	0.8357	0.9473	4	O	 
36	1	Y (Y)	6	N	Y	0.8214	1.0000	4	O	 
37	1	Y (Y)	6	N	Y	0.8142	0.9473	4	O	 
38	1	Y (Y)	6	N	Y	0.8000	0.9473	4	O	 
39	1	Y (Y)	5	Y	Y	0.9357	0.7894	4	O	 
40	1	Y (Y)	5	N	Y	0.9071	0.9473	4	O	 
41	1	Y (Y)	5	N	Y	0.8857	0.9473	4	O	 
