Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
ARC3000-01-00	건축공학실무	3	홍태훈	화10,11,12	공D503	90	107	45 (N)	0	0	0	0	O	36	1	36	11.01
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	Y (Y)	6	N	Y	0.7771	0.9473	4	O	 
2	36	Y (Y)	5	N	Y	0.8253	0.9473	4	O	 
3	36	Y (N)	3	N	Y	0.6507	1.0000	3	O	 
4	36	Y (Y)	2	Y	Y	1.0000	0.9473	4	O	 
5	36	N (N)	4	Y	Y	0.9111	0.8421	4	O	 
6	35	Y (Y)	2	N	Y	0.9785	0.9473	4	O	 
7	35	N (N)	2	N	Y	0.6984	1.0000	3	O	 
8	32	Y (Y)	5	N	Y	0.6867	0.6315	4	O	 
9	27	Y (Y)	5	N	Y	0.8253	0.9473	4	O	 
10	26	N (N)	6	N	Y	0.6666	0.8611	3	O	 
11	24	Y (N)	3	Y	Y	0.9047	1.0000	4	O	 
12	23	Y (Y)	4	Y	Y	0.8428	0.9473	4	O	 
13	21	Y (Y)	6	N	Y	0.7771	0.9473	4	O	 
14	21	Y (Y)	6	N	Y	0.7349	0.9473	4	O	 
15	20	Y (Y)	6	N	Y	0.8192	0.9473	5	O	 
16	20	Y (Y)	6	N	Y	0.6285	1.0000	3	O	 
17	20	Y (Y)	5	N	Y	0.5857	0.9473	3	O	 
18	20	Y (Y)	4	Y	Y	0.9337	0.7894	5	O	 
19	20	N (N)	4	Y	Y	0.9357	0.9473	4	O	 
20	17	Y (Y)	6	N	Y	0.6785	1.0000	4	O	 
21	17	Y (Y)	6	N	Y	0.5301	0.9473	3	O	 
22	16	Y (Y)	6	N	Y	0.6535	0.9736	3	O	 
23	16	Y (Y)	6	N	Y	0.6500	0.9473	3	O	 
24	16	Y (Y)	6	N	Y	0.4638	1.0000	3	O	 
25	16	Y (N)	5	N	Y	0.9444	0.8333	4	O	 
26	15	Y (Y)	6	N	Y	0.6857	1.0000	3	O	 
27	15	Y (Y)	5	Y	Y	1.0000	0.9473	5	O	 
28	15	Y (N)	5	N	Y	0.8650	1.0000	4	O	 
29	15	Y (Y)	5	N	Y	0.6987	0.9473	4	O	 
30	15	Y (Y)	3	Y	Y	1.0000	0.7894	5	O	 
31	15	N (N)	6	N	Y	0.4246	0.8611	2	O	 
32	14	Y (Y)	5	N	Y	0.7857	0.6315	4	O	 
33	13	N (N)	6	N	Y	0.4365	1.0000	2	O	 
34	12	Y (Y)	6	N	Y	0.4714	0.7894	3	O	 
