Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
MAT3114-01-00	수치해석	3	서보윤	화2,3,목2(목3)	공A690(과232)	54	38	54 (Y)	0	0	0	0	O	36	1	30	13
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	30	Y (Y)	6	N	Y	0.6071	0.9473	4	O	 
2	29	Y (Y)	6	N	Y	0.3428	0.8157	2	O	 
3	28	Y (Y)	6	N	Y	0.4107	0.9736	2	O	 
4	26	Y (Y)	6	N	Y	0.8357	0.9473	4	O	 
5	26	Y (Y)	6	N	Y	0.3892	0.9736	2	O	 
6	25	Y (Y)	6	N	Y	0.7928	0.9473	4	O	 
7	20	Y (Y)	6	Y	Y	0.9285	1.0000	4	O	 
8	18	Y (Y)	6	Y	N	0.8571	0.4736	4	O	 
9	18	Y (Y)	6	N	Y	0.5071	0.7894	4	O	 
10	17	Y (Y)	6	N	Y	0.7785	0.9473	4	O	 
11	17	Y (Y)	6	N	Y	0.3857	0.7631	2	O	 
12	16	Y (Y)	6	N	Y	0.6892	0.8947	3	O	 
13	15	Y (Y)	6	Y	Y	0.8857	0.8421	4	O	 
14	15	Y (Y)	6	N	Y	0.6107	0.8157	3	O	 
15	15	Y (Y)	6	N	Y	0.4321	0.9736	2	O	 
16	15	Y (Y)	6	N	Y	0.3714	1.0000	2	O	 
17	15	Y (Y)	5	N	Y	0.6321	0.9736	3	O	 
18	14	Y (Y)	6	N	Y	0.6857	0.9473	3	O	 
19	14	Y (Y)	6	N	Y	0.4107	0.9736	2	O	 
20	14	Y (Y)	5	N	Y	0.5000	0.9210	3	O	 
21	12	Y (Y)	6	N	Y	1.0000	1.0000	4	O	 
22	12	Y (Y)	6	N	Y	0.4071	0.7894	3	O	 
23	9	Y (Y)	6	N	Y	0.3250	0.8157	2	O	 
24	9	Y (Y)	6	N	Y	0.2500	0.4736	3	O	 
25	8	Y (Y)	6	N	Y	0.6321	0.9736	3	O	 
26	8	Y (Y)	6	N	Y	0.3750	0.8157	2	O	 
27	7	Y (Y)	6	N	Y	0.6714	0.9473	3	O	 
28	7	Y (Y)	6	N	Y	0.5714	0.9473	3	O	 
29	6	Y (Y)	6	N	Y	0.4107	0.9736	2	O	 
30	6	Y (Y)	6	N	Y	0.3642	0.7894	2	O	 
31	5	Y (Y)	6	N	Y	0.8642	0.7894	4	O	 
32	5	Y (Y)	6	N	Y	0.4642	0.6315	3	O	 
33	5	Y (Y)	6	N	Y	0.3464	0.6578	2	O	 
34	2	Y (Y)	6	N	Y	0.6285	1.0000	3	O	 
35	2	Y (Y)	6	N	Y	0.4642	1.0000	3	O	 
36	2	Y (Y)	5	Y	Y	0.9142	1.0000	4	O	 
37	1	Y (Y)	6	N	Y	0.8857	0.8421	4	O	 
38	1	Y (Y)	6	N	Y	0.6285	0.9473	3	O	 
