Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
MEU3101-01-00	학부세미나(1)	3	이진호	금8,9,10	공B040	110	294	55 (N)	0	0	0	0	X	36	1	36	9.37
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	Y (Y)	6	N	Y	0.9071	0.9473	4	O	 
2	36	Y (Y)	6	N	Y	0.8857	0.9473	4	O	 
3	36	Y (Y)	5	Y	Y	0.8500	0.7894	4	O	 
4	36	Y (Y)	2	Y	Y	1.0000	0.6315	4	O	 
5	36	N (N)	6	Y	Y	0.8214	0.9473	4	O	 
6	36	N (N)	6	N	Y	0.6785	1.0000	3	O	 
7	36	N (N)	6	N	Y	0.5777	0.6315	4	O	 
8	36	N (N)	6	N	Y	0.5753	0.7894	3	O	 
9	36	N (N)	6	N	Y	0.4166	0.9210	2	O	 
10	36	N (N)	5	Y	Y	1.0000	0.7894	4	O	 
11	36	N (N)	5	Y	Y	0.9357	0.7894	4	O	 
12	36	N (N)	5	Y	Y	0.8888	1.0000	4	O	 
13	36	N (N)	4	N	Y	0.6518	1.0000	3	O	 
14	36	N (N)	2	Y	Y	0.9642	0.9473	4	O	 
15	36	N (N)	1	Y	Y	0.9785	0.4736	4	O	 
16	35	Y (Y)	4	Y	Y	0.9214	0.9473	4	O	 
17	35	N (N)	6	Y	Y	0.9407	0.6315	4	O	 
18	35	N (N)	4	Y	Y	0.9214	1.0000	4	O	 
19	35	N (N)	2	Y	Y	0.9571	1.0000	4	O	 
20	34	N (N)	6	N	Y	0.6518	0.9473	3	O	 
21	34	N (N)	4	Y	Y	0.8928	1.0000	4	O	 
22	30	Y (Y)	2	Y	Y	0.9500	0.2105	4	O	 
23	30	N (N)	6	Y	Y	0.8928	0.9473	4	O	 
24	30	N (N)	5	Y	Y	0.9428	0.9473	4	O	 
25	29	N (N)	6	N	Y	0.7936	1.0000	4	O	 
26	28	N (N)	6	N	Y	0.7857	0.8333	4	O	 
27	28	N (N)	5	Y	Y	0.8444	0.9473	4	O	 
28	28	N (N)	4	N	Y	0.7777	0.7894	4	O	 
29	27	N (N)	5	Y	Y	0.8809	0.8888	4	O	 
30	26	N (N)	6	Y	Y	0.9407	0.9473	4	O	 
31	24	Y (Y)	5	Y	Y	0.8928	1.0000	4	O	 
32	22	Y (Y)	5	Y	Y	0.9000	0.9473	4	O	 
33	22	Y (Y)	5	Y	Y	0.8928	0.7894	4	O	 
34	22	N (N)	5	N	Y	0.6785	0.8947	3	O	 
35	20	Y (Y)	6	Y	Y	0.8642	1.0000	4	O	 
36	20	Y (Y)	6	N	Y	0.6500	0.9473	3	O	 
37	20	Y (Y)	6	N	Y	0.6428	0.9473	3	O	 
38	20	Y (Y)	4	Y	Y	0.9142	0.7894	4	O	 
39	20	N (N)	6	N	Y	0.8000	0.9473	4	O	 
40	20	N (N)	6	N	Y	0.7555	0.9473	4	O	 
41	20	N (N)	4	Y	Y	0.9285	0.8947	4	O	 
42	19	Y (Y)	6	Y	Y	0.9178	1.0000	4	O	 
43	19	Y (Y)	6	Y	Y	0.8785	0.9473	4	O	 
44	18	Y (Y)	6	N	Y	0.4035	1.0000	2	O	 
45	17	N (N)	6	N	Y	0.6714	1.0000	4	O	 
46	17	N (N)	4	Y	Y	0.9142	0.8421	4	O	 
47	16	Y (N)	6	Y	Y	0.9185	0.7894	4	O	 
48	16	Y (N)	6	N	Y	0.6785	0.9473	3	O	 
49	16	Y (Y)	6	N	Y	0.6142	0.8421	3	O	 
50	16	Y (Y)	6	N	Y	0.4678	1.0000	2	O	 
51	16	Y (Y)	5	Y	Y	0.9142	0.9473	4	O	 
52	16	N (N)	6	N	Y	0.7185	0.9473	4	O	 
53	15	Y (Y)	6	N	Y	0.8428	0.8421	4	O	 
54	15	Y (Y)	6	N	Y	0.7785	0.9473	4	O	 
55	15	Y (Y)	5	Y	Y	0.9142	0.8947	4	O	 
56	15	Y (Y)	4	Y	Y	0.9285	1.0000	4	O	 
57	15	N (N)	6	N	Y	0.7259	0.9473	4	O	 
58	15	N (N)	6	N	Y	0.6984	1.0000	4	O	 
59	15	N (N)	6	N	Y	0.5357	1.0000	3	O	 
60	15	N (N)	6	N	Y	0.3592	0.8684	2	O	 
61	14	Y (N)	4	N	Y	0.6888	0.9473	3	O	 
62	14	N (N)	6	Y	Y	0.9000	0.6842	4	O	 
63	14	N (N)	6	N	Y	0.4107	0.9736	2	O	 
64	14	N (N)	5	N	Y	0.6666	0.9473	3	O	 
65	13	N (N)	6	Y	Y	0.9603	1.0000	4	O	 
66	13	N (N)	6	N	Y	0.6464	0.8157	3	O	 
67	13	N (N)	4	N	Y	0.6928	0.9473	4	O	 
68	12	Y (Y)	6	Y	Y	0.9428	0.8421	4	O	 
69	12	Y (Y)	6	N	Y	0.4071	0.9473	2	O	 
70	12	Y (Y)	5	Y	Y	0.9000	0.9473	4	O	 
71	12	Y (Y)	4	Y	Y	0.9857	0.9473	4	O	 
72	12	N (N)	6	N	Y	0.6222	0.8421	3	O	 
73	12	N (N)	6	N	Y	0.5821	0.9736	3	O	 
74	11	Y (Y)	6	Y	Y	0.9214	0.7894	4	O	 
75	11	Y (Y)	6	N	Y	0.8428	0.9473	4	O	 
76	11	Y (Y)	6	N	Y	0.6714	1.0000	3	O	 
77	11	Y (Y)	6	N	Y	0.5785	1.0000	3	O	 
78	11	Y (Y)	6	N	Y	0.4250	1.0000	2	O	 
79	11	Y (Y)	5	N	Y	0.7714	0.9473	4	O	 
80	11	N (N)	6	Y	Y	0.9037	0.7894	4	O	 
81	11	N (N)	6	N	Y	0.8785	0.8947	4	O	 
82	11	N (N)	6	N	Y	0.7000	0.9473	3	O	 
83	11	N (N)	5	Y	Y	0.9285	0.9473	4	O	 
84	10	Y (Y)	6	Y	Y	0.8857	0.7894	4	O	 
85	10	Y (Y)	6	N	Y	0.9928	0.9473	4	O	 
86	10	Y (Y)	6	N	Y	0.7928	0.7368	4	O	 
87	10	Y (N)	6	N	Y	0.7777	0.6666	4	O	 
88	10	Y (Y)	6	N	Y	0.6571	0.9473	3	O	 
89	10	Y (Y)	6	N	Y	0.6500	1.0000	4	O	 
90	10	Y (Y)	6	N	Y	0.6357	1.0000	3	O	 
91	10	Y (Y)	6	N	Y	0.6357	0.9473	3	O	 
92	10	Y (Y)	6	N	Y	0.6357	0.8421	3	O	 
93	10	Y (Y)	6	N	Y	0.6285	0.9473	3	O	 
94	10	Y (Y)	6	N	Y	0.6285	0.7894	3	O	 
95	10	Y (Y)	6	N	Y	0.5214	0.8947	3	O	 
96	10	Y (Y)	4	Y	Y	0.9357	1.0000	4	O	 
97	10	Y (Y)	3	Y	Y	0.9571	0.9473	4	O	 
98	10	N (N)	6	N	Y	0.6500	0.9473	3	O	 
99	10	N (N)	6	N	Y	0.6222	0.9473	4	O	 
100	10	N (N)	6	N	Y	0.6142	1.0000	3	O	 
101	10	N (N)	6	N	Y	0.5555	0.8947	3	O	 
102	10	N (N)	5	Y	Y	0.9357	1.0000	4	X	 
103	10	N (N)	4	Y	Y	0.9285	1.0000	4	X	 
104	9	Y (Y)	6	N	Y	0.6750	0.9736	3	O	 
105	9	Y (Y)	6	N	Y	0.6285	0.9473	3	O	 
106	9	Y (Y)	6	N	Y	0.6142	1.0000	3	O	 
107	9	Y (Y)	6	N	Y	0.4142	0.7894	3	O	 
108	9	N (N)	6	Y	Y	0.9285	0.9473	4	X	 
109	9	N (N)	6	Y	Y	0.9047	0.8333	4	X	 
110	9	N (N)	6	Y	Y	0.8928	0.9473	4	X	 
111	9	N (N)	6	Y	Y	0.8888	0.7222	4	X	 
112	9	N (N)	6	N	Y	0.6571	1.0000	3	X	 
