Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
CRP3620-01-00	교통과환경	3	정광복	수7,8,9	공D404	40	38	20 (Y)	0	0	30	10	X	36	1	24	8.42
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	24	Y (Y)	5	Y	Y	0.9357	0.9473	4	O	 
2	20	Y (Y)	5	N	Y	0.6357	1.0000	4	O	 
3	18	Y (Y)	6	Y	Y	1.0000	0.9473	4	O	 
4	17	Y (Y)	6	Y	Y	0.9071	0.7894	4	O	 
5	17	Y (Y)	6	N	Y	0.8285	0.7894	4	O	 
6	15	Y (Y)	6	N	Y	0.8071	1.0000	4	O	 
7	15	Y (Y)	3	Y	Y	0.9285	0.9473	4	O	 
8	14	N (N)	5	N	Y	0.8253	0.8888	4	O	 
9	13	Y (Y)	5	N	Y	0.8571	0.8333	4	O	 
10	12	Y (Y)	6	N	Y	0.5785	0.8421	4	O	 
11	12	Y (Y)	5	Y	Y	1.0000	0.8947	4	X	 
12	11	Y (Y)	6	Y	Y	0.8928	1.0000	4	X	 
13	10	Y (Y)	6	N	Y	0.9214	0.8947	4	X	 
14	10	Y (Y)	6	N	Y	0.8714	0.9473	4	X	 
15	10	Y (Y)	5	Y	Y	0.9071	0.7894	4	X	 
16	10	Y (Y)	5	N	Y	0.5642	0.9473	3	O	 
17	10	Y (Y)	2	Y	Y	1.0000	0.9473	4	X	 
18	8	Y (Y)	6	Y	Y	0.8785	0.3157	4	X	 
19	7	Y (Y)	6	N	Y	0.8357	0.6842	4	X	 
20	7	Y (Y)	6	N	Y	0.6642	0.9473	3	O	 
21	6	Y (Y)	6	N	Y	0.6500	0.9473	3	O	 
22	6	Y (Y)	6	N	Y	0.5178	1.0000	3	O	 
23	5	Y (Y)	6	Y	Y	1.0000	1.0000	4	X	 
24	5	Y (Y)	6	Y	Y	0.9357	0.8947	4	X	 
25	5	Y (Y)	6	N	Y	0.6785	0.9473	4	X	 
26	5	Y (Y)	6	N	Y	0.6500	0.9473	3	O	 
27	4	Y (Y)	6	N	Y	0.7785	0.9473	4	X	 
28	4	Y (Y)	6	N	Y	0.6357	1.0000	3	O	 
29	4	Y (Y)	6	N	Y	0.6285	0.9473	3	O	 
30	3	Y (Y)	6	Y	Y	0.9285	0.9473	4	X	 
31	3	Y (Y)	6	N	Y	0.6500	0.9473	3	O	 
32	3	Y (Y)	6	N	Y	0.6071	0.9473	3	O	 
33	2	Y (Y)	6	N	Y	0.6857	0.9473	3	O	 
34	1	Y (Y)	6	N	Y	0.7142	0.9473	4	X	 
35	1	Y (Y)	6	N	Y	0.6857	0.9473	3	O	 
36	1	Y (Y)	6	N	Y	0.6571	0.9473	3	O	 
37	1	Y (Y)	6	N	Y	0.6535	0.9736	3	O	 
38	1	Y (Y)	6	N	Y	0.6500	0.9473	3	O	 
