Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
IIE2110-01-00	정보프로그래밍	3	곽주은	화7,8/목8	공A563/공A690	40	55	0 (N)	0	0	0	0	O	36	4	20	8.87
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	20	Y (N)	5	Y	Y	1.0000	0.5000	4	O	 
2	17	N (N)	6	N	Y	0.4246	1.0000	2	O	 
3	15	Y (Y)	5	N	Y	0.5142	0.8947	3	O	 
4	14	Y (Y)	6	N	Y	0.4178	0.8684	2	O	 
5	13	Y (N)	6	N	Y	0.6984	0.8333	3	O	 
6	13	Y (N)	5	N	Y	0.7111	1.0000	3	O	 
7	12	Y (N)	6	N	Y	0.7555	0.7894	4	O	 
8	12	Y (Y)	6	N	Y	0.6857	1.0000	4	O	 
9	12	Y (Y)	6	N	Y	0.5321	0.9473	3	O	 
10	12	Y (Y)	6	N	Y	0.4250	1.0000	2	O	 
11	12	Y (Y)	6	N	Y	0.4178	0.8157	2	O	 
12	11	Y (Y)	5	N	Y	0.6285	0.7894	3	O	 
13	10	Y (Y)	6	Y	Y	0.8500	0.6842	4	O	 
14	10	Y (Y)	6	N	Y	0.5500	0.8684	3	O	 
15	10	Y (Y)	6	N	Y	0.4642	1.0000	2	O	 
16	10	Y (Y)	6	N	Y	0.3214	0.7368	2	O	 
17	10	Y (Y)	6	N	Y	0.2928	1.0000	2	O	 
18	10	Y (Y)	6	N	Y	0.2285	0.9473	2	O	 
19	10	Y (Y)	5	N	Y	0.4142	0.9736	2	O	 
20	10	Y (Y)	5	N	Y	0.2357	0.3684	2	O	 
21	10	N (N)	6	N	Y	0.5000	0.6315	3	O	 
22	10	N (N)	6	N	Y	0.3968	1.0000	2	O	 
23	9	Y (Y)	6	N	Y	0.6750	0.9736	3	O	 
24	9	Y (Y)	6	N	Y	0.6071	0.6315	3	O	 
25	9	Y (Y)	6	N	Y	0.4178	0.8684	2	O	 
26	9	Y (Y)	6	N	Y	0.4107	0.8157	2	O	 
27	9	Y (Y)	6	N	Y	0.3785	0.9210	2	O	 
28	9	Y (Y)	6	N	Y	0.3714	1.0000	2	O	 
29	9	Y (Y)	6	N	Y	0.3642	0.9736	2	O	 
30	8	Y (Y)	6	N	Y	0.4642	0.9736	2	O	 
31	8	Y (Y)	6	N	Y	0.4178	0.9736	2	O	 
32	8	Y (Y)	6	N	Y	0.1428	0.4210	2	O	 
33	8	Y (Y)	5	N	Y	0.8642	0.7894	4	O	 
34	7	Y (Y)	6	N	Y	0.8428	0.9473	4	O	 
35	7	Y (Y)	6	N	Y	0.5250	0.9736	3	O	 
36	7	Y (Y)	6	N	Y	0.3857	0.7894	2	O	 
37	7	Y (Y)	6	N	Y	0.3714	0.9473	2	O	 
38	7	Y (Y)	6	N	Y	0.3500	0.9473	2	O	 
39	7	N (N)	6	Y	Y	0.8785	0.8421	4	O	 
40	6	Y (Y)	6	N	Y	0.8642	0.9473	4	O	 
41	6	Y (N)	6	N	Y	0.7703	0.9473	4	X	 
42	6	Y (Y)	6	N	Y	0.6821	1.0000	3	X	 
43	6	Y (Y)	6	N	Y	0.4107	0.9736	2	X	 
44	6	Y (Y)	6	N	Y	0.4035	1.0000	2	X	 
45	6	Y (Y)	6	N	Y	0.4035	0.8684	2	X	 
46	6	Y (Y)	6	N	Y	0.4035	0.8157	2	X	 
47	6	Y (Y)	6	N	Y	0.2285	0.9473	2	X	 
48	6	Y (Y)	5	N	Y	0.3892	0.8157	2	X	 
49	5	Y (Y)	6	N	Y	0.5000	0.9210	3	X	 
50	5	Y (Y)	6	N	Y	0.4857	0.9736	3	X	 
51	5	Y (Y)	6	N	Y	0.4428	0.8421	3	X	 
52	5	Y (Y)	5	N	Y	0.5500	0.8421	3	X	 
53	5	Y (Y)	5	N	Y	0.3964	0.8157	2	X	 
54	5	Y (Y)	3	Y	Y	0.9357	0.7368	4	X	 
55	4	Y (Y)	6	N	N	0.8571	0.7894	4	X	 
