Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
IIE4105-01-00	생산시스템분석	3	정봉주	월2,3/월2,3,수6	공A215/공A417	30	44	0 (N)	0	0	0	0	O	36	1	25	8.14
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	25	Y (Y)	6	N	Y	0.6928	1.0000	3	O	 
2	21	Y (Y)	6	N	Y	0.6714	1.0000	3	O	 
3	20	Y (N)	5	N	Y	0.7111	1.0000	3	O	 
4	19	Y (Y)	6	N	Y	0.6714	0.8947	3	O	 
5	17	Y (Y)	6	N	Y	0.7071	0.7894	3	O	 
6	17	Y (Y)	6	N	Y	0.6857	1.0000	4	O	 
7	15	Y (Y)	6	N	Y	0.9107	1.0000	4	O	 
8	15	Y (Y)	5	N	Y	0.6714	1.0000	3	O	 
9	14	Y (Y)	6	N	Y	1.0000	0.6842	4	O	 
10	14	Y (Y)	6	N	Y	0.8357	0.9473	4	O	 
11	12	Y (Y)	6	N	Y	0.9142	0.9473	4	O	 
12	12	Y (Y)	6	N	Y	0.6500	0.9473	3	O	 
13	11	Y (Y)	6	N	Y	0.7857	1.0000	4	O	 
14	10	Y (N)	6	Y	Y	0.9111	1.0000	4	O	 
15	10	Y (Y)	6	N	Y	0.8142	0.9473	4	O	 
16	10	Y (Y)	6	N	Y	0.7214	0.7894	4	O	 
17	10	Y (Y)	6	N	Y	0.6500	0.9473	4	O	 
18	9	Y (Y)	6	N	Y	0.8000	0.9473	4	O	 
19	9	Y (Y)	6	N	Y	0.6642	0.8947	3	O	 
20	8	Y (Y)	6	N	Y	0.6571	0.9473	3	O	 
21	7	Y (Y)	6	Y	Y	0.8714	0.7894	4	O	 
22	6	Y (Y)	6	Y	Y	0.9142	1.0000	4	O	 
23	6	Y (Y)	6	N	Y	0.8642	0.9473	4	O	 
24	6	Y (Y)	5	N	Y	0.8642	0.9473	4	O	 
25	6	Y (Y)	4	Y	Y	0.9142	0.9473	4	O	 
26	5	Y (N)	6	Y	Y	0.9629	1.0000	4	O	 
27	5	Y (Y)	6	N	Y	0.7000	1.0000	3	O	 
28	5	Y (Y)	6	N	Y	0.6571	0.8421	3	O	 
29	5	Y (N)	6	N	Y	0.6444	0.8421	3	O	 
30	4	Y (Y)	6	N	Y	0.6428	0.9473	3	O	 
31	4	Y (Y)	6	N	Y	0.5428	0.7894	3	X	 
32	3	Y (Y)	6	N	Y	0.7928	0.9473	4	X	 
33	3	Y (Y)	4	Y	Y	0.9357	1.0000	4	X	 
34	2	Y (N)	6	Y	Y	1.0000	0.6666	4	X	 
35	2	Y (Y)	6	N	Y	0.7428	0.9473	4	X	 
36	2	Y (Y)	6	N	Y	0.7000	0.8947	4	X	 
37	2	Y (N)	6	N	Y	0.5333	1.0000	3	X	 
38	1	Y (N)	6	Y	Y	1.0000	0.8333	4	X	 
39	1	Y (Y)	6	Y	Y	1.0000	0.7368	4	X	 
40	1	Y (Y)	6	N	Y	0.8571	0.7894	4	X	 
41	1	Y (N)	6	N	Y	0.8174	0.8333	4	X	 
42	1	Y (Y)	6	N	Y	0.8000	0.9473	4	X	 
43	1	Y (Y)	6	N	Y	0.6571	0.8421	3	X	 
44	1	Y (Y)	6	N	Y	0.6571	0.8421	3	X	 
