Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
MST2120-01-00	재료수학(2)	3	손알로이시우스	화8,9(수4,5)	공B042(공B017)	35	62	0 (Y)	0	0	0	0	O	36	1	25	6.77
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	25	Y (Y)	4	Y	Y	0.9285	0.5789	4	O	 
2	18	Y (Y)	6	N	Y	0.3785	0.8421	2	O	 
3	15	Y (Y)	6	N	Y	0.4107	0.8157	2	O	 
4	15	Y (Y)	6	N	Y	0.3571	0.6315	2	O	 
5	15	Y (Y)	6	N	Y	0.2428	0.9473	2	O	 
6	14	Y (Y)	5	N	Y	0.3785	0.9473	3	O	 
7	13	Y (Y)	6	N	Y	0.6428	0.6578	3	O	 
8	12	Y (Y)	6	N	Y	0.4571	0.4736	3	O	 
9	11	Y (Y)	6	N	Y	0.4821	0.9736	2	O	 
10	11	Y (Y)	6	N	Y	0.4214	1.0000	2	O	 
11	10	Y (Y)	6	N	Y	0.7142	1.0000	3	O	 
12	10	Y (Y)	6	N	Y	0.6857	0.9473	3	O	 
13	10	Y (Y)	6	N	Y	0.3714	0.9473	2	O	 
14	10	Y (Y)	6	N	Y	0.3714	0.7894	2	O	 
15	10	Y (Y)	6	N	Y	0.3678	0.8157	2	O	 
16	10	Y (Y)	6	N	Y	0.2642	0.6315	2	O	 
17	9	Y (Y)	6	N	Y	0.6750	0.9736	3	O	 
18	8	Y (Y)	6	N	Y	0.4178	0.9736	2	O	 
19	8	Y (Y)	6	N	Y	0.4107	0.9736	2	O	 
20	8	Y (Y)	6	N	Y	0.4107	0.9736	2	O	 
21	8	Y (Y)	6	N	Y	0.4107	0.8157	2	O	 
22	8	Y (Y)	6	N	Y	0.3500	0.9473	2	O	 
23	7	Y (Y)	6	N	Y	0.6535	0.8157	3	O	 
24	7	Y (Y)	6	N	Y	0.4928	0.7894	3	O	 
25	7	Y (Y)	6	N	Y	0.4535	0.9736	2	O	 
26	7	Y (Y)	6	N	Y	0.4285	1.0000	2	O	 
27	6	Y (Y)	6	N	Y	0.6928	0.8421	3	O	 
28	6	Y (Y)	6	N	Y	0.5785	0.9473	3	O	 
29	6	Y (Y)	6	N	Y	0.4142	0.9473	2	O	 
30	6	Y (Y)	6	N	Y	0.4107	0.9736	2	O	 
31	6	Y (Y)	6	N	Y	0.3892	0.8157	2	O	 
32	6	Y (Y)	6	N	Y	0.3857	1.0000	2	O	 
33	6	Y (Y)	5	N	Y	0.6928	0.9473	3	O	 
34	6	N (N)	6	N	Y	0.4142	0.7894	3	O	 
35	5	Y (Y)	6	N	Y	0.6285	0.9473	3	O	 
36	5	Y (Y)	6	N	Y	0.5000	0.9210	3	X	 
37	5	Y (Y)	6	N	Y	0.4178	1.0000	2	X	 
38	5	Y (Y)	6	N	Y	0.4107	0.9736	2	X	 
39	5	Y (Y)	5	N	Y	0.3714	0.7894	3	X	 
40	5	Y (Y)	5	N	Y	0.2571	0.8421	2	X	 
41	4	Y (Y)	6	N	Y	0.6357	0.9473	3	X	 
42	4	Y (Y)	6	N	Y	0.5642	1.0000	3	X	 
43	4	Y (Y)	6	N	Y	0.4285	0.8157	2	X	 
44	4	Y (Y)	6	N	Y	0.3857	0.9736	2	X	 
45	4	Y (Y)	6	N	Y	0.3821	0.9736	2	X	 
46	4	Y (Y)	6	N	Y	0.3642	0.9736	2	X	 
47	3	Y (Y)	6	N	Y	0.6428	0.9473	3	X	 
48	3	Y (Y)	6	N	Y	0.4607	0.9736	2	X	 
49	3	Y (Y)	6	N	Y	0.4392	0.9736	2	X	 
50	3	Y (Y)	6	N	Y	0.4250	0.9736	2	X	 
51	3	Y (Y)	6	N	Y	0.3964	0.9736	2	X	 
52	3	Y (Y)	6	N	Y	0.3892	0.9736	2	X	 
53	3	Y (Y)	6	N	Y	0.3892	0.8157	2	X	 
54	3	Y (Y)	6	N	Y	0.3678	0.9736	2	X	 
55	1	Y (Y)	6	N	Y	0.4428	1.0000	2	X	 
56	1	Y (Y)	6	N	Y	0.4392	0.9736	2	X	 
57	1	Y (Y)	6	N	Y	0.4178	0.9736	2	X	 
58	1	Y (Y)	6	N	Y	0.4178	0.9736	2	X	 
59	1	Y (Y)	6	N	Y	0.4107	0.9736	2	X	 
60	1	Y (Y)	6	N	Y	0.4035	0.9736	2	X	 
61	1	Y (Y)	6	N	Y	0.3714	0.9473	2	X	 
62	1	Y (Y)	6	N	Y	0.3678	0.8157	2	X	 
