Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
MST3420-01-00	재료의기계적성질	3	배동현	수6,금2,3	공B042	50	41	0 (N)	0	0	0	0	X	36	1	18	4.88
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	18	Y (N)	5	Y	Y	1.0000	1.0000	4	O	 
2	15	Y (Y)	6	N	Y	0.6714	0.9473	3	O	 
3	12	Y (Y)	6	N	Y	0.7928	0.9473	4	O	 
4	12	Y (Y)	6	N	Y	0.6285	0.9473	3	O	 
5	12	Y (Y)	6	N	Y	0.5821	0.9473	3	O	 
6	11	Y (Y)	6	N	Y	0.7500	0.9473	4	O	 
7	10	Y (Y)	6	N	Y	0.6214	0.9473	3	O	 
8	9	Y (Y)	6	N	Y	0.7571	0.9473	4	O	 
9	9	Y (Y)	6	N	Y	0.6928	0.9473	3	O	 
10	8	Y (Y)	6	N	Y	0.6714	0.9473	3	O	 
11	7	Y (Y)	6	N	Y	0.7357	0.9473	4	O	 
12	7	Y (Y)	6	N	Y	0.6500	0.9473	3	O	 
13	6	Y (Y)	6	N	Y	0.6500	0.9473	3	O	 
14	5	Y (Y)	6	Y	Y	0.9142	0.9473	4	O	 
15	5	Y (Y)	6	N	Y	0.6678	0.9473	3	O	 
16	5	Y (Y)	6	N	Y	0.6357	1.0000	4	O	 
17	5	Y (Y)	5	N	Y	0.6928	0.8947	4	O	 
18	5	Y (Y)	4	Y	Y	0.9142	0.7894	4	O	 
19	4	Y (Y)	6	Y	Y	0.8928	0.8421	4	O	 
20	4	Y (Y)	6	N	Y	0.6642	1.0000	3	O	 
21	3	Y (Y)	6	Y	Y	0.9500	0.9473	4	O	 
22	3	Y (Y)	6	Y	Y	0.8928	0.9473	4	O	 
23	3	Y (Y)	6	N	Y	0.7642	1.0000	4	O	 
24	2	Y (Y)	6	Y	Y	0.8714	0.9473	4	O	 
25	2	Y (Y)	6	N	Y	0.6642	0.9473	3	O	 
26	2	Y (Y)	6	N	Y	0.6642	0.7894	3	O	 
27	2	Y (Y)	5	Y	Y	0.9071	0.7894	4	O	 
28	1	Y (Y)	6	Y	Y	0.9285	1.0000	4	O	 
29	1	Y (Y)	6	Y	Y	0.9000	0.9473	4	O	 
30	1	Y (Y)	6	Y	Y	0.8714	1.0000	4	O	 
31	1	Y (Y)	6	N	Y	0.7357	0.9473	3	O	 
32	1	Y (Y)	6	N	Y	0.7285	0.8421	3	O	 
33	1	Y (Y)	6	N	Y	0.6785	0.9473	3	O	 
34	1	Y (Y)	6	N	Y	0.6714	0.9473	3	O	 
35	1	Y (Y)	6	N	Y	0.6714	0.9473	3	O	 
36	1	Y (Y)	6	N	Y	0.6642	1.0000	3	O	 
37	1	Y (Y)	6	N	Y	0.6142	0.9473	3	O	 
38	1	Y (Y)	6	N	Y	0.5928	0.9473	4	O	 
39	1	Y (Y)	5	Y	Y	0.9428	0.9473	4	O	 
40	1	Y (Y)	5	Y	Y	0.9000	0.9473	4	O	 
41	1	Y (Y)	4	N	Y	0.6714	0.7894	4	O	 
