Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
EEE3310-02-00	제어공학	3	김학배	월6,7,수5	공D603	90	42	90 (Y)	0	0	70	20	O	36	1	22	7.12
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	22	Y (Y)	6	N	Y	0.6142	0.7894	3	O	 
2	21	Y (Y)	6	N	Y	0.6071	1.0000	3	O	 
3	20	Y (Y)	6	N	Y	0.6357	1.0000	3	O	 
4	17	Y (Y)	6	N	Y	0.5285	0.9473	4	O	 
5	16	Y (Y)	6	N	Y	0.6500	0.8947	3	O	 
6	15	Y (Y)	6	N	Y	0.6857	0.9473	3	O	 
7	15	Y (Y)	4	N	Y	0.7333	0.8421	4	O	 
8	13	Y (Y)	6	N	Y	0.6357	0.7894	3	O	 
9	12	Y (Y)	6	N	Y	0.5857	0.9473	4	O	 
10	12	Y (Y)	6	N	Y	0.5071	0.7894	3	O	 
11	10	Y (Y)	6	N	Y	0.6928	0.9473	3	O	 
12	10	Y (Y)	6	N	Y	0.6750	0.9736	3	O	 
13	10	Y (Y)	6	N	Y	0.6500	1.0000	3	O	 
14	10	Y (Y)	6	N	N	0.9214	1.0000	4	O	 
15	10	Y (Y)	4	N	Y	0.7285	0.8421	4	O	 
16	9	Y (Y)	6	N	Y	0.6500	0.6315	3	O	 
17	9	Y (Y)	6	N	Y	0.6428	0.9473	3	O	 
18	8	Y (Y)	6	N	Y	0.6500	1.0000	3	O	 
19	6	Y (Y)	6	Y	Y	0.8642	0.9473	4	O	 
20	5	Y (Y)	6	N	Y	0.7642	0.7894	4	O	 
21	5	Y (Y)	6	N	Y	0.6571	0.8421	3	O	 
22	5	Y (Y)	6	N	N	0.8285	0.8421	4	O	 
23	5	Y (Y)	4	N	N	0.9928	1.0000	4	O	 
24	4	Y (Y)	6	N	Y	0.6928	0.9473	3	O	 
25	4	Y (Y)	6	N	Y	0.6714	0.9473	3	O	 
26	3	Y (Y)	6	N	Y	0.5642	0.9473	3	O	 
27	2	Y (Y)	6	N	Y	0.6714	0.7894	3	O	 
28	2	Y (Y)	6	N	Y	0.6642	0.9473	3	O	 
29	2	Y (Y)	6	N	Y	0.6392	0.9736	3	O	 
30	2	Y (Y)	6	N	Y	0.6285	0.9473	3	O	 
31	2	Y (Y)	6	N	Y	0.6285	0.9473	3	O	 
32	2	Y (Y)	6	N	Y	0.5678	0.6315	3	O	 
33	2	Y (Y)	6	N	Y	0.5214	0.6315	3	O	 
34	1	Y (Y)	6	N	Y	0.7214	1.0000	3	O	 
35	1	Y (Y)	6	N	Y	0.6857	1.0000	3	O	 
36	1	Y (Y)	6	N	Y	0.6500	0.9473	3	O	 
37	1	Y (Y)	6	N	Y	0.6428	1.0000	3	O	 
38	1	Y (Y)	6	N	Y	0.6285	0.9473	3	O	 
39	1	Y (Y)	6	N	Y	0.6285	0.9473	3	O	 
40	1	Y (Y)	6	N	Y	0.6142	0.7894	3	O	 
41	1	Y (Y)	6	N	Y	0.5571	0.8157	3	O	 
42	1	Y (Y)	6	N	Y	0.5214	0.9473	3	O	 
