Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
CSI3105-02-00	데이터베이스	3	박상현	화6,목2,3	공D504	60	50	30 (Y)	0	0	0	0	O	36	1	36	12.7
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	N (N)	3	N	Y	1.0000	0.3157	4	O	 
2	30	Y (Y)	5	N	Y	0.7703	0.7894	4	O	 
3	25	Y (Y)	6	N	Y	0.8074	0.8421	4	O	 
4	25	Y (Y)	4	N	Y	0.8444	0.4736	4	O	 
5	24	Y (Y)	4	Y	Y	1.0000	0.9444	4	O	 
6	24	N (N)	3	Y	Y	0.9285	0.6666	4	O	 
7	23	Y (Y)	4	Y	Y	1.0000	1.0000	4	O	 
8	23	N (N)	5	N	Y	0.4603	0.6666	3	O	 
9	21	Y (Y)	5	N	Y	0.8888	0.6666	4	O	 
10	20	Y (Y)	4	N	Y	0.8095	0.6666	4	O	 
11	20	Y (Y)	4	N	N	0.8333	0.8333	4	O	 
12	18	Y (Y)	6	N	Y	0.7202	1.0000	3	O	 
13	18	Y (Y)	6	N	Y	0.6984	0.8333	3	O	 
14	16	Y (Y)	6	N	Y	0.6444	0.9473	3	O	 
15	16	N (N)	6	N	Y	0.8571	1.0000	4	O	 
16	15	Y (Y)	6	N	Y	0.9107	1.0000	4	O	 
17	15	N (N)	6	N	Y	0.7629	0.7894	4	O	 
18	14	Y (Y)	6	N	Y	0.7420	1.0000	3	O	 
19	14	Y (Y)	6	N	Y	0.5851	0.9210	3	O	 
20	14	Y (Y)	5	N	Y	0.8571	0.6666	4	O	 
21	13	Y (Y)	6	N	Y	0.6592	0.9473	3	O	 
22	13	Y (Y)	5	N	Y	0.9642	1.0000	4	O	 
23	13	Y (Y)	5	N	Y	0.9555	0.8421	4	O	 
24	12	Y (Y)	6	N	Y	0.9851	0.9473	4	O	 
25	12	Y (Y)	6	N	Y	0.8444	0.8947	4	O	 
26	12	Y (Y)	6	N	Y	0.7925	1.0000	4	O	 
27	11	Y (Y)	6	N	Y	1.0000	1.0000	4	O	 
28	11	Y (Y)	6	N	Y	0.6666	1.0000	3	O	 
29	11	N (N)	6	N	Y	0.3814	0.6578	2	O	 
30	10	Y (Y)	6	Y	Y	1.0000	1.0000	4	O	 
31	10	Y (Y)	6	N	Y	0.9841	1.0000	4	O	 
32	10	Y (Y)	6	N	Y	0.5793	0.7777	3	O	 
33	10	N (N)	6	Y	Y	1.0000	0.4444	4	O	 
34	10	N (N)	6	N	Y	0.8287	1.0000	4	O	 
35	8	Y (Y)	6	N	Y	0.6296	1.0000	4	O	 
36	7	Y (Y)	6	Y	Y	0.8809	1.0000	4	O	 
37	6	Y (Y)	6	N	Y	0.8253	1.0000	4	O	 
38	6	N (N)	6	N	Y	0.7777	0.8333	4	O	 
39	5	Y (Y)	6	N	Y	0.8888	1.0000	4	O	 
40	5	Y (Y)	6	N	Y	0.6444	0.7894	3	O	 
41	5	N (N)	6	N	Y	0.5634	0.8333	4	O	 
42	4	Y (Y)	6	Y	Y	0.9682	0.8333	4	O	 
43	4	Y (Y)	6	N	Y	0.5892	1.0000	3	O	 
44	4	Y (Y)	6	N	Y	0.5500	0.9473	3	O	 
45	4	Y (Y)	6	N	Y	0.3814	0.9736	2	O	 
46	3	Y (Y)	5	N	Y	0.9047	1.0000	4	O	 
47	2	N (N)	6	N	Y	0.7259	0.8947	4	O	 
48	1	Y (Y)	6	N	Y	0.4484	0.6944	2	O	 
49	1	N (N)	6	N	Y	0.6904	1.0000	3	O	 
50	1	N (N)	6	N	Y	0.6148	0.9473	3	O	 
