Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
DAA2240-01-00	공업분석화학	3	장재형	수8,9/목2(목3)	공B038/공D403(공D403)	60	100	0 (N)	0	0	0	0	O	36	1	32	14.86
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	32	Y (Y)	6	N	Y	0.6500	0.7894	4	O	 
2	28	Y (Y)	6	N	Y	0.6964	1.0000	3	O	 
3	28	Y (Y)	6	N	Y	0.4142	0.9473	2	O	 
4	27	Y (Y)	6	Y	Y	0.9142	1.0000	4	O	 
5	26	Y (Y)	6	N	Y	0.8071	0.9473	4	O	* 
6	26	Y (Y)	6	Y	Y	0.8714	1.0000	4	O	 
7	25	Y (Y)	6	N	Y	0.4392	1.0000	2	O	 
8	25	Y (Y)	6	N	Y	0.4071	0.9473	2	O	 
9	25	Y (Y)	6	N	Y	0.3892	0.9736	2	O	 
10	25	Y (Y)	5	Y	Y	0.9071	0.9473	4	O	 
11	24	Y (Y)	6	N	Y	0.6571	0.9473	3	O	 
12	23	Y (Y)	6	N	Y	0.6571	0.9473	3	O	 
13	22	Y (Y)	6	N	Y	0.3928	0.9473	2	O	 
14	21	Y (Y)	6	N	Y	0.5357	0.8157	3	O	 
15	21	Y (Y)	5	N	Y	0.3464	0.6578	2	O	 
16	20	Y (Y)	6	N	Y	0.6928	1.0000	3	O	 
17	20	Y (Y)	6	N	Y	0.5285	1.0000	3	O	 
18	20	Y (Y)	6	N	Y	0.4321	0.9736	2	O	 
19	20	Y (Y)	6	N	Y	0.4107	0.9736	2	O	 
20	20	Y (Y)	6	N	Y	0.3642	1.0000	2	O	 
21	20	Y (Y)	5	Y	Y	0.8857	0.8421	4	O	 
22	19	Y (Y)	6	N	Y	0.6535	0.8421	3	O	 
23	19	Y (Y)	6	N	Y	0.6428	0.9473	3	O	 
24	18	Y (Y)	6	N	Y	0.6714	0.9473	3	O	 
25	18	Y (Y)	6	N	Y	0.6357	0.8421	3	O	 
26	18	Y (Y)	6	N	Y	0.4107	0.9736	2	O	 
27	18	Y (Y)	5	N	Y	0.4035	0.9210	2	O	 
28	17	Y (Y)	6	N	Y	0.6714	0.9473	3	O	 
29	17	Y (Y)	6	N	Y	0.6428	1.0000	3	O	 
