Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
DAA3750-01-00	분리정제공정	3	함승주	월8,수6,7(월9)	공B038(공B038)	60	48	0 (N)	0	0	0	60	O	36	1	36	12.85
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	Y (Y)	4	Y	Y	1.0000	0.6315	4	O	 
2	36	Y (Y)	3	Y	Y	0.9357	0.9473	4	O	 
3	36	Y (Y)	2	Y	Y	0.9928	1.0000	4	O	 
4	36	Y (Y)	1	N	Y	1.0000	0.7894	4	O	 
5	35	Y (Y)	4	N	Y	0.8928	0.8947	4	O	 
6	30	Y (Y)	6	N	Y	0.7071	1.0000	4	O	 
7	25	Y (Y)	3	N	Y	0.9428	1.0000	4	O	 
8	20	Y (Y)	4	Y	Y	0.9571	1.0000	4	O	 
9	19	Y (Y)	4	Y	Y	0.9142	0.9473	4	O	 
10	18	Y (Y)	4	Y	Y	0.9285	0.9473	4	O	 
11	17	Y (N)	6	N	Y	0.9444	0.9473	4	O	 
12	16	Y (N)	6	N	N	1.0000	0.7894	4	O	 
13	16	Y (Y)	5	Y	Y	0.9214	0.9473	4	O	 
14	15	Y (Y)	6	Y	Y	0.9142	1.0000	4	O	 
15	15	Y (N)	6	N	Y	0.9357	0.8333	4	O	 
16	15	Y (Y)	5	Y	Y	0.8857	0.8421	4	O	 
17	14	Y (Y)	6	N	Y	0.8571	0.7894	4	O	 
18	13	Y (Y)	6	N	Y	0.8642	0.8421	4	O	 
19	12	Y (Y)	6	Y	Y	1.0000	1.0000	4	O	 
20	12	N (N)	6	Y	Y	0.9047	0.7894	4	O	 
21	11	Y (Y)	6	Y	Y	0.9142	1.0000	4	O	 
22	11	Y (Y)	5	Y	Y	0.9214	0.7894	4	O	 
23	10	Y (Y)	6	Y	Y	0.9714	0.9473	4	O	 
24	10	Y (Y)	6	Y	Y	0.9142	0.9473	4	O	 
25	10	Y (Y)	6	Y	Y	0.8857	0.9473	4	O	 
26	10	Y (Y)	6	Y	Y	0.8785	0.9473	4	O	 
27	10	Y (Y)	6	N	Y	0.9464	0.9473	4	O	 
28	10	Y (Y)	6	N	Y	0.7714	0.7894	4	O	 
29	10	Y (Y)	4	Y	Y	0.9214	0.8947	4	O	 
30	8	Y (Y)	5	Y	Y	0.8857	1.0000	4	O	 
31	7	Y (Y)	6	Y	Y	0.8714	1.0000	4	O	 
32	7	Y (Y)	6	Y	Y	0.8714	0.9473	4	O	 
33	7	Y (Y)	6	N	Y	0.8571	0.7894	4	O	 
34	7	Y (Y)	6	N	Y	0.7071	0.7894	4	O	 
35	6	Y (Y)	6	Y	Y	0.9214	0.9473	4	O	 
36	6	Y (Y)	6	Y	Y	0.9142	0.9473	4	O	 
37	6	Y (Y)	6	Y	Y	0.9071	1.0000	4	O	 
38	6	Y (Y)	6	N	Y	0.9571	0.9473	4	O	 
39	6	Y (Y)	6	N	Y	0.9285	0.8421	4	O	 
40	5	Y (Y)	6	Y	Y	0.9642	1.0000	4	O	 
41	5	Y (Y)	6	Y	Y	0.9642	0.9473	4	O	 
42	5	Y (Y)	6	N	Y	0.7714	0.9473	4	O	 
43	3	Y (Y)	5	Y	Y	0.9071	0.9473	4	O	 
44	1	Y (Y)	6	Y	Y	1.0000	0.3157	4	O	 
45	1	Y (Y)	6	Y	Y	0.9571	1.0000	4	O	 
46	1	Y (Y)	6	Y	Y	0.8785	0.9473	4	O	 
47	1	Y (Y)	6	Y	Y	0.8785	0.8947	4	O	 
48	1	Y (Y)	5	Y	Y	0.9714	0.7894	4	O	 
