Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
PED3210-01-00	체육교과교육과정및평가	3	이한주	목3,4,11/목3,4,11	스포츠302/체육관	80	58	0 (N)	0	0	0	0	O	36	1	20	3.64
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	20	Y (Y)	1	Y	Y	0.8968	0.3333	4	O	 
2	15	Y (Y)	6	N	Y	0.6071	0.8333	3	O	 
3	15	Y (Y)	6	N	Y	0.3253	0.2500	3	O	 
4	10	Y (Y)	6	N	Y	0.8253	0.3888	4	O	 
5	10	Y (Y)	6	N	Y	0.4523	0.9444	3	O	 
6	9	Y (Y)	6	N	Y	0.6666	0.8888	3	O	 
7	9	Y (Y)	5	N	Y	0.8174	0.7222	4	O	 
8	8	Y (Y)	6	Y	Y	0.9047	0.9444	4	O	 
9	8	Y (Y)	6	N	Y	0.6984	1.0000	3	O	 
10	8	Y (Y)	6	N	Y	0.6666	0.9722	3	O	 
11	8	Y (Y)	6	N	Y	0.5317	0.7777	3	O	 
12	8	Y (Y)	6	N	Y	0.2698	0.1666	3	O	 
13	5	Y (Y)	6	Y	Y	0.8730	1.0000	4	O	 
14	5	Y (Y)	6	N	Y	0.5873	1.0000	3	O	 
15	5	Y (Y)	6	N	Y	0.5277	1.0000	3	O	 
16	5	Y (Y)	4	N	N	0.8968	0.6666	4	O	 
17	5	N (N)	6	N	Y	0.5277	0.9722	3	O	 
18	3	Y (Y)	6	N	Y	0.8253	1.0000	4	O	 
19	3	Y (Y)	6	N	Y	0.6904	1.0000	3	O	 
20	3	Y (Y)	6	N	Y	0.6626	0.8611	3	O	 
21	3	Y (Y)	2	N	N	0.7539	0.5555	4	O	 
22	2	Y (Y)	6	N	Y	0.8730	0.8888	4	O	 
23	2	Y (Y)	6	N	Y	0.7103	1.0000	3	O	 
24	2	Y (Y)	6	N	Y	0.7063	1.0000	3	O	 
25	2	Y (Y)	6	N	Y	0.7063	1.0000	3	O	 
26	2	Y (Y)	6	N	Y	0.6746	1.0000	3	O	 
27	2	Y (Y)	6	N	Y	0.6547	0.8333	3	O	 
28	2	Y (Y)	6	N	Y	0.6349	0.9444	3	O	 
29	2	Y (Y)	6	N	Y	0.6309	0.7222	3	O	 
30	2	Y (Y)	6	N	Y	0.4523	0.7777	3	O	 
31	1	Y (Y)	6	Y	Y	1.0000	1.0000	4	O	 
32	1	Y (Y)	6	Y	Y	0.9285	0.8888	4	O	 
33	1	Y (Y)	6	N	Y	0.7222	0.9444	4	O	 
34	1	Y (Y)	6	N	Y	0.7142	1.0000	3	O	 
35	1	Y (Y)	6	N	Y	0.7142	1.0000	3	O	 
36	1	Y (Y)	6	N	Y	0.7063	1.0000	3	O	 
37	1	Y (Y)	6	N	Y	0.7063	0.9166	3	O	 
38	1	Y (Y)	6	N	Y	0.6904	1.0000	3	O	 
39	1	Y (Y)	6	N	Y	0.6904	1.0000	3	O	 
40	1	Y (Y)	6	N	Y	0.6825	1.0000	3	O	 
41	1	Y (Y)	6	N	Y	0.6825	1.0000	3	O	 
42	1	Y (Y)	6	N	Y	0.6825	1.0000	3	O	 
43	1	Y (Y)	6	N	Y	0.6746	1.0000	3	O	 
44	1	Y (Y)	6	N	Y	0.6746	0.9444	3	O	 
45	1	Y (Y)	6	N	Y	0.6746	0.9166	3	O	 
46	1	Y (Y)	6	N	Y	0.6706	1.0000	3	O	 
47	1	Y (Y)	6	N	Y	0.6706	0.9166	3	O	 
48	1	Y (Y)	6	N	Y	0.6666	0.9722	3	O	 
49	1	Y (Y)	6	N	Y	0.6587	0.9444	3	O	 
50	1	Y (Y)	6	N	Y	0.6587	0.8888	3	O	 
51	1	Y (Y)	6	N	Y	0.6388	0.8611	3	O	 
52	1	Y (Y)	6	N	Y	0.6230	1.0000	3	O	 
53	1	Y (Y)	6	N	Y	0.6230	0.6666	3	O	 
54	1	Y (Y)	6	N	Y	0.5634	1.0000	3	O	 
55	1	Y (Y)	5	N	Y	0.7301	1.0000	3	O	 
56	1	Y (Y)	5	N	Y	0.6865	0.9444	3	O	 
57	1	N (N)	6	N	Y	0.8095	1.0000	4	O	 
58	1	N (N)	6	N	Y	0.7777	0.6666	4	O	 
