Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
GIC3304-01-00	남북한관계와국제정치	3	허재영	화4,목5,6	상본B121	40	50	40 (N)	0	15	25	0	X	36	1	31	11.54
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	31	Y (Y)	6	N	Y	0.5158	0.8611	3	O	 
2	25	Y (Y)	6	N	Y	0.5753	1.0000	3	O	 
3	25	Y (Y)	5	N	Y	0.5238	0.8611	3	O	 
4	24	Y (Y)	6	N	Y	0.3809	0.7777	2	O	 
5	20	Y (Y)	6	N	Y	0.6190	0.8888	3	O	 
6	20	Y (Y)	6	N	Y	0.4642	1.0000	2	O	 
7	20	Y (Y)	5	N	Y	0.6666	0.8333	3	O	 
8	20	Y (Y)	5	N	Y	0.5476	0.8055	3	O	 
9	19	Y (Y)	5	N	Y	0.3690	0.8611	2	O	 
10	18	Y (Y)	6	N	Y	0.6031	1.0000	3	O	 
11	18	Y (Y)	6	N	Y	0.5555	0.9722	3	O	 
12	18	Y (Y)	6	N	Y	0.4484	0.6944	2	O	 
13	18	Y (Y)	5	N	Y	0.3571	0.8055	2	O	 
14	15	Y (Y)	6	N	Y	0.4166	0.9166	2	O	 
15	15	Y (Y)	5	N	Y	0.7539	1.0000	3	O	 
16	15	Y (Y)	5	N	Y	0.6587	0.8333	3	O	 
17	15	Y (Y)	5	N	Y	0.6507	0.8611	3	O	 
18	14	Y (Y)	6	N	Y	0.4007	0.8611	2	O	 
19	12	Y (Y)	6	N	Y	0.6587	1.0000	3	O	 
20	12	Y (Y)	6	N	Y	0.4880	0.9722	3	O	 
21	12	Y (Y)	6	N	Y	0.4880	0.9722	3	O	 
22	12	Y (Y)	5	N	Y	0.4404	0.9166	2	O	 
23	11	Y (Y)	6	N	Y	0.3253	0.8055	3	O	 
24	10	Y (Y)	6	N	Y	0.6904	0.8333	3	O	 
25	10	Y (Y)	6	N	Y	0.6746	0.8333	3	O	 
26	10	Y (Y)	6	N	Y	0.6428	1.0000	3	O	 
27	10	Y (Y)	6	N	Y	0.4484	0.9722	2	O	 
28	10	Y (Y)	5	N	Y	0.2936	0.8333	3	O	 
29	9	Y (Y)	6	N	Y	0.6111	0.8333	3	O	 
30	9	Y (Y)	6	N	Y	0.4206	0.8611	3	O	 
31	9	Y (Y)	6	N	Y	0.3333	0.8611	3	O	 
32	9	Y (Y)	6	N	Y	0.2976	0.9722	2	O	 
33	9	Y (Y)	5	N	Y	0.5238	0.8611	3	O	 
34	8	Y (Y)	6	N	Y	0.5119	0.8333	3	O	 
35	7	Y (Y)	6	N	Y	0.6507	0.9444	3	O	 
36	7	Y (Y)	6	N	Y	0.5515	0.6666	3	X	 
37	7	Y (Y)	6	N	Y	0.5357	0.9722	3	X	 
38	7	Y (Y)	6	N	Y	0.4722	0.8611	3	X	 
39	6	Y (Y)	6	N	Y	0.5436	1.0000	3	X	 
40	5	Y (Y)	6	N	Y	0.6904	1.0000	3	X	 
41	5	Y (Y)	6	N	Y	0.6825	0.8888	3	X	 
42	5	Y (Y)	6	N	Y	0.4126	0.6666	3	X	 
43	3	Y (Y)	6	N	Y	0.6984	1.0000	3	X	 
44	3	Y (Y)	6	N	Y	0.5793	1.0000	3	X	 
45	3	Y (Y)	6	N	Y	0.4404	1.0000	3	X	 
46	2	Y (Y)	6	N	Y	0.7063	1.0000	3	X	 
47	2	Y (Y)	6	N	Y	0.6507	0.8333	3	X	 
48	1	Y (Y)	6	N	Y	0.7063	0.8333	3	X	 
49	1	Y (Y)	6	N	Y	0.6428	0.9444	3	X	 
50	1	Y (Y)	6	N	Y	0.4047	0.8611	3	X	 
