Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
GIC4301-01-00	국제개발협력의이해와적용	3	허재영	화7,목8,9	상본335	30	33	30 (N)	0	10	20	0	X	36	1	29	8.55
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	29	Y (Y)	6	N	Y	0.5158	0.8611	3	O	 
2	22	Y (Y)	6	N	Y	0.6190	0.8888	3	O	 
3	16	Y (Y)	6	N	Y	0.5555	0.9722	3	O	 
4	15	Y (Y)	6	N	Y	0.6031	1.0000	3	O	 
5	15	Y (Y)	5	N	Y	0.7539	1.0000	3	O	 
6	15	Y (Y)	5	N	Y	0.6587	0.8333	3	O	 
7	14	Y (Y)	5	N	Y	0.6230	0.8611	3	O	 
8	12	Y (Y)	6	N	Y	0.4880	0.9722	3	O	 
9	12	Y (Y)	6	N	Y	0.4047	0.8611	2	O	 
10	12	Y (Y)	6	N	Y	0.3253	0.8055	3	O	 
11	11	Y (Y)	6	N	Y	0.4880	0.9722	3	O	 
12	9	Y (Y)	6	N	Y	0.6428	1.0000	3	O	 
13	8	Y (Y)	5	N	Y	0.5238	0.8611	3	O	 
14	7	Y (Y)	6	N	Y	0.6507	0.9444	3	O	 
15	7	Y (Y)	6	N	Y	0.5515	0.6666	3	O	 
16	7	Y (Y)	6	N	Y	0.5357	0.9722	3	O	 
17	7	Y (Y)	6	N	Y	0.4206	0.8611	3	O	 
18	7	Y (Y)	6	N	Y	0.4206	0.7500	3	O	 
19	7	Y (Y)	6	N	Y	0.3333	0.8611	3	O	 
20	7	Y (Y)	6	N	Y	0.2103	0.5555	2	O	 
21	6	Y (Y)	6	N	Y	0.6944	0.8333	3	O	 
22	5	Y (Y)	6	N	Y	0.6904	1.0000	3	O	 
23	5	Y (Y)	6	N	Y	0.4126	0.6666	3	X	 
24	4	Y (Y)	6	N	Y	0.7222	1.0000	3	X	 
25	4	Y (Y)	6	N	Y	0.6031	1.0000	3	X	 
26	4	Y (Y)	6	N	Y	0.4484	1.0000	2	O	 
27	4	Y (Y)	6	N	Y	0.4087	0.8611	2	O	 
28	4	Y (Y)	5	N	Y	0.5317	0.8611	3	X	 
29	2	Y (Y)	6	N	Y	0.7063	1.0000	3	X	 
30	2	Y (Y)	6	N	Y	0.6507	0.8333	3	X	 
31	1	Y (Y)	6	N	Y	0.7460	0.8055	3	X	 
32	1	Y (Y)	6	N	Y	0.7063	0.8333	3	X	 
33	1	Y (Y)	6	N	Y	0.5793	1.0000	3	X	 
