Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
LIS3304-01-00	도서관정보센터경영의실제	3	김기영	수5,금5,6	위416	40	43	0 (N)	0	0	0	0	O	36	1	24	5.74
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	24	Y (Y)	5	N	Y	0.5407	0.8157	3	O	 
2	19	Y (Y)	4	N	Y	0.4555	0.7894	3	O	 
3	16	N (N)	5	N	Y	0.6805	0.9210	3	O	 
4	15	Y (Y)	6	N	Y	0.7555	0.9473	4	O	 
5	15	Y (Y)	5	N	Y	0.2814	0.6315	2	O	 
6	12	Y (N)	6	N	Y	0.6814	0.9473	3	O	 
7	10	Y (Y)	6	N	Y	0.6148	0.4736	4	O	 
8	10	Y (Y)	6	N	Y	0.4185	0.9736	2	O	 
9	10	Y (Y)	6	N	Y	0.3888	0.9736	2	O	 
10	9	Y (Y)	5	Y	Y	0.9222	0.7894	4	O	 
11	8	Y (Y)	6	N	Y	0.6148	0.7894	3	O	 
12	8	Y (Y)	6	N	Y	0.4333	0.8157	2	O	 
13	7	Y (Y)	6	N	Y	0.3962	0.8157	2	O	 
14	6	Y (Y)	6	N	Y	0.6592	0.9473	4	O	 
15	6	Y (Y)	6	N	Y	0.4037	0.9736	2	O	 
16	6	N (N)	6	N	Y	0.4285	0.8333	2	O	 
17	5	Y (Y)	6	N	Y	0.6074	0.6315	3	O	 
18	5	Y (Y)	6	N	Y	0.4777	0.9736	2	O	 
19	5	Y (Y)	6	N	Y	0.4222	0.7894	2	O	 
20	5	Y (Y)	6	N	Y	0.4185	0.9736	2	O	 
21	3	Y (Y)	6	N	Y	0.8222	0.8421	4	O	 
22	3	Y (Y)	6	N	Y	0.6592	0.7894	4	O	 
23	3	Y (N)	6	N	Y	0.6444	1.0000	3	O	 
24	3	Y (Y)	6	N	Y	0.4333	0.8684	2	O	 
25	3	Y (Y)	6	N	Y	0.4185	0.9210	2	O	 
26	3	Y (Y)	6	N	Y	0.4037	0.8157	2	O	 
27	3	Y (Y)	6	N	Y	0.3777	0.9473	2	O	 
28	3	Y (Y)	6	N	Y	0.3629	0.7894	2	O	 
29	3	N (N)	6	N	Y	0.6428	1.0000	3	O	 
30	2	Y (Y)	6	Y	Y	0.8444	0.9473	4	O	 
31	2	Y (Y)	6	N	Y	0.6111	0.7894	3	O	 
32	2	Y (Y)	6	N	Y	0.4185	0.9736	2	O	 
33	2	Y (Y)	6	N	Y	0.4185	0.8684	2	O	 
34	2	Y (Y)	6	N	Y	0.3962	0.8157	2	O	 
35	1	Y (Y)	6	Y	Y	1.0000	1.0000	4	O	 
36	1	Y (Y)	6	N	Y	0.7851	0.9473	4	O	 
37	1	Y (Y)	6	N	Y	0.7481	0.7894	4	O	 
38	1	Y (Y)	6	N	Y	0.6296	0.6315	4	O	 
39	1	Y (Y)	6	N	Y	0.6000	0.7894	3	O	 
40	1	Y (Y)	6	N	Y	0.5777	0.6842	4	O	 
41	1	Y (Y)	6	N	Y	0.4185	0.9736	2	X	 
42	1	Y (Y)	6	N	Y	0.3814	0.8157	2	X	 
43	1	N (N)	6	N	Y	0.4206	1.0000	2	X	 
