Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
PSY4121-01-00	성격심리학	3	서은국	화7,목8,9	외110	100	154	70 (N)	15	15	30	40	O	12	1	12	11.64
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	12	Y (N)	6	Y	Y	1.0000	1.0000	4	O	 
2	12	Y (N)	6	Y	Y	1.0000	1.0000	4	O	 
3	12	Y (N)	6	Y	Y	1.0000	0.6666	4	O	 
4	12	Y (Y)	6	Y	Y	0.9555	0.8421	4	O	 
5	12	Y (N)	6	Y	Y	0.9444	0.8333	4	O	 
6	12	Y (N)	6	Y	Y	0.9285	1.0000	4	O	 
7	12	Y (Y)	6	Y	Y	0.9185	1.0000	4	O	 
8	12	Y (N)	6	Y	Y	0.8809	1.0000	4	O	 
9	12	Y (N)	6	Y	Y	0.8785	0.8333	4	O	 
10	12	Y (N)	6	Y	Y	0.7703	0.7894	4	O	 
11	12	Y (Y)	6	Y	Y	0.7333	0.9473	4	O	 
12	12	Y (N)	6	N	Y	1.0000	1.0000	4	O	 
13	12	Y (Y)	6	N	Y	0.9185	0.9473	4	O	 
14	12	Y (N)	6	N	Y	0.8809	0.8333	4	O	 
15	12	Y (N)	6	N	Y	0.8518	0.7894	4	O	 
16	12	Y (N)	6	N	Y	0.8509	0.9473	4	O	 
17	12	Y (N)	6	N	Y	0.8392	0.8333	4	O	 
18	12	Y (N)	6	N	Y	0.8296	1.0000	4	O	 
19	12	Y (N)	6	N	Y	0.8222	0.7894	4	O	 
20	12	Y (N)	6	N	Y	0.8148	1.0000	4	O	 
21	12	Y (N)	6	N	Y	0.7925	0.9473	4	O	 
22	12	Y (N)	6	N	Y	0.7777	1.0000	4	O	 
23	12	Y (N)	6	N	Y	0.7777	1.0000	4	O	 
24	12	Y (N)	6	N	Y	0.7777	0.9444	3	O	 
25	12	Y (Y)	6	N	Y	0.7481	1.0000	4	O	 
26	12	Y (Y)	6	N	Y	0.7444	0.7894	4	O	 
27	12	Y (N)	6	N	Y	0.7222	1.0000	3	O	 
28	12	Y (Y)	6	N	Y	0.7185	0.8421	4	O	 
29	12	Y (Y)	6	N	Y	0.7111	1.0000	3	O	 
30	12	Y (Y)	6	N	Y	0.7111	1.0000	4	O	 
31	12	Y (N)	6	N	Y	0.6984	1.0000	3	O	 
32	12	Y (N)	6	N	Y	0.6984	0.8333	3	O	 
33	12	Y (Y)	6	N	Y	0.6962	1.0000	3	O	 
34	12	Y (N)	6	N	Y	0.6904	0.8333	4	O	 
35	12	Y (Y)	6	N	Y	0.6879	1.0000	3	O	 
36	12	Y (N)	6	N	Y	0.6825	1.0000	3	O	 
37	12	Y (N)	6	N	Y	0.6825	1.0000	3	O	 
38	12	Y (Y)	6	N	Y	0.6814	0.9473	3	O	 
39	12	Y (N)	6	N	Y	0.6518	0.7894	3	O	 
40	12	Y (N)	6	N	Y	0.6507	0.8888	4	O	 
41	12	Y (N)	6	N	Y	0.6507	0.8333	3	O	 
42	12	Y (Y)	6	N	Y	0.6444	0.9473	3	O	 
43	12	Y (Y)	6	N	Y	0.6444	0.9210	3	O	 
44	12	Y (N)	6	N	Y	0.6349	0.9444	3	O	 
45	12	Y (Y)	6	N	Y	0.6333	0.7894	3	O	 
46	12	Y (Y)	6	N	Y	0.6333	0.7894	3	O	 
47	12	Y (Y)	6	N	Y	0.6296	0.9473	3	O	 
48	12	Y (Y)	6	N	Y	0.6222	0.6315	3	O	 
49	12	Y (Y)	6	N	Y	0.6148	0.7894	3	O	 
50	12	Y (Y)	6	N	Y	0.5851	0.9473	4	O	 
51	12	Y (N)	6	N	Y	0.5753	0.8333	3	X	 
52	12	Y (Y)	6	N	Y	0.5740	0.8157	3	O	 
53	12	Y (Y)	6	N	Y	0.5555	0.4736	3	O	 
54	12	Y (Y)	6	N	Y	0.5333	0.9473	3	O	 
55	12	Y (Y)	6	N	Y	0.5259	0.9210	3	O	 
56	12	Y (Y)	6	N	Y	0.5185	0.9473	3	O	 
57	12	Y (Y)	6	N	Y	0.5185	0.8157	3	O	 
58	12	Y (Y)	6	N	Y	0.5037	1.0000	3	O	 
59	12	Y (Y)	6	N	Y	0.4962	0.9473	3	O	 
60	12	Y (Y)	6	N	Y	0.4962	0.8157	3	O	 
61	12	Y (Y)	6	N	Y	0.4925	0.8157	3	O	 
62	12	Y (Y)	6	N	Y	0.4925	0.7894	3	X	 
63	12	Y (Y)	6	N	Y	0.4888	1.0000	3	X	 
64	12	Y (N)	6	N	Y	0.4642	0.9722	2	X	 
65	12	Y (Y)	6	N	Y	0.4555	0.9736	2	O	 
66	12	Y (Y)	6	N	Y	0.4407	1.0000	2	O	 
